iter	Logloss
0	0.6872325416
5	0.6612126623
10	0.6391823455
15	0.6198261252
20	0.6039466765
25	0.5901748285
30	0.5783046842
35	0.5682475717
40	0.5597443352
45	0.5524396739
50	0.5461174294
55	0.5407744228
60	0.5362802676
65	0.5323833924
70	0.529125958
75	0.5261579061
80	0.5237922648
85	0.5214806074
90	0.519541985
95	0.5178310651
100	0.5163693187
105	0.51498035
110	0.5138570622
115	0.5128156981
120	0.5118340064
125	0.5110169988
130	0.510210866
135	0.5095055626
140	0.5088955117
145	0.5083872939
150	0.5079471137
155	0.5074613148
160	0.5070692627
165	0.5067233311
170	0.5064177759
175	0.5061031861
180	0.5058326534
185	0.5055340692
190	0.5052508771
195	0.5050474338
200	0.5048027219
205	0.5045731791
210	0.5043981777
215	0.5041960729
220	0.5040067948
225	0.5038419991
230	0.5036611421
235	0.5034822927
240	0.5033083509
245	0.50315878
250	0.5029904151
255	0.5028376653
260	0.5026950097
265	0.502555979
270	0.5024070215
275	0.502243118
280	0.5021170256
285	0.5019985734
290	0.501865008
295	0.5017528577
300	0.5016386997
305	0.5015241514
310	0.5013836149
315	0.5012871355
320	0.5011764909
325	0.501066906
330	0.5009324483
335	0.500816673
340	0.5007079803
345	0.5006074298
350	0.5005116196
355	0.5003963463
360	0.5002825229
365	0.5001882742
370	0.5000924641
375	0.5000049634
380	0.4998754133
385	0.4997857377
390	0.4996967312
395	0.4995866444
400	0.4994809632
405	0.499378405
410	0.4992960908
415	0.4991694965
420	0.4990807689
425	0.498970905
430	0.4988948927
435	0.4987985248
440	0.4986959109
445	0.4985761761
450	0.4985074136
455	0.4984114361
460	0.4983220951
465	0.4982256157
470	0.4981416284
475	0.4980658391
480	0.4979763865
485	0.4978933473
490	0.4978093043
495	0.4977097576
500	0.4976359202
505	0.4975426754
510	0.4974507133
515	0.497345534
520	0.4972588141
525	0.4971907766
530	0.4971217352
535	0.4970248097
540	0.4969403205
545	0.4968604044
550	0.496787515
555	0.4967036393
560	0.4966199309
565	0.4965483242
570	0.4964581466
575	0.4963710363
580	0.4962925701
585	0.4962062964
590	0.4960930864
595	0.4959799323
600	0.4959139582
605	0.4958441919
610	0.4957660603
615	0.4956912749
620	0.4955922301
625	0.4955097486
630	0.4954138827
635	0.4953370338
640	0.4952538272
645	0.4951814956
650	0.4951145177
655	0.4950341554
660	0.4949442009
665	0.4948581502
670	0.4947753898
675	0.4947012178
680	0.4946276035
685	0.4945554949
690	0.4944879593
695	0.49441362
700	0.4943294654
705	0.4942557395
710	0.4941918847
715	0.4940841401
720	0.4940039451
725	0.4939274308
730	0.4938311744
735	0.4937537679
740	0.4936730709
745	0.4935654936
750	0.493490987
755	0.4934029844
760	0.4933190529
765	0.4932486731
770	0.4931762857
775	0.4930939157
780	0.4929986075
785	0.4929176875
790	0.4928290714
795	0.4927610897
800	0.4926980156
805	0.4926051054
810	0.4925333314
815	0.4924596055
820	0.4923854335
825	0.4923155557
830	0.4922235377
835	0.4921507599
840	0.4921007914
845	0.4920280136
850	0.4919606453
855	0.4918609314
860	0.4917829671
865	0.4916848704
870	0.4915798027
875	0.4915045153
880	0.4914331317
885	0.4913563943
890	0.491271459
895	0.4911981793
900	0.4911261265
905	0.4910445372
910	0.4909496194
915	0.4908674724
920	0.4908023907
925	0.4907313975
930	0.4906589543
935	0.4905832207
940	0.4905122275
945	0.4904168635
950	0.4903301993
955	0.490270081
960	0.4902232355
965	0.490147
970	0.4900594993
975	0.489969991
980	0.4898801481
985	0.4898070914
990	0.4897289041
995	0.4896518321
1000	0.4895724178
1005	0.4894958478
1010	0.4894193892
1015	0.4893410346
1020	0.4892582742
1025	0.4891883406
1030	0.4891308433
1035	0.489063252
1040	0.4889983933
1045	0.4888776546
1050	0.4888091152
1055	0.488720053
1060	0.4886340024
1065	0.4885419844
1070	0.4884543722
1075	0.4883710542
1080	0.4882807651
1085	0.4881987297
1090	0.4881212673
1095	0.4880434146
1100	0.4879542409
1105	0.4878664056
1110	0.4877918432
1115	0.4877120386
1120	0.4876332935
1125	0.4875642522
1130	0.4874837784
1135	0.4873997353
1140	0.4873059328
1145	0.4872106803
1150	0.4871338314
1155	0.4870469442
1160	0.4869671953
1165	0.4868602872
1170	0.4867734
1175	0.486694655
1180	0.4866140696
1185	0.4865388937
1190	0.4864576391
1195	0.4863715884
1200	0.4862856493
1205	0.4862035024
1210	0.4861279919
1215	0.4860457892
1220	0.4859487522
1225	0.4858627572
1230	0.4857816142
1235	0.4857034268
1240	0.4856121339
1245	0.4855397464
1250	0.485481078
1255	0.4853989311
1260	0.485329834
1265	0.4852657003
1270	0.4851844457
1275	0.4850937105
1280	0.4850087194
1285	0.4849212745
1290	0.4848416372
1295	0.4847553076
1300	0.4846653531
1305	0.4845991002
1310	0.4845035689
1315	0.4844142836
1320	0.4843180273
1325	0.4842416803
1330	0.4841747024
1335	0.4841132456
1340	0.4840333852
1345	0.4839401404
1350	0.4838548147
1355	0.4837675371
1360	0.4836989977
1365	0.4836197507
1370	0.4835407826
1375	0.4834546204
1380	0.4833767677
1385	0.4832967957
1390	0.4832186084
1395	0.4831414806
1400	0.4830750046
1405	0.4829998288
1410	0.4829351374
1415	0.4828458521
1420	0.482771234
1425	0.4826889198
1430	0.4826070517
1435	0.4825210568
1440	0.4824339465
1445	0.4823501265
1450	0.4822748391
1455	0.4822037901
1460	0.4821360315
1465	0.4820380463
1470	0.4819504341
1475	0.481869793
1480	0.4817871999
1485	0.4817062241
1490	0.4816203965
1495	0.4815444957
1500	0.4814640776
1505	0.4813816518
1510	0.4813065318
1515	0.481226281
1520	0.4811469225
1525	0.4810703524
1530	0.4809899344
1535	0.4809258564
1540	0.4808395827
1545	0.4807750028
1550	0.4806979866
1555	0.4806278857
1560	0.4805367043
1565	0.4804550035
1570	0.4803647144
1575	0.4802942789
1580	0.4802177088
1585	0.4801441503
1590	0.4800561477
1595	0.4799863813
1600	0.4799073017
1605	0.4798214183
1610	0.4797407772
1615	0.4796802684
1620	0.4796106136
1625	0.47953923
1630	0.4794740925
1635	0.4793942321
1640	0.4793430367
1645	0.4792558706
1650	0.4791838736
1655	0.4790840481
1660	0.4790196913
1665	0.4789412251
1670	0.4788619781
