iter	Passed	Remaining
0	11	89865
1	20	83942
2	32	85712
3	41	83261
4	50	81040
5	59	79186
6	68	77949
7	76	76450
8	85	75888
9	94	75173
10	103	75201
11	112	74849
12	120	74140
13	129	73770
14	137	73258
15	146	73260
16	156	73528
17	164	73127
18	174	73259
19	184	73508
20	193	73542
21	203	73669
22	212	73657
23	221	73558
24	230	73523
25	239	73526
26	248	73332
27	256	73144
28	265	72971
29	273	72777
30	283	72793
31	291	72612
32	300	72547
33	308	72388
34	317	72345
35	327	72352
36	335	72234
37	343	72067
38	352	72036
39	361	71947
40	370	71893
41	378	71715
42	386	71584
43	395	71565
44	404	71479
45	412	71379
46	421	71339
47	430	71242
48	438	71215
49	447	71186
50	456	71202
51	465	71177
52	474	71165
53	484	71361
54	494	71422
55	503	71437
56	511	71294
57	520	71279
58	529	71333
59	541	71657
60	551	71805
61	561	71863
62	570	71914
63	580	71949
64	590	72085
65	601	72270
66	610	72330
67	620	72350
68	629	72302
69	640	72512
70	650	72597
71	659	72626
72	669	72659
73	677	72605
74	687	72605
75	696	72667
76	706	72678
77	715	72661
78	724	72602
79	733	72617
80	743	72645
81	752	72636
82	761	72591
83	769	72523
84	780	72715
85	789	72656
86	798	72626
87	807	72584
88	815	72490
89	824	72449
90	834	72527
91	842	72446
92	851	72421
93	860	72331
94	868	72290
95	877	72232
96	885	72157
97	893	72082
98	902	72053
99	911	72009
100	920	71954
101	928	71885
102	937	71849
103	946	71860
104	954	71787
105	963	71773
106	972	71744
107	981	71701
108	990	71712
109	998	71621
110	1007	71581
111	1015	71508
112	1023	71441
113	1031	71353
114	1039	71289
115	1048	71258
116	1056	71178
117	1064	71101
118	1072	71029
119	1080	70944
120	1088	70873
121	1096	70796
122	1105	70798
123	1113	70720
124	1121	70655
125	1130	70626
126	1138	70556
127	1146	70511
128	1154	70465
129	1163	70444
130	1172	70412
131	1180	70362
132	1189	70354
133	1197	70318
134	1208	70408
135	1218	70453
136	1226	70409
137	1235	70401
138	1244	70401
139	1253	70355
140	1262	70353
141	1273	70478
142	1284	70591
143	1294	70601
144	1304	70654
145	1314	70723
146	1324	70761
147	1332	70719
148	1342	70747
149	1350	70692
150	1361	70755
151	1369	70703
152	1377	70640
153	1385	70584
154	1393	70529
155	1402	70544
156	1411	70512
157	1419	70462
158	1427	70396
159	1435	70360
160	1446	70424
161	1455	70403
162	1464	70396
163	1472	70356
164	1480	70304
165	1489	70276
166	1497	70231
167	1505	70194
168	1514	70158
169	1522	70121
170	1531	70108
171	1539	70059
172	1548	70049
173	1556	70015
174	1565	69994
175	1574	69977
176	1582	69950
177	1590	69898
178	1599	69886
179	1608	69859
180	1616	69837
181	1625	69813
182	1633	69781
183	1643	69827
184	1653	69860
185	1663	69864
186	1672	69867
187	1680	69846
188	1689	69831
189	1698	69836
190	1708	69856
191	1717	69835
192	1725	69813
193	1734	69792
194	1743	69780
195	1752	69784
196	1761	69770
197	1771	69787
198	1780	69792
199	1790	69828
200	1799	69831
201	1809	69871
202	1818	69858
203	1828	69867
204	1837	69871
205	1847	69883
206	1855	69868
207	1865	69883
208	1874	69869
209	1882	69837
210	1890	69802
211	1899	69774
212	1907	69729
213	1915	69692
214	1923	69658
215	1931	69620
216	1939	69579
217	1947	69534
218	1956	69499
219	1964	69460
220	1972	69422
221	1980	69398
222	1989	69393
223	1998	69376
224	2006	69333
225	2015	69315
226	2023	69282
227	2063	70337
228	2073	70373
229	2082	70357
230	2091	70325
231	2099	70312
232	2107	70264
233	2115	70211
234	2123	70168
235	2131	70127
236	2139	70082
237	2147	70030
238	2156	70016
239	2164	69979
240	2173	69960
241	2181	69923
242	2190	69929
243	2199	69915
244	2208	69906
245	2217	69884
246	2224	69839
247	2232	69792
248	2240	69756
249	2249	69734
250	2260	69795
251	2268	69755
252	2277	69734
253	2286	69717
254	2295	69716
255	2304	69716
256	2313	69690
257	2323	69727
258	2333	69738
259	2341	69713
260	2350	69707
261	2359	69690
262	2367	69651
263	2376	69626
264	2384	69597
265	2393	69592
266	2402	69568
267	2410	69554
268	2420	69550
269	2428	69526
270	2438	69543
271	2448	69554
272	2457	69546
273	2465	69524
274	2474	69513
275	2484	69525
276	2493	69513
277	2501	69495
278	2510	69488
279	2519	69459
280	2528	69451
281	2537	69440
282	2545	69403
283	2554	69392
284	2562	69358
285	2570	69341
286	2579	69324
287	2588	69301
288	2596	69271
289	2605	69263
290	2614	69255
291	2624	69281
292	2632	69255
293	2641	69235
294	2649	69208
295	2658	69191
296	2667	69175
297	2675	69159
298	2684	69144
299	2693	69132
300	2703	69138
301	2711	69105
302	2720	69096
303	2728	69071
304	2737	69072
305	2747	69075
306	2756	69062
307	2765	69059
308	2776	69101
309	2785	69110
310	2795	69106
311	2803	69089
312	2812	69062
313	2820	69038
314	2828	69015
315	2837	68994
316	2845	68965
317	2853	68924
318	2861	68891
319	2869	68865
320	2877	68842
321	2885	68812
322	2893	68777
323	2901	68750
324	2910	68728
325	2918	68703
326	2927	68699
327	2936	68685
328	2946	68689
329	2954	68673
330	2963	68663
331	2972	68661
332	2981	68640
333	2989	68610
334	2997	68576
335	3006	68582
336	3014	68551
337	3023	68531
338	3031	68512
339	3039	68485
340	3048	68468
341	3056	68437
342	3064	68409
343	3072	68391
344	3081	68369
345	3089	68341
346	3097	68304
347	3105	68279
348	3112	68244
349	3120	68210
350	3128	68183
351	3136	68157
352	3145	68141
353	3154	68123
354	3163	68126
355	3171	68098
356	3179	68074
357	3188	68054
358	3196	68028
359	3204	68006
360	3213	67996
361	3221	67968
362	3231	67988
363	3240	67970
364	3248	67950
365	3257	67936
366	3265	67913
367	3273	67885
368	3281	67865
369	3289	67844
370	3299	67839
371	3307	67813
372	3315	67796
373	3323	67774
374	3333	67771
375	3341	67754
376	3350	67749
377	3359	67740
378	3368	67726
379	3377	67722
380	3386	67713
381	3395	67710
382	3403	67691
383	3412	67672
384	3420	67653
385	3429	67641
386	3437	67624
387	3447	67627
388	3455	67604
389	3463	67589
390	3472	67573
391	3480	67552
392	3489	67535
393	3497	67517
394	3505	67499
395	3514	67491
396	3524	67489
397	3533	67488
398	3542	67486
399	3551	67479
400	3560	67476
401	3569	67466
402	3579	67468
403	3588	67471
404	3598	67485
405	3607	67468
406	3615	67454
407	3625	67467
408	3633	67443
409	3642	67426
410	3650	67409
411	3658	67388
412	3667	67375
413	3676	67371
414	3685	67362
415	3693	67341
416	3702	67322
417	3710	67301
418	3718	67284
419	3727	67267
420	3736	67259
421	3747	67289
422	3756	67295
423	3765	67273
424	3773	67251
425	3782	67252
426	3792	67257
427	3802	67272
428	3811	67273
429	3820	67266
430	3829	67249
431	3837	67228
432	3847	67243
433	3856	67226
434	3864	67209
435	3873	67196
436	3882	67187
437	3891	67183
438	3900	67173
439	3909	67166
440	3918	67173
441	3927	67165
442	3936	67157
443	3947	67181
444	3957	67189
445	3968	67219
446	3977	67214
447	3987	67226
448	3996	67211
449	4004	67193
450	4013	67182
451	4022	67168
452	4031	67167
453	4040	67160
454	4051	67179
455	4060	67178
456	4070	67178
457	4079	67179
458	4090	67211
459	4100	67212
460	4110	67229
461	4120	67232
462	4130	67233
463	4140	67248
464	4150	67249
465	4160	67256
466	4170	67269
467	4180	67276
468	4189	67275
469	4199	67284
470	4210	67306
471	4220	67308
472	4230	67316
473	4239	67320
474	4250	67337
475	4260	67337
476	4269	67343
477	4281	67381
478	4291	67387
479	4301	67395
480	4313	67427
481	4324	67444
482	4333	67450
483	4344	67469
484	4354	67479
485	4365	67494
486	4375	67498
487	4385	67506
488	4395	67510
489	4405	67516
490	4415	67522
491	4424	67520
492	4435	67536
493	4445	67543
494	4456	67567
495	4467	67581
496	4477	67590
497	4488	67616
498	4499	67639
499	4511	67669
500	4522	67697
501	4534	67731
502	4548	67797
503	4560	67829
504	4571	67844
505	4582	67869
506	4592	67877
507	4602	67876
508	4613	67902
509	4624	67915
510	4634	67925
511	4644	67927
512	4655	67951
513	4666	67963
514	4676	67964
515	4686	67973
516	4696	67976
517	4705	67965
518	4715	67964
519	4724	67965
520	4734	67960
521	4744	67965
522	4753	67960
523	4763	67959
524	4772	67955
525	4782	67949
526	4791	67946
527	4800	67938
528	4810	67932
529	4819	67921
530	4827	67910
531	4838	67921
532	4848	67927
533	4858	67921
534	4867	67913
535	4876	67906
536	4885	67901
537	4895	67894
538	4904	67888
539	4913	67875
540	4922	67866
541	4931	67851
542	4940	67841
543	4948	67826
544	4957	67810
545	4966	67802
546	4975	67787
547	4983	67773
548	4993	67766
549	5001	67752
550	5011	67754
551	5021	67754
552	5030	67745
553	5072	68179
554	5085	68224
555	5096	68232
556	5105	68225
557	5115	68220
558	5124	68215
559	5133	68206
560	5143	68202
561	5152	68195
562	5162	68191
563	5172	68196
564	5182	68195
565	5192	68195
566	5202	68199
567	5212	68198
568	5221	68193
569	5230	68180
570	5239	68174
571	5249	68172
572	5260	68178
573	5270	68182
574	5280	68185
575	5291	68195
576	5300	68192
577	5311	68207
578	5321	68207
579	5332	68224
580	5342	68223
581	5352	68217
582	5361	68213
583	5371	68208
584	5381	68212
585	5391	68211
586	5400	68201
587	5410	68201
588	5419	68193
589	5428	68183
590	5438	68177
591	5449	68191
592	5459	68189
593	5468	68181
594	5477	68171
595	5486	68163
596	5496	68155
597	5505	68143
598	5514	68139
599	5523	68128
600	5533	68118
601	5542	68112
602	5551	68105
603	5562	68110
604	5572	68107
605	5582	68110
606	5592	68109
607	5601	68108
608	5611	68107
609	5622	68111
610	5631	68101
611	5640	68095
612	5650	68086
613	5658	68069
614	5667	68052
615	5676	68043
616	5684	68023
617	5693	68007
618	5702	67996
619	5711	67982
620	5720	67972
621	5728	67955
622	5737	67940
623	5746	67922
624	5754	67905
625	5762	67884
626	5771	67865
627	5779	67850
628	5788	67838
629	5797	67819
630	5805	67802
631	5814	67789
632	5822	67768
633	5831	67752
634	5839	67730
635	5848	67722
636	5857	67710
637	5867	67704
638	5876	67689
639	5887	67701
640	5896	67694
641	5905	67680
642	5913	67663
643	5922	67652
644	5931	67638
645	5940	67623
646	5948	67603
647	5956	67583
648	5964	67562
649	5973	67544
650	5981	67523
651	5989	67504
652	5997	67480
653	6006	67462
654	6013	67439
655	6022	67423
656	6031	67412
657	6039	67393
658	6047	67371
659	6056	67359
660	6067	67361
661	6075	67344
662	6084	67330
663	6092	67313
664	6102	67305
665	6111	67305
666	6121	67302
667	6130	67288
668	6139	67276
669	6148	67269
670	6158	67260
671	6166	67249
672	6176	67244
673	6185	67230
674	6194	67220
675	6204	67221
676	6214	67217
677	6223	67209
678	6233	67210
679	6243	67210
680	6253	67206
681	6263	67208
682	6273	67211
683	6284	67216
684	6293	67209
685	6304	67212
686	6314	67220
687	6324	67212
688	6333	67203
689	6343	67201
690	6353	67208
691	6363	67206
692	6373	67199
693	6383	67198
694	6392	67195
695	6402	67193
696	6413	67194
697	6422	67187
698	6432	67183
699	6441	67174
700	6450	67165
701	6459	67153
702	6469	67152
703	6479	67154
704	6490	67163
705	6499	67151
706	6509	67147
707	6519	67145
708	6529	67149
709	6538	67138
710	6548	67130
711	6557	67118
712	6567	67119
713	6577	67120
714	6586	67111
715	6595	67099
716	6604	67081
717	6612	67066
718	6622	67058
719	6631	67048
720	6640	67036
721	6649	67024
722	6657	67011
723	6666	66997
724	6675	66985
725	6685	66982
726	6695	66978
727	6704	66966
728	6712	66953
729	6721	66941
730	6730	66931
731	6740	66923
732	6749	66911
733	6758	66901
734	6766	66883
735	6775	66873
736	6784	66858
737	6793	66844
738	6801	66831
739	6809	66811
740	6818	66796
741	6826	66778
742	6835	66758
743	6844	66747
744	6852	66735
745	6864	66750
746	6872	66731
747	6880	66711
748	6888	66690
749	6897	66672
750	6905	66654
751	6915	66655
752	6924	66643
753	6933	66628
754	6941	66611
755	6950	66600
756	6959	66586
757	6967	66571
758	6978	66578
759	6988	66571
760	6997	66565
761	7007	66563
762	7017	66555
763	7026	66546
764	7034	66532
765	7044	66526
766	7053	66518
767	7062	66508
768	7072	66498
769	7081	66495
770	7090	66485
771	7100	66475
772	7108	66462
773	7117	66448
774	7126	66439
775	7136	66434
776	7145	66421
777	7154	66409
778	7163	66404
779	7172	66391
780	7182	66385
781	7191	66374
782	7199	66358
783	7208	66346
784	7216	66331
785	7225	66319
786	7234	66308
787	7244	66303
788	7254	66300
789	7263	66293
790	7273	66289
791	7283	66283
792	7293	66280
793	7302	66273
794	7311	66260
795	7320	66254
