iter	Passed	Remaining
0	9	99235
1	18	90526
2	27	91644
3	36	90711
4	44	89730
5	53	88532
6	61	87321
7	68	86153
8	76	85327
9	85	85571
10	94	85510
11	102	85213
12	110	84880
13	118	84399
14	126	83964
15	134	83976
16	142	83792
17	150	83656
18	158	83368
19	166	83059
20	174	83098
21	182	82960
22	190	82749
23	198	82483
24	206	82539
25	214	82457
26	223	82490
27	232	82700
28	240	82721
29	249	82774
30	257	82828
31	265	82716
32	273	82681
33	282	82671
34	290	82573
35	298	82571
36	307	82770
37	315	82792
38	324	82910
39	333	83089
40	342	83098
41	350	83064
42	358	82993
43	366	83003
44	374	82922
45	383	82923
46	391	82891
47	399	82843
48	407	82810
49	415	82764
50	423	82696
51	431	82616
52	439	82550
53	447	82474
54	455	82416
55	464	82396
56	471	82256
57	479	82171
58	487	82122
59	495	82023
60	503	81987
61	510	81891
62	518	81804
63	526	81712
64	534	81642
65	542	81624
66	550	81588
67	559	81681
68	564	81269
69	573	81327
70	581	81346
71	589	81258
72	597	81204
73	605	81238
74	613	81226
75	622	81232
76	630	81218
77	638	81173
78	645	81103
79	653	81057
80	662	81079
81	670	81101
82	678	81077
83	687	81098
84	694	81065
85	704	81183
86	712	81147
87	719	81095
88	728	81120
89	736	81151
90	745	81158
91	753	81155
92	762	81218
93	772	81447
94	782	81555
95	790	81602
96	799	81658
97	808	81725
98	817	81797
99	827	81877
100	835	81903
101	843	81896
102	852	81958
103	862	82036
104	870	82032
105	878	82020
106	886	81995
107	894	81950
108	902	81919
109	910	81891
110	918	81869
111	926	81831
112	934	81800
113	942	81755
114	950	81711
115	959	81734
116	967	81724
117	975	81678
118	983	81653
119	991	81623
120	999	81600
121	1007	81570
122	1015	81542
123	1023	81486
124	1031	81450
125	1039	81476
126	1047	81425
127	1055	81405
128	1064	81435
129	1072	81425
130	1080	81424
131	1089	81440
132	1097	81408
133	1106	81483
134	1114	81451
135	1122	81424
136	1130	81394
137	1138	81357
138	1146	81320
139	1154	81292
140	1162	81275
141	1170	81259
142	1178	81236
143	1186	81208
144	1194	81184
145	1203	81197
146	1210	81161
147	1219	81152
148	1227	81180
149	1236	81209
150	1245	81215
151	1253	81190
152	1261	81176
153	1269	81159
154	1277	81158
155	1286	81177
156	1294	81160
157	1302	81135
158	1310	81105
159	1318	81088
160	1326	81065
161	1334	81056
162	1342	81044
163	1351	81060
164	1378	82185
165	1402	83103
166	1411	83108
167	1420	83155
168	1429	83136
169	1437	83129
170	1446	83132
171	1454	83100
172	1462	83073
173	1471	83092
174	1480	83091
175	1488	83067
176	1495	83018
177	1505	83080
178	1513	83042
179	1521	83006
180	1529	82975
181	1538	82987
182	1546	82938
183	1553	82899
184	1562	82922
185	1571	82936
186	1579	82907
187	1587	82867
188	1597	82936
189	1607	83016
190	1616	83021
191	1625	83016
192	1633	82987
193	1641	82969
194	1649	82951
195	1658	82952
196	1666	82947
197	1675	82924
198	1684	82948
199	1692	82914
200	1700	82909
201	1709	82940
202	1719	82985
203	1728	83006
204	1737	83019
205	1746	83028
206	1754	82995
207	1762	82963
208	1771	83004
209	1781	83052
210	1790	83046
211	1798	83051
212	1807	83071
213	1818	83159
214	1829	83269
215	1841	83406
216	1851	83470
217	1859	83452
218	1868	83431
219	1876	83408
220	1885	83422
221	1894	83429
222	1903	83433
223	1913	83503
224	1922	83507
225	1931	83539
226	1941	83568
227	1950	83591
228	1958	83580
229	1967	83572
230	1976	83584
231	1984	83572
232	1993	83584
233	2002	83568
234	2011	83577
235	2019	83561
236	2028	83563
237	2037	83571
238	2045	83552
239	2054	83541
240	2063	83545
241	2071	83519
242	2079	83500
243	2087	83480
244	2096	83465
245	2105	83469
246	2114	83483
247	2122	83474
248	2131	83459
249	2139	83423
250	2147	83409
251	2156	83405
252	2164	83385
253	2174	83419
254	2182	83412
255	2191	83407
256	2200	83423
257	2208	83406
258	2217	83399
259	2225	83361
260	2234	83363
261	2242	83339
262	2250	83335
263	2260	83361
264	2268	83343
265	2277	83337
266	2286	83344
267	2294	83331
268	2303	83346
269	2313	83356
270	2322	83366
271	2330	83361
272	2338	83335
273	2348	83353
274	2356	83343
275	2365	83330
276	2374	83344
277	2382	83333
278	2391	83342
279	2400	83324
280	2409	83327
281	2419	83377
282	2427	83367
283	2436	83338
284	2443	83307
285	2452	83314
286	2460	83287
287	2470	83296
288	2478	83286
289	2487	83287
290	2496	83291
291	2504	83278
292	2514	83309
293	2524	83351
294	2536	83430
295	2545	83443
296	2553	83437
297	2562	83423
298	2570	83402
299	2578	83384
300	2587	83390
301	2600	83505
302	2614	83669
303	2627	83806
304	2638	83874
305	2650	83962
306	2659	83954
307	2667	83950
308	2677	83964
309	2685	83947
310	2694	83942
311	2702	83927
312	2710	83900
313	2719	83892
314	2727	83865
315	2735	83838
316	2743	83799
317	2751	83766
318	2759	83750
319	2767	83727
320	2776	83706
321	2784	83697
322	2792	83671
323	2801	83667
324	2809	83635
325	2818	83635
326	2826	83624
327	2835	83601
328	2843	83576
329	2851	83552
330	2860	83564
331	2869	83557
332	2877	83547
333	2886	83543
334	2894	83510
335	2902	83495
336	2910	83466
337	2918	83433
338	2926	83410
339	2935	83393
340	2944	83394
341	2952	83378
342	2961	83376
343	2969	83364
344	2977	83338
345	2986	83317
346	2994	83308
347	3003	83308
348	3011	83286
349	3020	83279
350	3029	83278
351	3040	83328
352	3048	83304
353	3056	83282
354	3065	83293
355	3074	83296
356	3082	83271
357	3091	83251
358	3099	83228
359	3107	83218
360	3121	83352
361	3130	83339
362	3138	83312
363	3146	83297
364	3155	83284
365	3163	83265
366	3171	83234
367	3179	83215
368	3188	83208
369	3196	83187
370	3205	83197
371	3213	83169
372	3221	83148
373	3229	83127
374	3238	83116
375	3246	83105
376	3255	83096
377	3263	83073
378	3271	83057
379	3280	83045
380	3291	83103
381	3302	83149
382	3310	83124
383	3318	83108
384	3327	83091
385	3335	83074
386	3343	83062
387	3351	83034
388	3359	83013
389	3367	82988
390	3376	82968
391	3384	82942
392	3391	82914
393	3400	82896
394	3408	82870
395	3416	82846
396	3424	82824
397	3432	82804
398	3440	82782
399	3449	82783
400	3458	82789
401	3470	82858
402	3480	82873
403	3488	82862
404	3496	82844
405	3505	82847
406	3515	82856
407	3523	82834
408	3531	82816
409	3539	82796
410	3548	82782
411	3556	82774
412	3565	82771
413	3573	82750
414	3582	82732
415	3591	82738
416	3600	82746
417	3609	82742
418	3617	82730
419	3627	82752
420	3637	82756
421	3646	82760
422	3655	82772
423	3664	82754
424	3672	82730
425	3680	82726
426	3690	82736
427	3698	82722
428	3706	82699
429	3715	82686
430	3724	82681
431	3732	82666
432	3740	82643
433	3748	82618
434	3756	82588
435	3764	82571
436	3771	82541
437	3780	82538
438	3792	82604
439	3800	82582
440	3809	82565
441	3816	82539
442	3825	82522
443	3833	82504
444	3841	82487
445	3850	82476
446	3859	82473
447	3867	82457
448	3875	82436
449	3883	82414
450	3892	82409
451	3900	82399
452	3909	82391
453	3917	82368
454	3925	82352
455	3935	82378
456	3944	82360
457	3952	82340
458	3960	82315
459	3968	82294
460	3976	82272
461	3983	82246
462	3991	82222
463	3999	82197
464	4007	82176
465	4015	82158
466	4023	82135
467	4031	82115
468	4040	82102
469	4048	82082
470	4056	82061
471	4064	82046
472	4073	82050
473	4081	82034
474	4090	82026
475	4098	82013
476	4107	82002
477	4115	81977
478	4123	81956
479	4132	81952
480	4142	81972
481	4151	81972
482	4159	81951
483	4167	81930
484	4175	81920
485	4183	81898
486	4191	81878
487	4199	81858
488	4207	81834
489	4215	81822
490	4225	81837
491	4233	81819
492	4242	81809
493	4251	81808
494	4259	81797
495	4268	81782
496	4276	81771
497	4284	81759
498	4292	81738
499	4301	81726
500	4310	81726
501	4318	81705
502	4327	81707
503	4336	81712
504	4346	81716
505	4355	81717
506	4364	81719
507	4373	81724
508	4416	82357
509	4425	82344
510	4434	82337
511	4442	82328
512	4451	82318
513	4459	82293
514	4467	82281
515	4475	82264
516	4483	82244
517	4492	82231
518	4500	82209
519	4508	82193
520	4516	82177
521	4524	82151
522	4532	82129
523	4540	82113
524	4548	82094
525	4556	82076
526	4569	82132
527	4577	82118
528	4585	82099
529	4593	82082
530	4602	82072
531	4611	82063
532	4619	82042
533	4627	82030
534	4637	82038
535	4646	82042
536	4654	82027
537	4663	82013
538	4671	82001
539	4679	81986
540	4688	81972
541	4696	81956
542	4705	81954
543	4715	81960
544	4723	81946
545	4732	81937
546	4740	81919
547	4748	81907
548	4757	81894
549	4765	81888
550	4775	81901
551	4785	81900
552	4794	81904
553	4803	81896
554	4811	81878
555	4820	81872
556	4828	81860
557	4837	81852
558	4845	81842
559	4853	81821
560	4862	81806
561	4870	81791
562	4878	81777
563	4886	81761
564	4895	81745
565	4903	81736
566	4911	81715
567	4919	81693
568	4929	81700
569	4940	81732
570	4948	81721
571	4957	81710
572	4966	81705
573	4974	81685
574	4982	81664
575	4990	81644
576	4999	81642
577	5007	81626
578	5015	81600
579	5023	81581
580	5032	81589
581	5041	81574
582	5049	81556
583	5057	81535
584	5064	81513
585	5075	81542
586	5084	81534
587	5092	81516
588	5100	81502
589	5109	81499
590	5118	81485
591	5126	81468
592	5134	81455
593	5142	81437
594	5150	81416
595	5158	81400
596	5167	81394
597	5175	81378
598	5184	81361
599	5191	81340
600	5200	81325
601	5207	81303
602	5217	81312
603	5227	81312
604	5235	81298
605	5243	81288
606	5252	81280
607	5261	81280
608	5270	81272
609	5278	81253
610	5286	81241
611	5295	81227
612	5303	81220
613	5312	81204
614	5320	81192
