iter	Logloss
0	0.689216755
5	0.670790991
10	0.6546914676
15	0.6403140213
20	0.6277323932
25	0.6166000005
30	0.6068886934
35	0.5982236751
40	0.5905088258
45	0.5837579961
50	0.5777261733
55	0.5724062399
60	0.567777869
65	0.5635752081
70	0.5598627648
75	0.5565086386
80	0.5535575872
85	0.550896306
90	0.5485673082
95	0.5464783214
100	0.544583562
105	0.5429257357
110	0.5413850615
115	0.5400316253
120	0.5388585019
125	0.5377806647
130	0.5367916694
135	0.5358927344
140	0.5350944077
145	0.5343552983
150	0.5337101286
155	0.5330800597
160	0.5325376464
165	0.5320327128
170	0.5316104974
175	0.5311864224
180	0.5308176853
185	0.5304389129
190	0.5301504894
195	0.5298545314
200	0.5295820103
205	0.5293261289
210	0.5290877852
215	0.5288586109
220	0.5286475192
225	0.528445052
230	0.5282631362
235	0.5280968662
240	0.5279401505
245	0.5277881799
250	0.5276337406
255	0.5275078358
260	0.5273739477
265	0.5272355391
270	0.52710739
275	0.5269887952
280	0.5268792097
285	0.5267791784
290	0.5266813914
295	0.5265780898
300	0.5264905624
305	0.526396206
310	0.5263027473
315	0.5262170474
320	0.526127436
325	0.5260456476
330	0.5259691814
335	0.5258988709
340	0.5258310613
345	0.5257607187
350	0.5256907289
355	0.5256202261
360	0.5255571935
365	0.5254881335
370	0.5254277941
375	0.5253675829
380	0.52531061
385	0.5252515851
390	0.5251943557
395	0.5251320285
400	0.5250745425
405	0.5250097787
410	0.5249540882
415	0.5248977885
420	0.5248477408
425	0.5247992641
430	0.5247513004
435	0.5247010283
440	0.5246538981
445	0.5246050688
450	0.5245609203
455	0.5245127642
460	0.5244668845
465	0.5244181513
470	0.524378235
475	0.5243345995
480	0.52428779
485	0.5242438019
490	0.5242041741
495	0.5241620776
500	0.5241222254
505	0.5240822129
510	0.5240447012
515	0.524008536
520	0.5239658624
525	0.5239220666
530	0.5238855809
535	0.5238497684
540	0.5238137315
545	0.5237676273
550	0.5237304041
555	0.523696868
560	0.5236592601
565	0.5236234155
570	0.5235854229
575	0.5235481035
580	0.5235131887
585	0.5234752602
590	0.5234413073
595	0.5234051421
600	0.5233697464
605	0.5233295415
610	0.5232929275
615	0.5232524662
620	0.5232123895
625	0.5231801358
630	0.5231449005
635	0.5231136727
640	0.5230731793
645	0.5230341286
650	0.5229963604
655	0.5229632731
660	0.5229288072
665	0.5228928985
670	0.5228545853
675	0.5228210812
680	0.5227840504
685	0.5227497769
690	0.5227152468
695	0.5226757793
700	0.5226408646
705	0.5226017498
710	0.5225629556
715	0.5225300286
720	0.5224911383
725	0.5224574418
730	0.5224213408
735	0.5223931268
740	0.5223601678
745	0.5223242912
750	0.522282355
755	0.5222475364
760	0.5222162766
765	0.5221836703
770	0.5221475692
775	0.5221125903
780	0.522078958
785	0.5220422478
790	0.5220066277
795	0.5219737328
800	0.521939331
805	0.5219080071
810	0.5218753687
815	0.5218415761
820	0.521811727
825	0.5217771328
830	0.5217373768
835	0.5217085858
840	0.5216770374
845	0.5216429563
850	0.5216123377
855	0.5215877146
860	0.5215567755
865	0.5215323127
870	0.5214970452
875	0.5214684786
880	0.5214338203
885	0.5213984888
890	0.521363574
895	0.5213289157
900	0.521294033
905	0.5212624847
910	0.5212293974
915	0.5211991956
920	0.5211642488
925	0.5211304562
930	0.5211000941
935	0.5210625824
940	0.5210263531
945	0.5209882002
950	0.5209523877
955	0.5209184347
960	0.5208806345
965	0.5208523243
970	0.5208191088
975	0.520792562
980	0.5207586732
985	0.5207255218
990	0.5206964743
995	0.5206638679
1000	0.5206292097
1005	0.5205996812
1010	0.5205695115
1015	0.5205392456
1020	0.5205087232
1025	0.5204769825
1030	0.5204455304
1035	0.5204110004
1040	0.5203783619
1045	0.5203424853
1050	0.5203059675
1055	0.520275894
1060	0.5202494114
1065	0.5202179913
1070	0.5201861223
1075	0.5201480335
1080	0.5201126057
1085	0.520073523
1090	0.5200396021
1095	0.520013408
1100	0.5199846811
1105	0.5199509205
1110	0.5199210394
1115	0.5198903888
1120	0.5198557946
1125	0.5198237333
1130	0.5197914155
1135	0.5197614703
1140	0.5197307876
1145	0.5196970591
1150	0.5196621764
1155	0.51963268
1160	0.5196029912
1165	0.519570994
1170	0.5195347327
1175	0.5195054607
1180	0.5194759643
1185	0.5194480068
1190	0.5194204982
1195	0.5193884048
1200	0.5193564076
1205	0.5193244746
1210	0.5192920285
1215	0.5192692329
1220	0.5192358251
1225	0.5192004294
1230	0.519168849
1235	0.5191399297
1240	0.5191080607
1245	0.5190821872
1250	0.5190536527
1255	0.5190256632
1260	0.5189962629
1265	0.5189702612
1270	0.5189428808
1275	0.5189076775
1280	0.5188764819
1285	0.5188432664
1290	0.5188109165
1295	0.5187817086
1300	0.5187500321
1305	0.5187187082
1310	0.5186878331
1315	0.5186587214
1320	0.5186243197
1325	0.5185945347
1330	0.5185594276
1335	0.5185284884
1340	0.5184956576
1345	0.518465007
1350	0.5184383961
1355	0.5184124906
1360	0.5183804613
1365	0.5183480794
1370	0.51831076
1375	0.5182820972
1380	0.5182501642
1385	0.5182125562
1390	0.5181809758
1395	0.5181520565
1400	0.5181269846
1405	0.518093705
1410	0.5180595597
1415	0.518019483
1420	0.5179871652
1425	0.5179552001
1430	0.5179216319
1435	0.5178884805
1440	0.5178607475
1445	0.5178271472
1450	0.5177961119
1455	0.5177619345
1460	0.517729264
1465	0.5177000241
1470	0.5176673216
1475	0.5176386908
1480	0.5176119517
1485	0.5175874568
1490	0.5175541772
1495	0.5175196792
1500	0.5174905676
1505	0.5174649826
1510	0.5174382114
1515	0.5174092601
1520	0.517379411
1525	0.5173440474
1530	0.5173145189
1535	0.5172783537
1540	0.5172422848
1545	0.5172057349
1550	0.5171786751
1555	0.5171499161
1560	0.5171138472
1565	0.5170858256
1570	0.5170614269
1575	0.5170307122
1580	0.5169966951
1585	0.5169675834
1590	0.5169361634
1595	0.5169066349
1600	0.5168731949
1605	0.5168438588
1610	0.5168113807
1615	0.5167786461
1620	0.5167479955
1625	0.516714267
1630	0.5166859248
1635	0.516656717
1640	0.5166246236
1645	0.5165950951
1650	0.5165644445
1655	0.5165332168
1660	0.516504554
1665	0.5164800912
1670	0.5164547307
1675	0.5164269015
1680	0.5163996494
1685	0.5163694797
1690	0.5163459467
1695	0.5163182778
1700	0.5162928211
1705	0.5162593491
1710	0.5162283779
1715	0.5161997792
1720	0.5161665636
1725	0.5161341176
1730	0.516109238
1735	0.5160871157
1740	0.5160552147
1745	0.5160283473
1750	0.5160010952
1755	0.51597224
1760	0.5159438337
1765	0.5159170305
1770	0.5158893936
1775	0.5158586468
1780	0.5158249824
1785	0.515796544
1790	0.5157659576
1795	0.5157344092
1800	0.5157102029
1805	0.5156762179
1810	0.515642265
1815	0.515614564
1820	0.5155872157
1825	0.5155539361
