iter	Passed	Remaining
0	11	112875
1	21	107244
2	31	106155
3	41	103885
4	51	102171
5	62	103544
6	71	101889
7	80	100186
8	90	100226
9	100	100238
10	110	99899
11	120	99981
12	129	99864
13	139	99255
14	147	98416
15	157	98061
16	166	97753
17	175	97553
18	184	97005
19	193	96604
20	202	96460
21	211	95889
22	221	96130
23	230	95967
24	239	95616
25	248	95441
26	257	95248
27	266	95008
28	275	94709
29	284	94513
30	293	94423
31	307	95635
32	317	95882
33	326	95629
34	334	95347
35	344	95311
36	352	95007
37	363	95163
38	371	95003
39	381	94918
40	390	94813
41	399	94756
42	408	94558
43	417	94421
44	426	94439
45	436	94374
46	445	94382
47	455	94517
48	466	94765
49	475	94669
50	496	96760
51	530	101553
52	540	101374
53	549	101121
54	562	101634
55	574	101975
56	591	103132
57	600	103009
58	611	102951
59	620	102756
60	630	102660
61	639	102503
62	648	102283
63	660	102527
64	673	102975
65	682	102777
66	691	102493
67	701	102388
68	710	102319
69	720	102160
70	729	102086
71	738	101893
72	748	101820
73	757	101656
74	767	101518
75	776	101343
76	784	101151
77	794	101033
78	805	101099
79	813	100894
80	823	100806
81	834	100886
82	847	101212
83	858	101364
84	867	101234
85	876	101066
86	884	100807
87	893	100600
88	901	100382
89	909	100195
90	918	99988
91	927	99894
92	936	99736
93	944	99582
94	953	99455
95	962	99294
96	971	99228
97	981	99183
98	993	99339
99	1003	99328
100	1013	99289
101	1022	99231
102	1032	99173
103	1043	99248
104	1052	99225
105	1063	99223
106	1072	99156
107	1084	99313
108	1095	99367
109	1103	99259
110	1113	99203
111	1123	99163
112	1132	99101
113	1141	98964
114	1149	98838
115	1159	98816
116	1168	98690
117	1177	98635
118	1187	98602
119	1196	98509
120	1205	98419
121	1214	98350
122	1223	98270
123	1232	98143
124	1240	98004
125	1249	97914
126	1261	98071
127	1277	98544
128	1291	98852
129	1299	98677
130	1308	98559
131	1317	98459
132	1325	98312
133	1334	98266
134	1343	98195
135	1352	98111
136	1361	98004
137	1369	97897
138	1379	97843
139	1393	98112
140	1401	98023
141	1410	97917
142	1419	97831
143	1427	97731
144	1439	97814
145	1448	97750
146	1458	97767
147	1469	97795
148	1478	97721
149	1487	97691
150	1497	97670
151	1506	97591
152	1515	97528
153	1524	97450
154	1532	97369
155	1543	97393
156	1552	97349
157	1562	97332
158	1571	97259
159	1580	97190
160	1589	97160
161	1598	97092
162	1607	97009
163	1616	96966
164	1625	96919
165	1634	96853
166	1645	96880
167	1654	96829
168	1663	96793
169	1673	96743
170	1683	96782
171	1694	96837
172	1710	97174
173	1719	97129
174	1728	97050
175	1737	96980
176	1746	96918
177	1755	96881
178	1764	96818
179	1776	96890
180	1787	96942
181	1795	96883
182	1805	96877
183	1815	96866
184	1825	96847
185	1834	96790
186	1848	97006
187	1859	97031
188	1868	96980
189	1878	96967
190	1888	96997
191	1898	96964
192	1908	96969
193	1918	96955
194	1927	96913
195	1938	96941
196	1947	96909
197	1957	96891
198	1969	97003
199	1978	96941
200	1987	96916
201	1996	96860
202	2006	96846
203	2016	96830
204	2026	96806
205	2035	96768
206	2043	96693
207	2053	96657
208	2061	96585
209	2070	96530
210	2079	96467
211	2087	96393
212	2095	96288
213	2103	96211
214	2114	96250
215	2124	96237
216	2134	96236
217	2144	96222
218	2154	96209
219	2163	96195
220	2173	96182
221	2184	96198
222	2194	96201
223	2204	96198
224	2215	96237
225	2226	96280
226	2235	96265
227	2246	96274
228	2256	96269
229	2265	96228
230	2274	96200
231	2284	96179
232	2293	96123
233	2301	96070
234	2310	96021
235	2319	95979
236	2328	95924
237	2337	95857
238	2345	95810
239	2354	95762
240	2363	95712
241	2371	95640
242	2382	95672
243	2390	95596
244	2399	95526
245	2407	95448
246	2415	95388
247	2424	95321
248	2432	95264
249	2441	95219
250	2451	95200
251	2459	95143
252	2467	95077
253	2476	95026
254	2485	94979
255	2496	95033
256	2511	95222
257	2523	95295
258	2533	95274
259	2542	95262
260	2552	95227
261	2561	95201
262	2577	95421
263	2589	95509
264	2600	95522
265	2610	95542
266	2620	95539
267	2632	95596
268	2646	95742
269	2656	95742
270	2669	95847
271	2687	96129
272	2704	96356
273	2714	96364
274	2723	96326
275	2733	96305
276	2743	96312
277	2755	96363
278	2768	96474
279	2779	96499
280	2792	96585
281	2808	96771
282	2820	96838
283	2830	96820
284	2839	96782
285	2849	96790
286	2859	96773
287	2869	96751
288	2878	96734
289	2889	96754
290	2901	96791
291	2914	96908
292	2926	96956
293	2941	97113
294	2954	97185
295	2968	97315
296	2979	97338
297	2990	97373
298	3001	97391
299	3012	97396
300	3023	97416
301	3034	97442
302	3047	97522
303	3062	97687
304	3080	97933
305	3097	98119
306	3115	98368
307	3130	98512
308	3144	98616
309	3156	98651
310	3166	98650
311	3178	98707
312	3191	98764
313	3203	98829
314	3216	98890
315	3228	98948
316	3241	99019
317	3254	99101
318	3267	99176
319	3281	99256
320	3294	99345
321	3308	99445
322	3322	99534
323	3334	99594
324	3351	99760
325	3365	99869
326	3379	99981
327	3393	100073
328	3408	100197
329	3422	100295
330	3436	100389
331	3449	100464
332	3460	100451
333	3470	100440
334	3481	100456
335	3535	101691
336	3547	101726
337	3558	101719
338	3568	101690
339	3580	101721
340	3593	101774
341	3604	101779
342	3615	101784
343	3624	101752
344	3635	101734
345	3648	101801
346	3659	101801
347	3670	101807
348	3682	101820
349	3693	101825
350	3706	101890
351	3717	101885
352	3728	101901
353	3740	101923
354	3750	101896
355	3760	101872
356	3770	101835
357	3779	101798
358	3789	101760
359	3805	101911
360	3815	101886
