学科名称,排名,论文数,引用次数,每篇论文引用次数,篇均引用
AGRICULTURAL SCIENCES,845,346,6513,18.82,18.82369942196532
BIOLOGY & BIOCHEMISTRY,721,897,20837,23.23,23.229654403567448
CHEMISTRY,90,5420,164390,30.33,30.330258302583022
CLINICAL MEDICINE,2852,940,16875,17.95,17.95212765957447
COMPUTER SCIENCE,207,1803,22336,12.39,12.388241819190238
ENGINEERING,317,2567,55450,21.6,21.6010907674328
ENVIRONMENT ECOLOGY,130,2941,92088,31.31,31.31179870792248
GEOSCIENCES,275,1850,42158,22.79,22.78810810810811
MATERIALS SCIENCE,196,2720,93969,34.55,34.547426470588235
MATHEMATICS,115,2019,11984,5.94,5.935611688954928
MOLECULAR BIOLOGY & GENETICS,867,532,20568,38.66,38.661654135338345
NEUROSCIENCE & BEHAVIOR,853,771,14295,18.54,18.540856031128406
PHARMACOLOGY & TOXICOLOGY,1064,289,5693,19.7,19.698961937716263
PHYSICS,522,3495,50802,14.54,14.535622317596566
PLANT & ANIMAL SCIENCE,395,1375,21843,15.89,15.885818181818182
PSYCHIATRY PSYCHOLOGY,467,1460,15243,10.44,10.44041095890411
"SOCIAL SCIENCES, GENERAL",314,2176,27524,12.65,12.648897058823527
