subject,best_model,mse,mae,r2
ENGINEERING,Random Forest,2.9316162974512077,1.3757952954107135,0.9999954243620817
"SOCIAL SCIENCES, GENERAL",Random Forest,2.9107158695652164,1.277673913043476,0.999994134480004
ENVIRONMENT ECOLOGY,Random Forest,3.008291457286448,1.3682412060301545,0.9999922049761285
CHEMISTRY,Random Forest,3.1432725956946928,1.4005595479169584,0.9999914500714008
PLANT & ANIMAL SCIENCE,Random Forest,3.587145757423909,1.4901710911637411,0.9999884389712635
BIOLOGY & BIOCHEMISTRY,Gradient Boosting,3.018217253244327,1.4660171704013092,0.9999866970034561
MATERIALS SCIENCE,Random Forest,2.760596085633554,1.3261789426523247,0.9999864724265867
CLINICAL MEDICINE,Random Forest,51.02665325112106,2.063553811659194,0.9999851258421439
PHARMACOLOGY & TOXICOLOGY,Gradient Boosting,2.5429519326436805,1.3619413914127834,0.9999845390570425
AGRICULTURAL SCIENCES,Gradient Boosting,2.4325001590820006,1.3224835960800823,0.9999839178833636
NEUROSCIENCE & BEHAVIOR,Gradient Boosting,2.4803608345545465,1.3273760495621272,0.9999817226963628
GEOSCIENCES,Gradient Boosting,2.1888094718616533,1.298235138810716,0.9999808473265397
IMMUNOLOGY,Gradient Boosting,2.280920973116788,1.2824219951265732,0.9999803951312034
MOLECULAR BIOLOGY & GENETICS,Gradient Boosting,2.3452801087163024,1.35853843096844,0.9999792150190175
PSYCHIATRY PSYCHOLOGY,Gradient Boosting,2.5185086649137878,1.3512219194897723,0.9999766232650338
PHYSICS,Gradient Boosting,2.072276265645463,1.26117620895616,0.9999753128401162
COMPUTER SCIENCE,Gradient Boosting,2.3240329989876085,1.3157960098439923,0.9999616961715915
MICROBIOLOGY,Gradient Boosting,2.47566142338577,1.354632163475725,0.9999544184004635
ECONOMICS & BUSINESS,Gradient Boosting,2.896537354257503,1.4416955257648227,0.9998890343382261
MATHEMATICS,Gradient Boosting,3.1212509403478186,1.503821057309419,0.9997712287081445
SPACE SCIENCE,Gradient Boosting,2.716561106453854,1.3904190710904756,0.9994397113104179
MULTIDISCIPLINARY,Gradient Boosting,2.3350901057176516,1.2826739422708997,0.9992660743914572
