subject,mse,mae,mape,r2
PLANT & ANIMAL SCIENCE,3209.341552734375,42.68672180175781,6.77924251479884,0.9896529912948608
CLINICAL MEDICINE,47974.39453125,173.4418487548828,8.234934635115756,0.9861191511154175
"SOCIAL SCIENCES, GENERAL",6817.568359375,70.75139617919922,10.913335787894079,0.9850192070007324
ENGINEERING,11591.4775390625,73.70848083496094,6.699897920849635,0.9814963340759277
NEUROSCIENCE & BEHAVIOR,2843.139892578125,43.8550910949707,21.078725875428255,0.9798862934112549
CHEMISTRY,8084.8544921875,75.91451263427734,30.34673517881497,0.9789093136787415
MICROBIOLOGY,1164.2861328125,25.652746200561523,10.965812682427103,0.9783388376235962
AGRICULTURAL SCIENCES,3577.050537109375,47.096923828125,9.770434061940875,0.9774248003959656
BIOLOGY & BIOCHEMISTRY,5259.5087890625,55.87169647216797,22.269392633053307,0.9768917560577393
ENVIRONMENT ECOLOGY,8781.6806640625,76.8869400024414,38.15385522794307,0.9748949408531189
PHARMACOLOGY & TOXICOLOGY,4113.826171875,52.84703826904297,13.803939664234058,0.9748443961143494
IMMUNOLOGY,3163.72314453125,46.63983154296875,10.435251078448097,0.9719130396842957
MATHEMATICS,394.55621337890625,16.523544311523438,37.461438309433845,0.970557451248169
PHYSICS,2492.7333984375,44.28447341918945,65.78517644377379,0.9687203764915466
MOLECULAR BIOLOGY & GENETICS,3487.03857421875,47.102989196777344,15.610234161054645,0.9687126278877258
MATERIALS SCIENCE,8805.724609375,80.8624496459961,13.600774229239542,0.9585933685302734
ECONOMICS & BUSINESS,1040.6650390625,29.421401977539062,33.62193857977957,0.9563140869140625
GEOSCIENCES,5070.056640625,57.048240661621094,11.723726808326159,0.9550288915634155
PSYCHIATRY PSYCHOLOGY,5457.69580078125,59.78654479980469,13.63471077103226,0.9477347135543823
SPACE SCIENCE,270.4132995605469,13.442440032958984,20.19964105222108,0.9409132599830627
COMPUTER SCIENCE,4447.59228515625,55.41466522216797,19.403278656765423,0.928673505783081
MULTIDISCIPLINARY,320.496826171875,15.287344932556152,16.25109694846104,0.9147502183914185
