subject,mse,mae,mape,r2
CHEMISTRY,1543.025146484375,32.31033706665039,5.02301396585354,0.9958139061927795
ENGINEERING,3050.593505859375,41.70556640625,13.787981833606436,0.9951857328414917
CLINICAL MEDICINE,16505.0546875,97.18695068359375,6.117185004581687,0.9951251149177551
"SOCIAL SCIENCES, GENERAL",3322.184326171875,41.599220275878906,10.683996144368892,0.993255615234375
ENVIRONMENT ECOLOGY,2753.57861328125,40.93158721923828,5.800060347956929,0.9929307103157043
MATERIALS SCIENCE,1614.2728271484375,33.77983856201172,13.044163013176115,0.9919337630271912
IMMUNOLOGY,1814.7274169921875,32.92778396606445,12.055638680197792,0.9843980669975281
NEUROSCIENCE & BEHAVIOR,2350.589599609375,36.44740295410156,10.583094148487003,0.9824872612953186
PLANT & ANIMAL SCIENCE,5763.40234375,63.55411911010742,10.8994508208338,0.9816956520080566
MOLECULAR BIOLOGY & GENETICS,2152.6884765625,36.09880828857422,12.115379474904445,0.9807411432266235
ECONOMICS & BUSINESS,545.15625,15.218070030212402,19.13940100562913,0.9795254468917847
PHARMACOLOGY & TOXICOLOGY,3711.505859375,51.82980728149414,31.783921977857737,0.9778728485107422
AGRICULTURAL SCIENCES,3422.563232421875,41.65047836303711,16.925818914278917,0.9767814874649048
PHYSICS,2066.352783203125,39.38618469238281,17.74976063360325,0.9746012687683105
COMPUTER SCIENCE,1742.27392578125,33.692848205566406,18.53145680357169,0.971972644329071
GEOSCIENCES,3273.820556640625,45.82994842529297,18.141151680814055,0.9710818529129028
BIOLOGY & BIOCHEMISTRY,7006.08642578125,64.2135238647461,24.842954352309295,0.968795120716095
PSYCHIATRY PSYCHOLOGY,3327.32177734375,41.51676940917969,19.05056415629705,0.968238115310669
MICROBIOLOGY,2662.49267578125,31.992666244506836,33.07573262805016,0.949589192867279
MATHEMATICS,879.318359375,19.840171813964844,34.63968176612465,0.9310742020606995
SPACE SCIENCE,739.0665893554688,22.356597900390625,26.606808978188024,0.8443828821182251
MULTIDISCIPLINARY,736.7789306640625,21.768522262573242,32.83751079889027,0.7813141345977783
