total_subjects,top_subjects,high_subjects,medium_subjects,other_subjects,total_documents,total_cites,avg_cites_per_paper,subjects_in_top_500_count,university_name,cluster
1,0,0,0,1,634.0,6121.0,9.65,0,NATURE RESEARCH CENTER - LITHUANIA,0
7,0,3,3,1,11161.0,173601.0,14.870000000000001,3,HENAN POLYTECHNIC UNIVERSITY,2
1,0,0,0,1,285.0,8241.0,28.92,0,DUDLEY GROUP NHS FOUNDATION TRUST,0
1,0,0,0,1,9.0,5254.0,583.78,0,UK DEPT INT DEV,0
1,0,0,1,0,616.0,9505.0,15.43,0,GEOLOGICAL SURVEY ISRAEL,0
12,0,0,6,6,11660.0,169923.0,14.605000000000002,0,UNIVERSITY OF PUNJAB,2
1,0,0,0,1,156.0,37122.0,237.96,0,WALDEN UNIVERSITY,0
1,0,0,0,1,559.0,5461.0,9.77,0,TIANJIN UNIVERSITY OF TECHNOLOGY & EDUCATION,0
1,0,0,0,1,263.0,2555.0,9.71,0,INDIANA UNIVERSITY OF PENNSYLVANIA,0
2,0,0,1,1,1368.0,25128.0,17.84,0,KOREA POLAR RESEARCH INSTITUTE (KOPRI),0
3,0,0,1,2,1005.0,26639.0,24.680000000000003,0,LA ROCHELLE UNIVERSITE,0
1,0,0,0,1,305.0,8105.0,26.57,0,CINCINNATI VA MEDICAL CENTER,0
3,0,0,2,1,1737.0,28146.0,18.263333333333332,0,LEIBNIZ INSTITUT FUR EVOLUTIONS UND BIODIVERSITATSFORSCHUNG,0
20,0,14,6,0,42248.0,1050795.0,22.959500000000002,14,UNIVERSITE CLAUDE BERNARD LYON 1,1
2,0,0,0,2,548.0,7495.0,13.39,0,GUANGDONG UNIVERSITY OF FINANCE & ECONOMICS,0
1,0,0,0,1,495.0,11394.0,23.02,0,INSTITUTE OF BIOSTATISTICS & ANALYSES,0
1,0,0,0,1,8.0,5147.0,643.38,0,NUTR RES FDN,0
3,0,0,0,3,539.0,36205.0,79.36999999999999,0,MIEDZYNARODOWY INSTYTUT BIOLOGII MOLEKULARNEJ I KOMORKOWEJ,0
2,0,0,0,2,270.0,13295.0,53.545,0,HAKAI INSTITUTE,0
1,0,0,0,1,147.0,12454.0,84.72,0,HOSP UNIV INSULAR GRAN CANARIA,0
3,0,0,0,3,1716.0,14290.0,9.549999999999999,0,MUGLA SITKI KOCMAN UNIVERSITY,0
