total_subjects,top_subjects,high_subjects,medium_subjects,other_subjects,total_documents,total_cites,avg_cites_per_paper,subjects_in_top_500_count,university_name,cluster
20,0,14,6,0,42248.0,1050795.0,22.959500000000002,14,UNIVERSITE CLAUDE BERNARD LYON 1,1
19,5,7,4,3,38461.0,1264692.0,29.57315789473684,12,GEORGIA INSTITUTE OF TECHNOLOGY,1
13,0,7,4,2,13234.0,341162.0,28.06923076923077,7,UNIVERSITY OF TEXAS DALLAS,1
14,2,6,4,2,22031.0,443170.0,21.56642857142857,8,SOUTH CHINA AGRICULTURAL UNIVERSITY,1
22,2,20,0,0,64708.0,1642920.0,25.737272727272728,22,UTAH SYSTEM OF HIGHER EDUCATION,1
20,0,14,3,3,36031.0,861299.0,24.083000000000006,14,UNIVERSITY OF ILLINOIS CHICAGO HOSPITAL,1
17,0,11,4,2,25033.0,611157.0,22.373529411764707,11,UNIVERSITY OF MANITOBA,1
10,4,2,3,1,22594.0,1459072.0,57.87700000000001,6,DANA-FARBER CANCER INSTITUTE,1
19,2,14,3,0,44172.0,1044919.0,22.391052631578944,16,UNIVERSIDADE DO PORTO,1
19,0,13,6,0,30192.0,742853.0,25.144736842105264,13,LOUISIANA STATE UNIVERSITY SYSTEM,1
21,4,17,0,0,58370.0,1841009.0,31.49523809523809,21,UNIVERSITY OF GRONINGEN,1
15,2,9,3,1,31754.0,759898.0,24.285333333333334,11,DEAKIN UNIVERSITY,1
14,3,7,3,1,19930.0,741138.0,41.69642857142856,10,KING ABDULLAH UNIVERSITY OF SCIENCE & TECHNOLOGY,1
17,0,8,6,3,24605.0,620198.0,25.241764705882353,8,ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY (RMIT),1
11,3,4,2,2,13259.0,1155772.0,66.27272727272728,7,BROAD INSTITUTE,1
16,0,9,5,2,21529.0,541688.0,26.758750000000003,9,AALTO UNIVERSITY,1
18,0,13,4,1,30203.0,841949.0,27.408333333333335,13,CURTIN UNIVERSITY,1
18,4,8,3,3,53511.0,1710461.0,28.831666666666663,12,VANDERBILT UNIVERSITY,1
22,0,16,5,1,51270.0,1372398.0,26.589999999999996,16,UNIVERSITY OF UTAH,1
18,6,7,5,0,39023.0,1294536.0,32.82722222222222,13,UK RESEARCH & INNOVATION (UKRI),1
17,0,6,9,2,22323.0,580199.0,26.658235294117645,6,LINKOPING UNIVERSITY,1
18,0,12,3,3,26982.0,771552.0,25.284999999999997,12,UNIVERSITY OF BERGEN,1
15,0,8,5,2,22913.0,573697.0,23.66,8,WAYNE STATE UNIVERSITY,1
19,0,10,8,1,22514.0,615267.0,27.98578947368421,10,QUEENS UNIVERSITY BELFAST,1
15,0,9,5,1,23720.0,457178.0,19.69,9,COMSATS UNIVERSITY ISLAMABAD (CUI),1
21,7,9,4,1,47638.0,1523716.0,30.05190476190475,16,UNIVERSITY OF MARYLAND COLLEGE PARK,1
21,5,13,3,0,65985.0,1977298.0,27.586190476190467,18,UNIVERSITY OF BARCELONA,1
15,0,6,7,2,15609.0,373998.0,26.642,6,UNIVERSITE FEDERALE TOULOUSE MIDI-PYRENEES (COMUE),1
13,3,5,2,3,44142.0,1427822.0,28.787692307692307,8,CHARITE UNIVERSITATSMEDIZIN BERLIN,1
14,1,6,4,3,15354.0,597770.0,37.60142857142858,7,UNIVERSITY OF CALIFORNIA SANTA CRUZ,1
17,1,10,2,4,39382.0,1031285.0,28.53058823529412,11,MAASTRICHT UNIVERSITY,1
16,3,6,3,4,26593.0,810635.0,27.066249999999997,9,HONG KONG UNIVERSITY OF SCIENCE & TECHNOLOGY,1
20,0,18,2,0,47195.0,1221217.0,23.901500000000002,18,UNIVERSITY OF TENNESSEE SYSTEM,1
19,0,16,3,0,41373.0,1190383.0,27.200526315789478,16,UNIVERSITY OF LIVERPOOL,1
