学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
BIOLOGY & BIOCHEMISTRY,CHINESE ACADEMY OF SCIENCES,3,22015,548769,24.930
BIOLOGY & BIOCHEMISTRY,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",34,8703,203162,23.340
BIOLOGY & BIOCHEMISTRY,SHANGHAI JIAO TONG UNIVERSITY,43,8911,181585,20.380
BIOLOGY & BIOCHEMISTRY,ZHEJIANG UNIVERSITY,52,7545,155788,20.650
BIOLOGY & BIOCHEMISTRY,PEKING UNIVERSITY,62,5602,142206,25.380
BIOLOGY & BIOCHEMISTRY,FUDAN UNIVERSITY,79,6508,124101,19.070
BIOLOGY & BIOCHEMISTRY,TSINGHUA UNIVERSITY,85,3624,118042,32.570
BIOLOGY & BIOCHEMISTRY,SUN YAT SEN UNIVERSITY,91,5694,116152,20.400
BIOLOGY & BIOCHEMISTRY,HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,116,4770,102736,21.540
BIOLOGY & BIOCHEMISTRY,SICHUAN UNIVERSITY,129,4659,91907,19.730
BIOLOGY & BIOCHEMISTRY,SHANDONG UNIVERSITY,141,5166,87733,16.980
BIOLOGY & BIOCHEMISTRY,CENTRAL SOUTH UNIVERSITY,142,4178,87705,20.990
BIOLOGY & BIOCHEMISTRY,CHINESE ACADEMY OF MEDICAL SCIENCES - PEKING UNION MEDICAL COLLEGE,145,4806,86508,18.000
BIOLOGY & BIOCHEMISTRY,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,175,3652,76344,20.900
BIOLOGY & BIOCHEMISTRY,JIANGNAN UNIVERSITY,176,4122,76175,18.480
BIOLOGY & BIOCHEMISTRY,NANJING MEDICAL UNIVERSITY,188,4525,73288,16.200
BIOLOGY & BIOCHEMISTRY,WUHAN UNIVERSITY,202,3544,70307,19.840
BIOLOGY & BIOCHEMISTRY,SOUTHERN MEDICAL UNIVERSITY - CHINA,205,3816,69559,18.230
BIOLOGY & BIOCHEMISTRY,CHINA AGRICULTURAL UNIVERSITY,215,2619,65960,25.190
BIOLOGY & BIOCHEMISTRY,TONGJI UNIVERSITY,217,3221,65198,20.240
BIOLOGY & BIOCHEMISTRY,ZHENGZHOU UNIVERSITY,219,3816,64944,17.020
BIOLOGY & BIOCHEMISTRY,JILIN UNIVERSITY,221,3685,64283,17.440
BIOLOGY & BIOCHEMISTRY,PEKING UNION MEDICAL COLLEGE,232,3559,62258,17.490
BIOLOGY & BIOCHEMISTRY,CAPITAL MEDICAL UNIVERSITY,256,3894,57148,14.680
BIOLOGY & BIOCHEMISTRY,NORTHWEST A&F UNIVERSITY - CHINA,271,2168,53994,24.900
BIOLOGY & BIOCHEMISTRY,XI'AN JIAOTONG UNIVERSITY,273,3018,53945,17.870
BIOLOGY & BIOCHEMISTRY,HUAZHONG AGRICULTURAL UNIVERSITY,284,2366,52487,22.180
BIOLOGY & BIOCHEMISTRY,HARBIN INSTITUTE OF TECHNOLOGY,290,1650,52116,31.590
BIOLOGY & BIOCHEMISTRY,NANJING AGRICULTURAL UNIVERSITY,303,2318,50295,21.700
BIOLOGY & BIOCHEMISTRY,SOOCHOW UNIVERSITY - CHINA,304,3209,49990,15.580
BIOLOGY & BIOCHEMISTRY,SOUTH CHINA UNIVERSITY OF TECHNOLOGY,305,2287,49937,21.840
BIOLOGY & BIOCHEMISTRY,"UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS",318,2276,48439,21.280
BIOLOGY & BIOCHEMISTRY,TIANJIN UNIVERSITY,319,2002,48340,24.150
BIOLOGY & BIOCHEMISTRY,JINAN UNIVERSITY,324,2463,46790,19.000
BIOLOGY & BIOCHEMISTRY,NANJING UNIVERSITY,340,2386,44195,18.520
BIOLOGY & BIOCHEMISTRY,GUANGZHOU MEDICAL UNIVERSITY,346,2144,43451,20.270
BIOLOGY & BIOCHEMISTRY,XIAMEN UNIVERSITY,348,2079,43393,20.870
BIOLOGY & BIOCHEMISTRY,HARBIN MEDICAL UNIVERSITY,361,2194,42276,19.270
BIOLOGY & BIOCHEMISTRY,WENZHOU MEDICAL UNIVERSITY,367,2718,41730,15.350
BIOLOGY & BIOCHEMISTRY,NANKAI UNIVERSITY,368,1779,41637,23.400
BIOLOGY & BIOCHEMISTRY,NANCHANG UNIVERSITY,383,2242,39583,17.660
BIOLOGY & BIOCHEMISTRY,CHINA MEDICAL UNIVERSITY,407,2374,37604,15.840
BIOLOGY & BIOCHEMISTRY,QINGDAO UNIVERSITY,413,2348,36881,15.710
BIOLOGY & BIOCHEMISTRY,TIANJIN MEDICAL UNIVERSITY,425,2202,35963,16.330
BIOLOGY & BIOCHEMISTRY,EAST CHINA UNIVERSITY OF SCIENCE & TECHNOLOGY,428,1862,35764,19.210
BIOLOGY & BIOCHEMISTRY,SHANGHAITECH UNIVERSITY,432,1102,35237,31.980
BIOLOGY & BIOCHEMISTRY,SOUTHEAST UNIVERSITY - CHINA,433,1631,35226,21.600
BIOLOGY & BIOCHEMISTRY,AIR FORCE MEDICAL UNIVERSITY,444,1744,34777,19.940
BIOLOGY & BIOCHEMISTRY,JIANGSU UNIVERSITY,452,1887,34203,18.130
BIOLOGY & BIOCHEMISTRY,SHENZHEN UNIVERSITY,467,1843,32759,17.770
BIOLOGY & BIOCHEMISTRY,OCEAN UNIVERSITY OF CHINA,468,1741,32625,18.740
BIOLOGY & BIOCHEMISTRY,NAVAL MEDICAL UNIVERSITY,470,1821,32547,17.870
BIOLOGY & BIOCHEMISTRY,ARMY MEDICAL UNIVERSITY,472,1645,32355,19.670
BIOLOGY & BIOCHEMISTRY,"INSTITUTE OF MICROBIOLOGY, CAS",481,993,31797,32.020
BIOLOGY & BIOCHEMISTRY,SOUTH CHINA AGRICULTURAL UNIVERSITY,483,1486,31701,21.330
BIOLOGY & BIOCHEMISTRY,"SHENZHEN INSTITUTE OF ADVANCED TECHNOLOGY, CAS",491,999,31256,31.290
BIOLOGY & BIOCHEMISTRY,"INSTITUTE OF BIOPHYSICS, CAS",495,1160,30969,26.700
BIOLOGY & BIOCHEMISTRY,SHANDONG FIRST MEDICAL UNIVERSITY & SHANDONG ACADEMY OF MEDICAL SCIENCES,496,2391,30815,12.890
BIOLOGY & BIOCHEMISTRY,CHONGQING MEDICAL UNIVERSITY,502,2332,30552,13.100
BIOLOGY & BIOCHEMISTRY,HUNAN UNIVERSITY,518,712,29544,41.490
BIOLOGY & BIOCHEMISTRY,NANJING FORESTRY UNIVERSITY,523,1445,29172,20.190
BIOLOGY & BIOCHEMISTRY,BEIJING GENOMICS INSTITUTE (BGI),524,548,29149,53.190
BIOLOGY & BIOCHEMISTRY,CHINESE PEOPLE'S LIBERATION ARMY GENERAL HOSPITAL,530,1529,28895,18.900
BIOLOGY & BIOCHEMISTRY,CHINA PHARMACEUTICAL UNIVERSITY,545,1401,28003,19.990
BIOLOGY & BIOCHEMISTRY,UNIVERSITY OF ELECTRONIC SCIENCE & TECHNOLOGY OF CHINA,550,1104,27863,25.240
BIOLOGY & BIOCHEMISTRY,ANHUI MEDICAL UNIVERSITY,555,2058,27528,13.380
BIOLOGY & BIOCHEMISTRY,SOUTHWEST UNIVERSITY - CHINA,556,1426,27495,19.280
BIOLOGY & BIOCHEMISTRY,YANGZHOU UNIVERSITY,557,1655,27402,16.560
BIOLOGY & BIOCHEMISTRY,CHONGQING UNIVERSITY,578,1194,26429,22.130
BIOLOGY & BIOCHEMISTRY,NORTHEAST AGRICULTURAL UNIVERSITY - CHINA,579,1214,26423,21.770
BIOLOGY & BIOCHEMISTRY,NANJING UNIVERSITY OF CHINESE MEDICINE,587,1585,26059,16.440
BIOLOGY & BIOCHEMISTRY,TIANJIN UNIVERSITY SCIENCE & TECHNOLOGY,624,1309,24611,18.800
BIOLOGY & BIOCHEMISTRY,LAOSHAN LABORATORY,626,1283,24558,19.140
BIOLOGY & BIOCHEMISTRY,DALIAN UNIVERSITY OF TECHNOLOGY,630,1085,24428,22.510
BIOLOGY & BIOCHEMISTRY,"CENTER FOR EXCELLENCE IN MOLECULAR CELL SCIENCE, CAS",634,768,24290,31.630
BIOLOGY & BIOCHEMISTRY,ZHEJIANG UNIVERSITY OF TECHNOLOGY,653,1358,23464,17.280
BIOLOGY & BIOCHEMISTRY,SICHUAN AGRICULTURAL UNIVERSITY,659,1155,23294,20.170
BIOLOGY & BIOCHEMISTRY,NANJING TECH UNIVERSITY,662,1130,23179,20.510
BIOLOGY & BIOCHEMISTRY,LANZHOU UNIVERSITY,672,1560,22771,14.600
BIOLOGY & BIOCHEMISTRY,BEIJING UNIVERSITY OF CHEMICAL TECHNOLOGY,689,1037,21846,21.070
BIOLOGY & BIOCHEMISTRY,"SHANGHAI INSTITUTE OF MATERIA MEDICA, CAS",716,771,21097,27.360
BIOLOGY & BIOCHEMISTRY,EAST CHINA NORMAL UNIVERSITY,721,897,20837,23.230
BIOLOGY & BIOCHEMISTRY,"INSTITUTE OF GENETICS & DEVELOPMENTAL BIOLOGY, CAS",724,440,20680,47.000
BIOLOGY & BIOCHEMISTRY,SHANGHAI UNIVERSITY OF TRADITIONAL CHINESE MEDICINE,734,1257,20527,16.330
BIOLOGY & BIOCHEMISTRY,FUJIAN AGRICULTURE & FORESTRY UNIVERSITY,736,973,20486,21.050
BIOLOGY & BIOCHEMISTRY,BEIJING FORESTRY UNIVERSITY,752,872,19916,22.840
BIOLOGY & BIOCHEMISTRY,DALIAN MEDICAL UNIVERSITY,757,1218,19820,16.270
BIOLOGY & BIOCHEMISTRY,"INSTITUTE OF ZOOLOGY, CAS",761,724,19734,27.260
BIOLOGY & BIOCHEMISTRY,GUANGXI UNIVERSITY,773,1019,19384,19.020
BIOLOGY & BIOCHEMISTRY,"TIANJIN INSTITUTE OF INDUSTRIAL BIOTECHNOLOGY, CAS",774,885,19324,21.840
BIOLOGY & BIOCHEMISTRY,FUJIAN MEDICAL UNIVERSITY,775,1833,19270,10.510
BIOLOGY & BIOCHEMISTRY,NANTONG UNIVERSITY,776,1401,19256,13.740
BIOLOGY & BIOCHEMISTRY,SOUTHERN UNIVERSITY OF SCIENCE & TECHNOLOGY,796,1070,18634,17.410
BIOLOGY & BIOCHEMISTRY,BEIJING UNIVERSITY OF TECHNOLOGY,837,707,17669,24.990
BIOLOGY & BIOCHEMISTRY,PEKING UNION MEDICAL COLLEGE HOSPITAL,840,1053,17601,16.720
BIOLOGY & BIOCHEMISTRY,SOUTHWEST MEDICAL UNIVERSITY,842,979,17593,17.970
BIOLOGY & BIOCHEMISTRY,COLLABORATIVE INNOVATION CENTER OF CHEMICAL SCIENCE & ENGINEERING TIANJIN,864,550,16916,30.760
BIOLOGY & BIOCHEMISTRY,NINGBO UNIVERSITY,878,1255,16554,13.190
BIOLOGY & BIOCHEMISTRY,HENAN UNIVERSITY,894,845,16253,19.230
BIOLOGY & BIOCHEMISTRY,BEIJING NORMAL UNIVERSITY,908,711,15724,22.120
BIOLOGY & BIOCHEMISTRY,ZHEJIANG CHINESE MEDICAL UNIVERSITY,916,1121,15518,13.840
BIOLOGY & BIOCHEMISTRY,HEBEI MEDICAL UNIVERSITY,925,1375,15460,11.240
BIOLOGY & BIOCHEMISTRY,QILU UNIVERSITY OF TECHNOLOGY,936,911,15269,16.760
BIOLOGY & BIOCHEMISTRY,SHANGHAI UNIVERSITY,956,828,14861,17.950
BIOLOGY & BIOCHEMISTRY,HUNAN AGRICULTURAL UNIVERSITY,959,625,14765,23.620
BIOLOGY & BIOCHEMISTRY,XUZHOU MEDICAL UNIVERSITY,961,1132,14697,12.980
BIOLOGY & BIOCHEMISTRY,GUANGZHOU UNIVERSITY OF CHINESE MEDICINE,966,1052,14581,13.860
BIOLOGY & BIOCHEMISTRY,HAINAN UNIVERSITY,972,836,14488,17.330
BIOLOGY & BIOCHEMISTRY,NORTHWEST UNIVERSITY XI'AN,975,918,14427,15.720
BIOLOGY & BIOCHEMISTRY,STATE KEY LAB ONCOLOGY SOUTH CHINA,978,580,14341,24.730
BIOLOGY & BIOCHEMISTRY,GUANGXI MEDICAL UNIVERSITY,979,1307,14268,10.920
BIOLOGY & BIOCHEMISTRY,BEIJING UNIVERSITY OF CHINESE MEDICINE,984,834,14147,16.960
