学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
CHEMISTRY,CHINESE ACADEMY OF SCIENCES,1,112235,3292410,29.330
CHEMISTRY,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",4,38836,1044311,26.890
CHEMISTRY,"UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS",6,17888,582348,32.560
CHEMISTRY,TSINGHUA UNIVERSITY,7,16857,575606,34.150
CHEMISTRY,ZHEJIANG UNIVERSITY,11,17893,463362,25.900
CHEMISTRY,TIANJIN UNIVERSITY,15,15433,433609,28.100
CHEMISTRY,NANKAI UNIVERSITY,17,12149,382935,31.520
CHEMISTRY,JILIN UNIVERSITY,18,16001,373622,23.350
CHEMISTRY,SOUTH CHINA UNIVERSITY OF TECHNOLOGY,19,12155,361372,29.730
CHEMISTRY,SICHUAN UNIVERSITY,22,17093,353010,20.650
CHEMISTRY,NANJING UNIVERSITY,23,12062,352286,29.210
CHEMISTRY,PEKING UNIVERSITY,24,11401,351469,30.830
CHEMISTRY,ZHENGZHOU UNIVERSITY,28,11783,315406,26.770
CHEMISTRY,"INSTITUTE OF CHEMISTRY, CAS",31,8218,303879,36.980
CHEMISTRY,"DALIAN INSTITUTE OF CHEMICAL PHYSICS, CAS",33,8579,302033,35.210
CHEMISTRY,SHANGHAI JIAO TONG UNIVERSITY,34,12152,295876,24.350
CHEMISTRY,EAST CHINA UNIVERSITY OF SCIENCE & TECHNOLOGY,36,12950,294276,22.720
CHEMISTRY,BEIJING UNIVERSITY OF CHEMICAL TECHNOLOGY,37,10926,293928,26.900
CHEMISTRY,COLLABORATIVE INNOVATION CENTER OF CHEMICAL SCIENCE & ENGINEERING TIANJIN,38,6763,292300,43.220
CHEMISTRY,SUN YAT SEN UNIVERSITY,39,10176,282014,27.710
CHEMISTRY,SOOCHOW UNIVERSITY - CHINA,40,9491,281624,29.670
CHEMISTRY,FUDAN UNIVERSITY,42,10405,281452,27.050
CHEMISTRY,XIAMEN UNIVERSITY,43,9464,278451,29.420
CHEMISTRY,HUNAN UNIVERSITY,46,7294,272387,37.340
CHEMISTRY,DALIAN UNIVERSITY OF TECHNOLOGY,47,11333,269608,23.790
CHEMISTRY,SHANDONG UNIVERSITY,48,11885,260305,21.900
CHEMISTRY,HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,49,9307,248719,26.720
CHEMISTRY,WUHAN UNIVERSITY,51,8356,246355,29.480
CHEMISTRY,HARBIN INSTITUTE OF TECHNOLOGY,52,10020,246308,24.580
CHEMISTRY,FUZHOU UNIVERSITY,54,7781,238722,30.680
CHEMISTRY,NANJING TECH UNIVERSITY,56,9783,235451,24.070
CHEMISTRY,CENTRAL SOUTH UNIVERSITY,61,9419,225872,23.980
CHEMISTRY,XI'AN JIAOTONG UNIVERSITY,64,10099,221171,21.900
CHEMISTRY,"SHANGHAI INSTITUTE OF ORGANIC CHEMISTRY, CAS",66,6524,206587,31.670
CHEMISTRY,"CHANGCHUN INSTITUTE OF APPLIED CHEMISTRY, CAS",68,6834,201073,29.420
CHEMISTRY,BEIJING INSTITUTE OF TECHNOLOGY,71,8191,197540,24.120
CHEMISTRY,JIANGSU UNIVERSITY,72,7936,195898,24.680
CHEMISTRY,CHINA UNIVERSITY OF PETROLEUM,75,10004,190463,19.040
CHEMISTRY,WUHAN UNIVERSITY OF TECHNOLOGY,77,5159,186333,36.120
CHEMISTRY,LANZHOU UNIVERSITY,84,6982,173940,24.910
CHEMISTRY,CHONGQING UNIVERSITY,85,7509,172365,22.950
CHEMISTRY,SOUTHEAST UNIVERSITY - CHINA,86,7805,171672,22.000
CHEMISTRY,SHENZHEN UNIVERSITY,89,5935,164432,27.710
CHEMISTRY,EAST CHINA NORMAL UNIVERSITY,90,5420,164390,30.330
CHEMISTRY,"FUJIAN INSTITUTE OF RESEARCH ON THE STRUCTURE OF MATTER, CAS",91,5573,163996,29.430
CHEMISTRY,STATE KEY LABORATORY SURFACTANT FINE CHEMISTRY,92,5634,160347,28.460
CHEMISTRY,ZHEJIANG UNIVERSITY OF TECHNOLOGY,105,7375,152991,20.740
CHEMISTRY,SHANGHAI UNIVERSITY,109,6215,146652,23.600
CHEMISTRY,QINGDAO UNIVERSITY OF SCIENCE & TECHNOLOGY,114,7188,145700,20.270
CHEMISTRY,SOUTHERN UNIVERSITY OF SCIENCE & TECHNOLOGY,115,5022,144070,28.690
CHEMISTRY,NORTHWESTERN POLYTECHNICAL UNIVERSITY,123,5629,140071,24.880
CHEMISTRY,UNIVERSITY OF SCIENCE & TECHNOLOGY BEIJING,131,6039,136767,22.650
CHEMISTRY,TONGJI UNIVERSITY,141,5487,131179,23.910
CHEMISTRY,UNIVERSITY OF ELECTRONIC SCIENCE & TECHNOLOGY OF CHINA,144,4572,129467,28.320
CHEMISTRY,JIANGNAN UNIVERSITY,147,6444,126029,19.560
CHEMISTRY,BEIHANG UNIVERSITY,153,3882,122945,31.670
CHEMISTRY,NANJING UNIVERSITY OF SCIENCE & TECHNOLOGY,156,5770,122147,21.170
CHEMISTRY,"INSTITUTE OF HIGH ENERGY PHYSICS, CAS",159,2756,120175,43.600
CHEMISTRY,YANGZHOU UNIVERSITY,160,5201,119575,22.990
CHEMISTRY,DONGHUA UNIVERSITY,162,4735,118663,25.060
CHEMISTRY,NANJING FORESTRY UNIVERSITY,163,5356,118460,22.120
CHEMISTRY,SOUTHWEST UNIVERSITY - CHINA,164,5244,118317,22.560
CHEMISTRY,QINGDAO UNIVERSITY,171,4489,115745,25.780
CHEMISTRY,UNIVERSITY OF JINAN,185,4487,109999,24.520
CHEMISTRY,CHINA UNIVERSITY OF GEOSCIENCES,199,4391,102237,23.280
CHEMISTRY,"INSTITUTE OF PROCESS ENGINEERING, CAS",201,4102,101725,24.800
CHEMISTRY,NORTHWEST UNIVERSITY XI'AN,203,5168,100891,19.520
CHEMISTRY,"SHANGHAI INSTITUTE OF APPLIED PHYSICS, CAS",211,2000,98419,49.210
CHEMISTRY,SHAANXI NORMAL UNIVERSITY,213,3927,97156,24.740
CHEMISTRY,NANCHANG UNIVERSITY,215,4152,96742,23.300
CHEMISTRY,"TECHNICAL INSTITUTE OF PHYSICS & CHEMISTRY, CAS",222,2567,95517,37.210
CHEMISTRY,"INSTITUTE OF PHYSICS, CAS",230,1689,93270,55.220
CHEMISTRY,JINAN UNIVERSITY,236,4099,92125,22.470
CHEMISTRY,"LANZHOU INSTITUTE OF CHEMICAL PHYSICS, CAS",238,3367,91865,27.280
CHEMISTRY,BEIJING NORMAL UNIVERSITY,242,3871,91056,23.520
CHEMISTRY,GUANGDONG UNIVERSITY OF TECHNOLOGY,246,4080,90049,22.070
CHEMISTRY,CENTRAL CHINA NORMAL UNIVERSITY,248,2434,89101,36.610
CHEMISTRY,NANJING NORMAL UNIVERSITY,250,2975,88927,29.890
CHEMISTRY,NORTHEAST NORMAL UNIVERSITY - CHINA,251,3791,88602,23.370
CHEMISTRY,TAIYUAN UNIVERSITY OF TECHNOLOGY,252,4894,88381,18.060
CHEMISTRY,NORTHEASTERN UNIVERSITY - CHINA,254,5153,87851,17.050
CHEMISTRY,SHANDONG UNIVERSITY OF SCIENCE & TECHNOLOGY,260,3163,87004,27.510
CHEMISTRY,"NATIONAL CENTER FOR NANOSCIENCE & TECHNOLOGY, CAS",262,2180,85907,39.410
CHEMISTRY,HENAN NORMAL UNIVERSITY,264,4133,85674,20.730
CHEMISTRY,SHANGHAITECH UNIVERSITY,266,2696,85564,31.740
CHEMISTRY,CHINA PHARMACEUTICAL UNIVERSITY,273,4432,83865,18.920
CHEMISTRY,"HEFEI INSTITUTES OF PHYSICAL SCIENCE, CAS",274,3606,83650,23.200
CHEMISTRY,"INSTITUTE OF COAL CHEMISTRY, CAS",275,2581,83404,32.310
CHEMISTRY,SHANDONG NORMAL UNIVERSITY,285,2870,82102,28.610
CHEMISTRY,BEIJING UNIVERSITY OF TECHNOLOGY,286,3165,81712,25.820
CHEMISTRY,CHINA UNIVERSITY OF MINING & TECHNOLOGY,289,5225,81508,15.600
CHEMISTRY,"NINGBO INSTITUTE OF MATERIALS TECHNOLOGY & ENGINEERING, CAS",297,2755,79308,28.790
CHEMISTRY,CHINESE ACADEMY OF ENGINEERING PHYSICS,310,3806,76622,20.130
CHEMISTRY,ZHEJIANG NORMAL UNIVERSITY,312,2761,76465,27.690
CHEMISTRY,CHANGZHOU UNIVERSITY,317,4644,75178,16.190
CHEMISTRY,ANHUI UNIVERSITY,319,3559,75061,21.090
CHEMISTRY,ZHEJIANG SCI-TECH UNIVERSITY,323,4005,74366,18.570
CHEMISTRY,GUANGXI UNIVERSITY,326,4098,73219,17.870
CHEMISTRY,TIANGONG UNIVERSITY,327,3537,73029,20.650
CHEMISTRY,HENAN UNIVERSITY,329,3630,72406,19.950
CHEMISTRY,SHANXI UNIVERSITY,333,3497,71367,20.410
CHEMISTRY,QILU UNIVERSITY OF TECHNOLOGY,350,3856,69689,18.070
CHEMISTRY,SOUTH CHINA NORMAL UNIVERSITY,352,3008,69203,23.010
CHEMISTRY,TIANJIN UNIVERSITY OF TECHNOLOGY,355,2399,68709,28.640
CHEMISTRY,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,357,3936,68537,17.410
CHEMISTRY,OCEAN UNIVERSITY OF CHINA,358,3421,68450,20.010
CHEMISTRY,KUNMING UNIVERSITY OF SCIENCE & TECHNOLOGY,370,4567,66392,14.540
CHEMISTRY,SHAANXI UNIVERSITY OF SCIENCE & TECHNOLOGY,380,3116,65562,21.040
CHEMISTRY,NINGBO UNIVERSITY,381,3922,65457,16.690
CHEMISTRY,HEFEI UNIVERSITY OF TECHNOLOGY,383,3392,65254,19.240
CHEMISTRY,"SHANGHAI INSTITUTE OF CERAMICS, CAS",389,1662,64219,38.640
CHEMISTRY,JIANGXI NORMAL UNIVERSITY,391,2595,63849,24.600
CHEMISTRY,CHINA AGRICULTURAL UNIVERSITY,398,3270,63238,19.340
CHEMISTRY,XIANGTAN UNIVERSITY,406,3120,62687,20.090
CHEMISTRY,SOUTHWEST PETROLEUM UNIVERSITY,410,3518,61966,17.610
CHEMISTRY,COLLABORATIVE INNOVATION CENTER OF ADVANCED MICROSTRUCTURES (CICAM),412,1851,61479,33.210
CHEMISTRY,"SHANGHAI ADVANCED RESEARCH INSTITUTE, CAS",416,1937,61214,31.600
CHEMISTRY,SOUTH CHINA AGRICULTURAL UNIVERSITY,422,2403,60102,25.010
CHEMISTRY,WUHAN INSTITUTE OF TECHNOLOGY,431,2879,59002,20.490
CHEMISTRY,HUBEI UNIVERSITY,435,2531,58378,23.070
CHEMISTRY,HEBEI UNIVERSITY OF TECHNOLOGY,442,3383,57613,17.030
CHEMISTRY,"INSTITUTE OF METAL RESEARCH, CAS",447,1425,57471,40.330
CHEMISTRY,HEILONGJIANG UNIVERSITY,450,2069,57197,27.640
CHEMISTRY,NANJING UNIVERSITY OF POSTS & TELECOMMUNICATIONS,462,2432,55663,22.890
CHEMISTRY,GUIZHOU UNIVERSITY,464,3937,55549,14.110
CHEMISTRY,GUANGZHOU UNIVERSITY,466,2080,55213,26.540
CHEMISTRY,CHINESE ACADEMY OF MEDICAL SCIENCES - PEKING UNION MEDICAL COLLEGE,473,3670,54752,14.920
CHEMISTRY,QUFU NORMAL UNIVERSITY,474,2183,54697,25.060
CHEMISTRY,"SHANGHAI INSTITUTE OF MATERIA MEDICA, CAS",486,2576,53463,20.750
CHEMISTRY,UNIVERSITY OF SHANGHAI FOR SCIENCE & TECHNOLOGY,489,2722,52909,19.440
CHEMISTRY,"RESEARCH CENTER FOR ECO-ENVIRONMENTAL SCIENCES (RCEES), CAS",491,1623,52779,32.520
CHEMISTRY,BEIJING FORESTRY UNIVERSITY,493,1931,52544,27.210
CHEMISTRY,ANHUI NORMAL UNIVERSITY,497,2286,52161,22.820
CHEMISTRY,NORTHWEST NORMAL UNIVERSITY - CHINA,498,2745,52087,18.980
CHEMISTRY,NANJING UNIVERSITY OF AERONAUTICS & ASTRONAUTICS,501,2322,51706,22.270
CHEMISTRY,SOUTHWEST UNIVERSITY OF SCIENCE & TECHNOLOGY - CHINA,503,2624,51487,19.620
CHEMISTRY,TSINGHUA SHENZHEN INTERNATIONAL GRADUATE SCHOOL,505,1504,51421,34.190
CHEMISTRY,NORTHWEST A&F UNIVERSITY - CHINA,508,2601,51300,19.720
CHEMISTRY,JIANGSU UNIVERSITY OF SCIENCE & TECHNOLOGY,509,2435,51224,21.040
CHEMISTRY,NORTH CHINA ELECTRIC POWER UNIVERSITY,510,2282,51172,22.420
CHEMISTRY,LIAOCHENG UNIVERSITY,526,2884,50209,17.410
CHEMISTRY,HAINAN UNIVERSITY,537,2773,49467,17.840
CHEMISTRY,HUAZHONG AGRICULTURAL UNIVERSITY,538,2011,49379,24.550
CHEMISTRY,TIANJIN UNIVERSITY SCIENCE & TECHNOLOGY,540,2419,49273,20.370
CHEMISTRY,FUJIAN NORMAL UNIVERSITY,561,2581,47143,18.270
