学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
COMPUTER SCIENCE,CHINESE ACADEMY OF SCIENCES,1,17814,288264,16.180
COMPUTER SCIENCE,TSINGHUA UNIVERSITY,2,8320,153722,18.480
COMPUTER SCIENCE,UNIVERSITY OF ELECTRONIC SCIENCE & TECHNOLOGY OF CHINA,4,7101,136731,19.260
COMPUTER SCIENCE,SOUTHEAST UNIVERSITY - CHINA,5,6828,136118,19.940
COMPUTER SCIENCE,XIDIAN UNIVERSITY,6,7826,132359,16.910
COMPUTER SCIENCE,ZHEJIANG UNIVERSITY,13,7122,104389,14.660
COMPUTER SCIENCE,BEIJING UNIVERSITY OF POSTS & TELECOMMUNICATIONS,14,6740,103471,15.350
COMPUTER SCIENCE,HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,15,5296,103216,19.490
COMPUTER SCIENCE,SHANGHAI JIAO TONG UNIVERSITY,16,6453,99961,15.490
COMPUTER SCIENCE,HARBIN INSTITUTE OF TECHNOLOGY,22,5599,90004,16.080
COMPUTER SCIENCE,WUHAN UNIVERSITY,23,4641,88348,19.040
COMPUTER SCIENCE,BEIHANG UNIVERSITY,24,5335,83771,15.700
COMPUTER SCIENCE,DALIAN UNIVERSITY OF TECHNOLOGY,30,4065,78160,19.230
COMPUTER SCIENCE,CENTRAL SOUTH UNIVERSITY,32,3841,76501,19.920
COMPUTER SCIENCE,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",35,5785,74207,12.830
COMPUTER SCIENCE,SOUTH CHINA UNIVERSITY OF TECHNOLOGY,37,3789,73185,19.320
COMPUTER SCIENCE,SHENZHEN UNIVERSITY,39,3723,71901,19.310
COMPUTER SCIENCE,BEIJING INSTITUTE OF TECHNOLOGY,40,4485,70608,15.740
COMPUTER SCIENCE,NORTHWESTERN POLYTECHNICAL UNIVERSITY,42,4260,69236,16.250
COMPUTER SCIENCE,SUN YAT SEN UNIVERSITY,43,4201,68433,16.290
COMPUTER SCIENCE,"UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS",45,4333,66935,15.450
COMPUTER SCIENCE,NORTHEASTERN UNIVERSITY - CHINA,46,3844,64476,16.770
COMPUTER SCIENCE,TIANJIN UNIVERSITY,47,3807,63475,16.670
COMPUTER SCIENCE,SICHUAN UNIVERSITY,49,3364,61791,18.370
COMPUTER SCIENCE,XI'AN JIAOTONG UNIVERSITY,50,3975,61718,15.530
COMPUTER SCIENCE,NANJING UNIVERSITY OF INFORMATION SCIENCE & TECHNOLOGY,52,2860,60941,21.310
COMPUTER SCIENCE,HUNAN UNIVERSITY,53,3090,59845,19.370
COMPUTER SCIENCE,TONGJI UNIVERSITY,56,3403,57340,16.850
COMPUTER SCIENCE,PEKING UNIVERSITY,57,3537,56529,15.980
COMPUTER SCIENCE,NANJING UNIVERSITY OF POSTS & TELECOMMUNICATIONS,59,3656,54418,14.880
COMPUTER SCIENCE,NATIONAL UNIVERSITY OF DEFENSE TECHNOLOGY - CHINA,60,4272,54388,12.730
COMPUTER SCIENCE,HUAWEI TECHNOLOGIES,63,2380,52438,22.030
COMPUTER SCIENCE,NANJING UNIVERSITY OF SCIENCE & TECHNOLOGY,64,2879,51679,17.950
COMPUTER SCIENCE,BEIJING JIAOTONG UNIVERSITY,68,3457,51059,14.770
COMPUTER SCIENCE,NANJING UNIVERSITY OF AERONAUTICS & ASTRONAUTICS,69,3446,50076,14.530
COMPUTER SCIENCE,"INSTITUTE OF AUTOMATION, CAS",73,2218,48666,21.940
COMPUTER SCIENCE,CHONGQING UNIVERSITY,76,2969,47410,15.970
COMPUTER SCIENCE,GUANGDONG UNIVERSITY OF TECHNOLOGY,81,2157,44864,20.800
COMPUTER SCIENCE,NANJING UNIVERSITY,86,2964,43623,14.720
COMPUTER SCIENCE,SHANDONG UNIVERSITY,90,3388,43050,12.710
COMPUTER SCIENCE,HEFEI UNIVERSITY OF TECHNOLOGY,96,2297,40439,17.610
COMPUTER SCIENCE,SOUTHWEST JIAOTONG UNIVERSITY,97,2166,39869,18.410
COMPUTER SCIENCE,PENG CHENG LABORATORY,98,2417,38595,15.970
COMPUTER SCIENCE,CHINA UNIVERSITY OF GEOSCIENCES,99,1868,38579,20.650
COMPUTER SCIENCE,XIAMEN UNIVERSITY,101,2086,38263,18.340
COMPUTER SCIENCE,UNIVERSITY OF SCIENCE & TECHNOLOGY BEIJING,107,1963,36733,18.710
COMPUTER SCIENCE,CHONGQING UNIVERSITY OF POSTS & TELECOMMUNICATIONS,110,2481,35926,14.480
COMPUTER SCIENCE,SHANGHAI UNIVERSITY,111,2403,35912,14.940
COMPUTER SCIENCE,GUANGZHOU UNIVERSITY,130,2015,32797,16.280
COMPUTER SCIENCE,CHINA UNIVERSITY OF MINING & TECHNOLOGY,131,1954,32220,16.490
COMPUTER SCIENCE,HOHAI UNIVERSITY,136,1719,31483,18.310
COMPUTER SCIENCE,FUDAN UNIVERSITY,138,2552,31409,12.310
COMPUTER SCIENCE,BEIJING UNIVERSITY OF TECHNOLOGY,139,2416,31367,12.980
COMPUTER SCIENCE,DALIAN MARITIME UNIVERSITY,142,1322,30964,23.420
COMPUTER SCIENCE,ANHUI UNIVERSITY,145,1806,30446,16.860
COMPUTER SCIENCE,HANGZHOU DIANZI UNIVERSITY,151,2260,29824,13.200
COMPUTER SCIENCE,SOUTHERN UNIVERSITY OF SCIENCE & TECHNOLOGY,157,1547,29252,18.910
COMPUTER SCIENCE,"SHENZHEN INSTITUTE OF ADVANCED TECHNOLOGY, CAS",166,1399,27702,19.800
COMPUTER SCIENCE,QINGDAO UNIVERSITY,173,1035,26622,25.720
COMPUTER SCIENCE,SOUTHWEST UNIVERSITY - CHINA,174,1368,26618,19.460
COMPUTER SCIENCE,FUZHOU UNIVERSITY,175,1779,26461,14.870
COMPUTER SCIENCE,WENZHOU UNIVERSITY,189,584,24223,41.480
COMPUTER SCIENCE,"INSTITUTE OF INFORMATION ENGINEERING, CAS",191,1422,23745,16.700
COMPUTER SCIENCE,JILIN UNIVERSITY,197,2168,23334,10.760
COMPUTER SCIENCE,ZHEJIANG UNIVERSITY OF TECHNOLOGY,201,1529,22942,15.000
COMPUTER SCIENCE,EAST CHINA NORMAL UNIVERSITY,207,1803,22336,12.390
COMPUTER SCIENCE,HARBIN ENGINEERING UNIVERSITY,213,1692,22189,13.110
COMPUTER SCIENCE,SHANDONG UNIVERSITY OF SCIENCE & TECHNOLOGY,215,1369,22102,16.140
COMPUTER SCIENCE,ZHENGZHOU UNIVERSITY,217,1536,21959,14.300
COMPUTER SCIENCE,WUHAN UNIVERSITY OF TECHNOLOGY,219,1466,21802,14.870
COMPUTER SCIENCE,SHANDONG NORMAL UNIVERSITY,220,1106,21793,19.700
COMPUTER SCIENCE,NANKAI UNIVERSITY,227,1285,20559,16.000
COMPUTER SCIENCE,JINAN UNIVERSITY,236,1499,19802,13.210
COMPUTER SCIENCE,EAST CHINA UNIVERSITY OF SCIENCE & TECHNOLOGY,238,1042,19542,18.750
COMPUTER SCIENCE,"INSTITUTE OF COMPUTING TECHNOLOGY, CAS",239,1520,19485,12.820
COMPUTER SCIENCE,CHINA UNIVERSITY OF PETROLEUM,240,1515,19326,12.760
COMPUTER SCIENCE,GUILIN UNIVERSITY OF ELECTRONIC TECHNOLOGY,242,1496,19003,12.700
COMPUTER SCIENCE,YANGZHOU UNIVERSITY,249,795,18630,23.430
COMPUTER SCIENCE,"THE CHINESE UNIVERSITY OF HONG KONG, SHENZHEN",250,977,18597,19.030
COMPUTER SCIENCE,ARMY ENGINEERING UNIVERSITY OF PLA,252,1365,18448,13.520
COMPUTER SCIENCE,CHANGSHA UNIVERSITY OF SCIENCE & TECHNOLOGY,257,825,18112,21.950
COMPUTER SCIENCE,CHINA AGRICULTURAL UNIVERSITY,273,1101,17527,15.920
COMPUTER SCIENCE,FUJIAN NORMAL UNIVERSITY,289,1018,16737,16.440
COMPUTER SCIENCE,QUFU NORMAL UNIVERSITY,294,770,16338,21.220
COMPUTER SCIENCE,DONGHUA UNIVERSITY,297,863,15986,18.520
COMPUTER SCIENCE,LIAONING UNIVERSITY OF TECHNOLOGY,300,284,15853,55.820
COMPUTER SCIENCE,BOHAI UNIVERSITY,305,297,15693,52.840
COMPUTER SCIENCE,SOOCHOW UNIVERSITY - CHINA,318,1337,15088,11.280
COMPUTER SCIENCE,SHAANXI NORMAL UNIVERSITY,327,1010,14617,14.470
COMPUTER SCIENCE,JIANGNAN UNIVERSITY,328,1193,14605,12.240
COMPUTER SCIENCE,UNIVERSITY OF SHANGHAI FOR SCIENCE & TECHNOLOGY,336,949,14255,15.020
COMPUTER SCIENCE,SHANGHAI MARITIME UNIVERSITY,345,864,13896,16.080
COMPUTER SCIENCE,HUAQIAO UNIVERSITY,346,738,13885,18.810
COMPUTER SCIENCE,JIANGSU UNIVERSITY,352,1071,13640,12.740
COMPUTER SCIENCE,BEIJING NORMAL UNIVERSITY,364,1135,13499,11.890
COMPUTER SCIENCE,QILU UNIVERSITY OF TECHNOLOGY,367,1050,13344,12.710
COMPUTER SCIENCE,YANSHAN UNIVERSITY,372,1174,13210,11.250
COMPUTER SCIENCE,PURPLE MOUNTAIN LABORATORIES,373,1005,13196,13.130
COMPUTER SCIENCE,NORTH CHINA ELECTRIC POWER UNIVERSITY,377,764,12929,16.920
COMPUTER SCIENCE,MICROSOFT CHINA,388,520,12700,24.420
COMPUTER SCIENCE,OCEAN UNIVERSITY OF CHINA,391,793,12641,15.940
COMPUTER SCIENCE,NANCHANG UNIVERSITY,399,751,12503,16.650
COMPUTER SCIENCE,XI'AN UNIVERSITY OF POSTS & TELECOMMUNICATIONS,401,1032,12494,12.110
COMPUTER SCIENCE,LANZHOU UNIVERSITY,409,707,12279,17.370
COMPUTER SCIENCE,NANTONG UNIVERSITY,411,866,12251,14.150
COMPUTER SCIENCE,SOUTH CHINA AGRICULTURAL UNIVERSITY,416,687,12107,17.620
COMPUTER SCIENCE,SHANGHAITECH UNIVERSITY,425,668,12003,17.970
COMPUTER SCIENCE,HUNAN UNIVERSITY OF SCIENCE & TECHNOLOGY,432,682,11851,17.380
