学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
ECONOMICS & BUSINESS,PEKING UNIVERSITY,44,2528,43887,17.360
ECONOMICS & BUSINESS,SOUTHWESTERN UNIVERSITY OF FINANCE & ECONOMICS - CHINA,50,2537,42815,16.880
ECONOMICS & BUSINESS,RENMIN UNIVERSITY OF CHINA,55,2860,40619,14.200
ECONOMICS & BUSINESS,CHINESE ACADEMY OF SCIENCES,60,2019,39164,19.400
ECONOMICS & BUSINESS,TSINGHUA UNIVERSITY,67,1995,37718,18.910
ECONOMICS & BUSINESS,XIAMEN UNIVERSITY,74,1963,34697,17.680
ECONOMICS & BUSINESS,ZHEJIANG UNIVERSITY,89,2032,30821,15.170
ECONOMICS & BUSINESS,SHANGHAI UNIVERSITY OF FINANCE & ECONOMICS,99,1949,29686,15.230
ECONOMICS & BUSINESS,CENTRAL UNIVERSITY OF FINANCE & ECONOMICS,116,1948,27825,14.280
ECONOMICS & BUSINESS,SHANGHAI JIAO TONG UNIVERSITY,120,1541,27395,17.780
ECONOMICS & BUSINESS,UNIVERSITY OF INTERNATIONAL BUSINESS & ECONOMICS,123,1842,27153,14.740
ECONOMICS & BUSINESS,FUDAN UNIVERSITY,135,1603,26126,16.300
ECONOMICS & BUSINESS,XI'AN JIAOTONG UNIVERSITY,137,1864,25848,13.870
ECONOMICS & BUSINESS,SUN YAT SEN UNIVERSITY,139,1528,25678,16.800
ECONOMICS & BUSINESS,HUNAN UNIVERSITY,157,1419,23300,16.420
ECONOMICS & BUSINESS,HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,163,1257,22418,17.830
ECONOMICS & BUSINESS,BEIJING INSTITUTE OF TECHNOLOGY,172,777,21738,27.980
ECONOMICS & BUSINESS,JINAN UNIVERSITY,186,1242,20567,16.560
ECONOMICS & BUSINESS,ZHONGNAN UNIVERSITY OF ECONOMICS & LAW,188,1711,20355,11.900
ECONOMICS & BUSINESS,CENTRAL SOUTH UNIVERSITY,211,712,18624,26.160
ECONOMICS & BUSINESS,NANJING UNIVERSITY,216,1184,18237,15.400
ECONOMICS & BUSINESS,WUHAN UNIVERSITY,220,1338,18031,13.480
ECONOMICS & BUSINESS,SICHUAN UNIVERSITY,247,1070,15708,14.680
ECONOMICS & BUSINESS,NANKAI UNIVERSITY,248,1187,15705,13.230
ECONOMICS & BUSINESS,TIANJIN UNIVERSITY,249,1045,15702,15.030
ECONOMICS & BUSINESS,TONGJI UNIVERSITY,268,953,15081,15.820
ECONOMICS & BUSINESS,SHANDONG UNIVERSITY,279,1139,14564,12.790
ECONOMICS & BUSINESS,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",281,720,14507,20.150
ECONOMICS & BUSINESS,CAPITAL UNIVERSITY OF ECONOMICS & BUSINESS,296,1106,14012,12.670
ECONOMICS & BUSINESS,"UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS",303,830,13814,16.640
ECONOMICS & BUSINESS,SHANGHAI UNIVERSITY,323,934,12967,13.880
ECONOMICS & BUSINESS,SOUTHWEST JIAOTONG UNIVERSITY,335,743,12564,16.910
ECONOMICS & BUSINESS,NANCHANG UNIVERSITY,338,442,12429,28.120
ECONOMICS & BUSINESS,JIANGXI UNIVERSITY OF FINANCE & ECONOMICS,339,744,12428,16.700
ECONOMICS & BUSINESS,BEIJING NORMAL UNIVERSITY,343,947,12138,12.820
ECONOMICS & BUSINESS,NANJING UNIVERSITY OF FINANCE & ECONOMICS,356,961,11784,12.260
ECONOMICS & BUSINESS,HARBIN INSTITUTE OF TECHNOLOGY,368,812,11474,14.130
ECONOMICS & BUSINESS,CHONGQING UNIVERSITY,380,923,11157,12.090
ECONOMICS & BUSINESS,SOUTH CHINA UNIVERSITY OF TECHNOLOGY,400,818,10570,12.920
ECONOMICS & BUSINESS,UNIVERSITY OF NOTTINGHAM NINGBO CHINA,414,654,10225,15.630
ECONOMICS & BUSINESS,NANJING AUDIT UNIVERSITY,417,740,10189,13.770
ECONOMICS & BUSINESS,SHENZHEN UNIVERSITY,433,743,9625,12.950
ECONOMICS & BUSINESS,BEIJING TECHNOLOGY & BUSINESS UNIVERSITY,436,512,9550,18.650
ECONOMICS & BUSINESS,BEIHANG UNIVERSITY,443,575,9258,16.100
ECONOMICS & BUSINESS,CHINA EUROPE INTERNATIONAL BUSINESS SCHOOL,444,417,9246,22.170
ECONOMICS & BUSINESS,EAST CHINA UNIVERSITY OF SCIENCE & TECHNOLOGY,461,489,8877,18.150
ECONOMICS & BUSINESS,ZHEJIANG UNIVERSITY OF FINANCE & ECONOMICS,464,725,8859,12.220
ECONOMICS & BUSINESS,ZHEJIANG GONGSHANG UNIVERSITY,480,729,8592,11.790
ECONOMICS & BUSINESS,DALIAN UNIVERSITY OF TECHNOLOGY,484,514,8526,16.590
ECONOMICS & BUSINESS,SHANGHAI LIXIN UNIVERSITY OF ACCOUNTING & FINANCE,489,516,8464,16.400
ECONOMICS & BUSINESS,DONGBEI UNIVERSITY OF FINANCE & ECONOMICS,514,700,7894,11.280
ECONOMICS & BUSINESS,"THE CHINESE UNIVERSITY OF HONG KONG, SHENZHEN",534,405,7550,18.640
ECONOMICS & BUSINESS,XI'AN JIAOTONG-LIVERPOOL UNIVERSITY,538,696,7459,10.720
ECONOMICS & BUSINESS,NANJING UNIVERSITY OF AERONAUTICS & ASTRONAUTICS,541,485,7414,15.290
ECONOMICS & BUSINESS,QINGDAO UNIVERSITY,542,494,7388,14.960
