学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
ENGINEERING,CHINESE ACADEMY OF SCIENCES,1,70445,1348146,19.140
ENGINEERING,TSINGHUA UNIVERSITY,2,36134,771539,21.350
ENGINEERING,HARBIN INSTITUTE OF TECHNOLOGY,4,31801,574160,18.050
ENGINEERING,SHANGHAI JIAO TONG UNIVERSITY,7,29431,510133,17.330
ENGINEERING,XI'AN JIAOTONG UNIVERSITY,8,28540,509650,17.860
ENGINEERING,ZHEJIANG UNIVERSITY,11,28643,471534,16.460
ENGINEERING,HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,12,22141,458744,20.720
ENGINEERING,SOUTHEAST UNIVERSITY - CHINA,13,28137,440475,15.650
ENGINEERING,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",14,25322,416255,16.440
ENGINEERING,TIANJIN UNIVERSITY,15,22918,404655,17.660
ENGINEERING,TONGJI UNIVERSITY,16,22749,394133,17.330
ENGINEERING,CHONGQING UNIVERSITY,17,21174,388279,18.340
ENGINEERING,BEIHANG UNIVERSITY,20,22270,353380,15.870
ENGINEERING,BEIJING INSTITUTE OF TECHNOLOGY,22,18960,346165,18.260
ENGINEERING,DALIAN UNIVERSITY OF TECHNOLOGY,24,19729,329667,16.710
ENGINEERING,SOUTH CHINA UNIVERSITY OF TECHNOLOGY,25,16038,328159,20.460
ENGINEERING,HUNAN UNIVERSITY,26,13277,314888,23.720
ENGINEERING,CENTRAL SOUTH UNIVERSITY,27,16365,313118,19.130
ENGINEERING,NORTHWESTERN POLYTECHNICAL UNIVERSITY,29,19316,302564,15.660
ENGINEERING,"UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS",30,13706,295045,21.530
ENGINEERING,UNIVERSITY OF ELECTRONIC SCIENCE & TECHNOLOGY OF CHINA,32,16395,267271,16.300
ENGINEERING,CHINA UNIVERSITY OF MINING & TECHNOLOGY,33,15848,253407,15.990
ENGINEERING,CHINA UNIVERSITY OF PETROLEUM,35,13513,241561,17.880
ENGINEERING,NANJING UNIVERSITY OF AERONAUTICS & ASTRONAUTICS,38,17755,231460,13.040
