学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
ENVIRONMENT ECOLOGY,CHINESE ACADEMY OF SCIENCES,1,51105,1340948,26.240
ENVIRONMENT ECOLOGY,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",4,21352,522153,24.450
ENVIRONMENT ECOLOGY,TSINGHUA UNIVERSITY,9,7953,276280,34.740
ENVIRONMENT ECOLOGY,PEKING UNIVERSITY,16,6929,234341,33.820
ENVIRONMENT ECOLOGY,"RESEARCH CENTER FOR ECO-ENVIRONMENTAL SCIENCES (RCEES), CAS",22,6246,201361,32.240
ENVIRONMENT ECOLOGY,BEIJING NORMAL UNIVERSITY,23,7540,197336,26.170
ENVIRONMENT ECOLOGY,ZHEJIANG UNIVERSITY,25,7519,195116,25.950
ENVIRONMENT ECOLOGY,NANJING UNIVERSITY,27,5649,177549,31.430
ENVIRONMENT ECOLOGY,"INSTITUTE OF GEOGRAPHIC SCIENCES & NATURAL RESOURCES RESEARCH, CAS",47,5751,155559,27.050
ENVIRONMENT ECOLOGY,SUN YAT SEN UNIVERSITY,57,5643,141027,24.990
ENVIRONMENT ECOLOGY,TONGJI UNIVERSITY,66,5305,133630,25.190
ENVIRONMENT ECOLOGY,NORTHWEST A&F UNIVERSITY - CHINA,76,4695,122808,26.160
ENVIRONMENT ECOLOGY,HARBIN INSTITUTE OF TECHNOLOGY,85,4121,117313,28.470
ENVIRONMENT ECOLOGY,CHINA UNIVERSITY OF GEOSCIENCES,90,5707,114424,20.050
ENVIRONMENT ECOLOGY,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,107,4168,105859,25.400
ENVIRONMENT ECOLOGY,CHINA AGRICULTURAL UNIVERSITY,112,4064,103413,25.450
ENVIRONMENT ECOLOGY,SHANGHAI JIAO TONG UNIVERSITY,115,3821,101696,26.620
ENVIRONMENT ECOLOGY,WUHAN UNIVERSITY,128,4400,93126,21.160
ENVIRONMENT ECOLOGY,EAST CHINA NORMAL UNIVERSITY,130,2941,92088,31.310
ENVIRONMENT ECOLOGY,HOHAI UNIVERSITY,132,6074,91783,15.110
ENVIRONMENT ECOLOGY,TIANJIN UNIVERSITY,135,3730,91094,24.420
ENVIRONMENT ECOLOGY,FUDAN UNIVERSITY,148,3489,88109,25.250
ENVIRONMENT ECOLOGY,SHANDONG UNIVERSITY,149,3921,86635,22.100
ENVIRONMENT ECOLOGY,HUNAN UNIVERSITY,157,1880,84292,44.840
ENVIRONMENT ECOLOGY,CENTRAL SOUTH UNIVERSITY,158,3103,84230,27.140
ENVIRONMENT ECOLOGY,NANKAI UNIVERSITY,167,2712,80584,29.710
ENVIRONMENT ECOLOGY,CHINESE RESEARCH ACADEMY OF ENVIRONMENTAL SCIENCES,168,3610,80495,22.300
ENVIRONMENT ECOLOGY,NANJING UNIVERSITY OF INFORMATION SCIENCE & TECHNOLOGY,175,3614,77893,21.550
ENVIRONMENT ECOLOGY,NANJING AGRICULTURAL UNIVERSITY,179,2774,76978,27.750
ENVIRONMENT ECOLOGY,HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,184,3060,74168,24.240
ENVIRONMENT ECOLOGY,"INSTITUTE OF URBAN ENVIRONMENT, CAS",185,2386,73789,30.930
ENVIRONMENT ECOLOGY,LANZHOU UNIVERSITY,193,3523,72735,20.650
ENVIRONMENT ECOLOGY,JINAN UNIVERSITY,201,2800,71387,25.500
ENVIRONMENT ECOLOGY,CHINA UNIVERSITY OF MINING & TECHNOLOGY,203,4161,69893,16.800
ENVIRONMENT ECOLOGY,"NANJING INSTITUTE OF SOIL SCIENCE, CAS",225,1948,65836,33.800
ENVIRONMENT ECOLOGY,HUAZHONG AGRICULTURAL UNIVERSITY,228,2585,65096,25.180
ENVIRONMENT ECOLOGY,XIAMEN UNIVERSITY,236,2880,64221,22.300
ENVIRONMENT ECOLOGY,CHONGQING UNIVERSITY,237,2867,64201,22.390
ENVIRONMENT ECOLOGY,OCEAN UNIVERSITY OF CHINA,239,3719,63490,17.070
ENVIRONMENT ECOLOGY,"UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS",240,1988,63262,31.820
ENVIRONMENT ECOLOGY,BEIJING FORESTRY UNIVERSITY,247,3200,61099,19.090
ENVIRONMENT ECOLOGY,SHANGHAI INSTITUTE OF POLLUTION CONTROL & ECOLOGICAL SECURITY,251,1825,60475,33.140
ENVIRONMENT ECOLOGY,SICHUAN UNIVERSITY,257,3246,59659,18.380
ENVIRONMENT ECOLOGY,SOUTH CHINA UNIVERSITY OF TECHNOLOGY,259,2349,59618,25.380
ENVIRONMENT ECOLOGY,MINISTRY OF NATURAL RESOURCES OF THE PEOPLE'S REPUBLIC OF CHINA,260,4050,59429,14.670
ENVIRONMENT ECOLOGY,DALIAN UNIVERSITY OF TECHNOLOGY,279,2245,55545,24.740
ENVIRONMENT ECOLOGY,NORTH CHINA ELECTRIC POWER UNIVERSITY,289,2087,53716,25.740
ENVIRONMENT ECOLOGY,GUANGDONG UNIVERSITY OF TECHNOLOGY,292,2062,52877,25.640
ENVIRONMENT ECOLOGY,"NANJING INSTITUTE OF GEOGRAPHY & LIMNOLOGY, CAS",296,2239,51980,23.220
ENVIRONMENT ECOLOGY,"GUANGZHOU INSTITUTE OF GEOCHEMISTRY, CAS",308,1526,50901,33.360
ENVIRONMENT ECOLOGY,SOUTHERN UNIVERSITY OF SCIENCE & TECHNOLOGY,321,1689,49895,29.540
ENVIRONMENT ECOLOGY,"INSTITUTE OF BOTANY, CAS",331,1139,48648,42.710
ENVIRONMENT ECOLOGY,ZHEJIANG UNIVERSITY OF TECHNOLOGY,332,1902,48611,25.560
ENVIRONMENT ECOLOGY,NANJING NORMAL UNIVERSITY,336,2420,48153,19.900
ENVIRONMENT ECOLOGY,"INSTITUTE OF TIBETAN PLATEAU RESEARCH, CAS",339,1352,47846,35.390
ENVIRONMENT ECOLOGY,CHINA METEOROLOGICAL ADMINISTRATION,340,2157,47746,22.140
ENVIRONMENT ECOLOGY,BEIJING INSTITUTE OF TECHNOLOGY,349,1352,46637,34.490
ENVIRONMENT ECOLOGY,XI'AN JIAOTONG UNIVERSITY,354,2249,46008,20.460
ENVIRONMENT ECOLOGY,JIANGSU UNIVERSITY,360,1982,44949,22.680
ENVIRONMENT ECOLOGY,SOUTHEAST UNIVERSITY - CHINA,361,2640,44927,17.020
ENVIRONMENT ECOLOGY,SOUTH CHINA AGRICULTURAL UNIVERSITY,374,1974,43582,22.080
ENVIRONMENT ECOLOGY,SHENZHEN UNIVERSITY,385,1765,42635,24.160
ENVIRONMENT ECOLOGY,NANJING FORESTRY UNIVERSITY,397,2317,40704,17.570
ENVIRONMENT ECOLOGY,CHANG'AN UNIVERSITY,404,2044,40054,19.600
ENVIRONMENT ECOLOGY,LAOSHAN LABORATORY,406,2189,40006,18.280
ENVIRONMENT ECOLOGY,ZHENGZHOU UNIVERSITY,415,2331,39395,16.900
ENVIRONMENT ECOLOGY,"INSTITUTE OF HYDROBIOLOGY, CAS",418,1634,39266,24.030
ENVIRONMENT ECOLOGY,"INSTITUTE OF ATMOSPHERIC PHYSICS, CAS",425,1482,38170,25.760
ENVIRONMENT ECOLOGY,GUANGZHOU UNIVERSITY,431,1666,37813,22.700
ENVIRONMENT ECOLOGY,"SHENYANG INSTITUTE OF APPLIED ECOLOGY, CAS",432,1318,37726,28.620
ENVIRONMENT ECOLOGY,"INSTITUTE OF SOIL & WATER CONSERVATION (ISWC), CAS",433,1478,37676,25.490
ENVIRONMENT ECOLOGY,SOUTHWEST UNIVERSITY - CHINA,439,1731,36874,21.300
ENVIRONMENT ECOLOGY,NORTHEAST AGRICULTURAL UNIVERSITY - CHINA,449,1509,36010,23.860
ENVIRONMENT ECOLOGY,BEIJING UNIVERSITY OF TECHNOLOGY,450,1809,35890,19.840
ENVIRONMENT ECOLOGY,SHANGHAI UNIVERSITY,452,1538,35806,23.280
ENVIRONMENT ECOLOGY,JILIN UNIVERSITY,458,2345,35462,15.120
ENVIRONMENT ECOLOGY,NORTHEAST NORMAL UNIVERSITY - CHINA,464,1517,34916,23.020
ENVIRONMENT ECOLOGY,ZHEJIANG A&F UNIVERSITY,477,1217,33952,27.900
ENVIRONMENT ECOLOGY,"XINJIANG INSTITUTE OF ECOLOGY & GEOGRAPHY, CAS",481,1643,33644,20.480
