学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
GEOSCIENCES,CHINESE ACADEMY OF SCIENCES,1,60872,1158755,19.040
GEOSCIENCES,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",6,25212,421847,16.730
GEOSCIENCES,CHINA UNIVERSITY OF GEOSCIENCES,7,22124,386976,17.490
GEOSCIENCES,WUHAN UNIVERSITY,20,9766,210315,21.540
GEOSCIENCES,NANJING UNIVERSITY OF INFORMATION SCIENCE & TECHNOLOGY,25,9666,184387,19.080
GEOSCIENCES,PEKING UNIVERSITY,28,7359,181654,24.680
GEOSCIENCES,CHINA METEOROLOGICAL ADMINISTRATION,36,10270,170460,16.600
GEOSCIENCES,NANJING UNIVERSITY,38,7422,167141,22.520
GEOSCIENCES,CHINA UNIVERSITY OF PETROLEUM,39,10775,159464,14.800
GEOSCIENCES,CHINA GEOLOGICAL SURVEY,40,11041,159123,14.410
GEOSCIENCES,"INSTITUTE OF ATMOSPHERIC PHYSICS, CAS",41,6734,155450,23.080
GEOSCIENCES,"INSTITUTE OF GEOLOGY & GEOPHYSICS, CAS",47,7731,142981,18.490
GEOSCIENCES,BEIJING NORMAL UNIVERSITY,54,5381,136341,25.340
GEOSCIENCES,TSINGHUA UNIVERSITY,55,4496,136260,30.310
GEOSCIENCES,CHINA UNIVERSITY OF MINING & TECHNOLOGY,60,7434,130087,17.500
GEOSCIENCES,SUN YAT SEN UNIVERSITY,63,6940,124014,17.870
GEOSCIENCES,"INSTITUTE OF TIBETAN PLATEAU RESEARCH, CAS",68,3861,118511,30.690
GEOSCIENCES,MINISTRY OF NATURAL RESOURCES OF THE PEOPLE'S REPUBLIC OF CHINA,73,10320,111670,10.820
GEOSCIENCES,CHINESE ACADEMY OF GEOLOGICAL SCIENCES,83,6380,103950,16.290
GEOSCIENCES,CHINA NATIONAL PETROLEUM CORPORATION,88,7876,100962,12.820
GEOSCIENCES,"INSTITUTE OF GEOGRAPHIC SCIENCES & NATURAL RESOURCES RESEARCH, CAS",90,4362,100430,23.020
GEOSCIENCES,LAOSHAN LABORATORY,98,6404,93363,14.580
GEOSCIENCES,CENTRAL SOUTH UNIVERSITY,120,4600,82873,18.020
GEOSCIENCES,"CENTER FOR EXCELLENCE IN TIBETAN PLATEAU EARTH SCIENCES (CETES), CAS",123,2173,80119,36.870
GEOSCIENCES,OCEAN UNIVERSITY OF CHINA,130,5822,78165,13.430
GEOSCIENCES,LANZHOU UNIVERSITY,136,3849,75800,19.690
GEOSCIENCES,"GUANGZHOU INSTITUTE OF GEOCHEMISTRY, CAS",140,3514,75065,21.360
GEOSCIENCES,TONGJI UNIVERSITY,141,4420,74250,16.800
GEOSCIENCES,CHINA EARTHQUAKE ADMINISTRATION,142,5821,73406,12.610
