学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
IMMUNOLOGY,CHINESE ACADEMY OF SCIENCES,36,3447,110496,32.060
IMMUNOLOGY,ZHEJIANG UNIVERSITY,84,2773,66668,24.040
IMMUNOLOGY,CHINESE ACADEMY OF MEDICAL SCIENCES - PEKING UNION MEDICAL COLLEGE,87,3278,66519,20.290
IMMUNOLOGY,SHANGHAI JIAO TONG UNIVERSITY,97,2848,64356,22.600
IMMUNOLOGY,SUN YAT SEN UNIVERSITY,101,2843,63602,22.370
IMMUNOLOGY,FUDAN UNIVERSITY,104,3037,62754,20.660
IMMUNOLOGY,CAPITAL MEDICAL UNIVERSITY,141,2841,50650,17.830
IMMUNOLOGY,HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,143,2059,50550,24.550
IMMUNOLOGY,PEKING UNIVERSITY,155,2056,47887,23.290
IMMUNOLOGY,PEKING UNION MEDICAL COLLEGE,166,2336,44807,19.180
IMMUNOLOGY,CENTRAL SOUTH UNIVERSITY,181,1980,42295,21.360
IMMUNOLOGY,WUHAN UNIVERSITY,206,1331,38289,28.770
IMMUNOLOGY,CHINESE CENTER FOR DISEASE CONTROL & PREVENTION,230,1834,34841,19.000
IMMUNOLOGY,TSINGHUA UNIVERSITY,236,803,33363,41.550
IMMUNOLOGY,NANJING MEDICAL UNIVERSITY,242,2060,32513,15.780
IMMUNOLOGY,SOUTHERN MEDICAL UNIVERSITY - CHINA,250,1918,31438,16.390
IMMUNOLOGY,SICHUAN UNIVERSITY,251,1673,31375,18.750
IMMUNOLOGY,GUANGZHOU MEDICAL UNIVERSITY,285,1418,27690,19.530
IMMUNOLOGY,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",286,1204,27581,22.910
IMMUNOLOGY,SHANDONG UNIVERSITY,294,1546,27058,17.500
IMMUNOLOGY,ZHENGZHOU UNIVERSITY,321,1509,25309,16.770
IMMUNOLOGY,ANHUI MEDICAL UNIVERSITY,362,1278,22999,18.000
IMMUNOLOGY,JILIN UNIVERSITY,377,1276,21958,17.210
IMMUNOLOGY,"UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS",392,588,21025,35.760
IMMUNOLOGY,TONGJI UNIVERSITY,398,1061,20784,19.590
IMMUNOLOGY,SOOCHOW UNIVERSITY - CHINA,410,1188,20126,16.940
IMMUNOLOGY,ARMY MEDICAL UNIVERSITY,417,837,19721,23.560
IMMUNOLOGY,NAVAL MEDICAL UNIVERSITY,466,682,17722,25.990
IMMUNOLOGY,CHONGQING MEDICAL UNIVERSITY,467,1326,17701,13.350
IMMUNOLOGY,TIANJIN MEDICAL UNIVERSITY,468,947,17655,18.640
IMMUNOLOGY,PEKING UNION MEDICAL COLLEGE HOSPITAL,475,906,17035,18.800
IMMUNOLOGY,COLLABORATIVE INNOVATION CENTER FOR DIAGNOSIS & TREATMENT OF INFECTIOUS DISEASES,477,693,16944,24.450
IMMUNOLOGY,XIAMEN UNIVERSITY,478,684,16913,24.730
IMMUNOLOGY,NANJING UNIVERSITY,489,840,16547,19.700
IMMUNOLOGY,SHANDONG FIRST MEDICAL UNIVERSITY & SHANDONG ACADEMY OF MEDICAL SCIENCES,503,1013,16043,15.840
IMMUNOLOGY,CHINESE PEOPLE'S LIBERATION ARMY GENERAL HOSPITAL,505,735,15991,21.760
IMMUNOLOGY,XI'AN JIAOTONG UNIVERSITY,536,911,14988,16.450
IMMUNOLOGY,WENZHOU MEDICAL UNIVERSITY,549,1058,14561,13.760
IMMUNOLOGY,"INSTITUTE OF BIOPHYSICS, CAS",550,201,14546,72.370
IMMUNOLOGY,CHINA MEDICAL UNIVERSITY,557,928,14183,15.280
IMMUNOLOGY,JINAN UNIVERSITY,560,807,14073,17.440
IMMUNOLOGY,CHINA AGRICULTURAL UNIVERSITY,660,371,11589,31.240
IMMUNOLOGY,HARBIN MEDICAL UNIVERSITY,665,644,11462,17.800
IMMUNOLOGY,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,666,716,11427,15.960
IMMUNOLOGY,HUAZHONG AGRICULTURAL UNIVERSITY,670,567,11241,19.830
IMMUNOLOGY,SOUTH CHINA AGRICULTURAL UNIVERSITY,691,313,10952,34.990
IMMUNOLOGY,"NATIONAL INSTITUTE OF BIOLOGICAL SCIENCES, BEIJING",706,43,10752,250.050
IMMUNOLOGY,AIR FORCE MEDICAL UNIVERSITY,722,615,10529,17.120
IMMUNOLOGY,NANCHANG UNIVERSITY,738,710,10290,14.490
IMMUNOLOGY,STATE KEY LABORATORY OF RESPIRATORY DISEASE,770,474,9711,20.490
IMMUNOLOGY,SHENZHEN UNIVERSITY,776,562,9648,17.170
IMMUNOLOGY,SOUTHERN UNIVERSITY OF SCIENCE & TECHNOLOGY,781,350,9573,27.350
IMMUNOLOGY,BEIJING INSTITUTE OF MICROBIOLOGY & EPIDEMIOLOGY,806,331,9218,27.850
IMMUNOLOGY,FUJIAN MEDICAL UNIVERSITY,814,811,9132,11.260
IMMUNOLOGY,LAOSHAN LABORATORY,819,571,9071,15.890
IMMUNOLOGY,QINGDAO UNIVERSITY,831,680,8876,13.050
IMMUNOLOGY,"SHANGHAI INSTITUTE OF IMMUNITY AND INFECTION, CAS",835,229,8828,38.550
IMMUNOLOGY,"INSTITUTE OF MICROBIOLOGY, CAS",842,251,8663,34.510
IMMUNOLOGY,INSTITUTE OF BASIC MEDICAL SCIENCES - CAMS,849,138,8572,62.120
IMMUNOLOGY,YANGZHOU UNIVERSITY,865,574,8419,14.670
IMMUNOLOGY,JIANGSU UNIVERSITY,871,486,8328,17.140
IMMUNOLOGY,STATE KEY LAB ONCOLOGY SOUTH CHINA,913,376,7790,20.720
IMMUNOLOGY,SOUTHEAST UNIVERSITY - CHINA,945,480,7497,15.620
IMMUNOLOGY,GUANGXI MEDICAL UNIVERSITY,956,705,7375,10.460
IMMUNOLOGY,NANKAI UNIVERSITY,958,338,7368,21.800
IMMUNOLOGY,ACADEMY OF MILITARY MEDICAL SCIENCES - CHINA,967,288,7260,25.210
IMMUNOLOGY,SHANGHAI UNIVERSITY OF TRADITIONAL CHINESE MEDICINE,970,436,7220,16.560
IMMUNOLOGY,"CENTER FOR EXCELLENCE IN MOLECULAR CELL SCIENCE, CAS",981,157,7115,45.320
IMMUNOLOGY,LANZHOU UNIVERSITY,982,403,7109,17.640
IMMUNOLOGY,XUZHOU MEDICAL UNIVERSITY,992,503,7004,13.920
IMMUNOLOGY,"NATIONAL INSTITUTE FOR VIRAL DISEASE CONTROL & PREVENTION, CHINESE CENTER FOR DISEASE CONTROL & PREVENTION",1002,292,6915,23.680
IMMUNOLOGY,GUANGZHOU UNIVERSITY OF CHINESE MEDICINE,1021,442,6791,15.360
IMMUNOLOGY,CHINA PHARMACEUTICAL UNIVERSITY,1026,291,6718,23.090
IMMUNOLOGY,NANJING UNIVERSITY OF CHINESE MEDICINE,1031,497,6685,13.450
IMMUNOLOGY,SOUTHWEST MEDICAL UNIVERSITY,1033,489,6647,13.590
IMMUNOLOGY,NANTONG UNIVERSITY,1069,424,6326,14.920
IMMUNOLOGY,THE THIRD PEOPLE'S HOSPITAL OF SHENZHEN,1078,158,6284,39.770
IMMUNOLOGY,HEBEI MEDICAL UNIVERSITY,1079,476,6270,13.170
