学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
MATERIALS SCIENCE,CHINESE ACADEMY OF SCIENCES,1,88925,3264587,36.710
MATERIALS SCIENCE,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",3,26784,990881,37.000
MATERIALS SCIENCE,TSINGHUA UNIVERSITY,5,19144,781845,40.840
MATERIALS SCIENCE,"UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS",7,16253,578997,35.620
MATERIALS SCIENCE,SHANGHAI JIAO TONG UNIVERSITY,9,17498,523797,29.930
MATERIALS SCIENCE,ZHEJIANG UNIVERSITY,10,15196,518465,34.120
MATERIALS SCIENCE,HARBIN INSTITUTE OF TECHNOLOGY,11,19706,482903,24.510
MATERIALS SCIENCE,HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,12,12969,479907,37.000
MATERIALS SCIENCE,CENTRAL SOUTH UNIVERSITY,13,19644,476327,24.250
MATERIALS SCIENCE,PEKING UNIVERSITY,14,10376,466759,44.980
MATERIALS SCIENCE,SOUTH CHINA UNIVERSITY OF TECHNOLOGY,17,13616,442065,32.470
MATERIALS SCIENCE,XI'AN JIAOTONG UNIVERSITY,18,15519,439800,28.340
MATERIALS SCIENCE,TIANJIN UNIVERSITY,19,12564,422443,33.620
MATERIALS SCIENCE,UNIVERSITY OF SCIENCE & TECHNOLOGY BEIJING,20,19197,421104,21.940
MATERIALS SCIENCE,SOOCHOW UNIVERSITY - CHINA,22,9989,410326,41.080
MATERIALS SCIENCE,NORTHWESTERN POLYTECHNICAL UNIVERSITY,23,15438,409762,26.540
MATERIALS SCIENCE,SICHUAN UNIVERSITY,27,13829,375750,27.170
MATERIALS SCIENCE,ZHENGZHOU UNIVERSITY,28,10017,367394,36.680
MATERIALS SCIENCE,JILIN UNIVERSITY,29,11611,363509,31.310
MATERIALS SCIENCE,FUDAN UNIVERSITY,30,8730,353640,40.510
MATERIALS SCIENCE,WUHAN UNIVERSITY OF TECHNOLOGY,31,10850,346749,31.960
MATERIALS SCIENCE,NANJING UNIVERSITY,36,8328,311101,37.360
MATERIALS SCIENCE,SHENZHEN UNIVERSITY,37,8538,308760,36.160
MATERIALS SCIENCE,CHONGQING UNIVERSITY,39,11416,305344,26.750
MATERIALS SCIENCE,BEIHANG UNIVERSITY,42,9706,298359,30.740
MATERIALS SCIENCE,BEIJING INSTITUTE OF TECHNOLOGY,43,9327,294565,31.580
MATERIALS SCIENCE,SHANDONG UNIVERSITY,44,11160,288177,25.820
MATERIALS SCIENCE,HUNAN UNIVERSITY,45,7478,278475,37.240
MATERIALS SCIENCE,SUN YAT SEN UNIVERSITY,46,8353,278205,33.310
MATERIALS SCIENCE,WUHAN UNIVERSITY,48,7458,275003,36.870
MATERIALS SCIENCE,TONGJI UNIVERSITY,49,8861,270992,30.580
MATERIALS SCIENCE,SOUTHEAST UNIVERSITY - CHINA,50,10725,266420,24.840
MATERIALS SCIENCE,BEIJING UNIVERSITY OF CHEMICAL TECHNOLOGY,51,6736,257170,38.180
MATERIALS SCIENCE,"INSTITUTE OF CHEMISTRY, CAS",52,4208,256520,60.960
MATERIALS SCIENCE,NANKAI UNIVERSITY,53,6199,256024,41.300
MATERIALS SCIENCE,DALIAN UNIVERSITY OF TECHNOLOGY,56,9730,249167,25.610
MATERIALS SCIENCE,NANJING TECH UNIVERSITY,57,8240,247249,30.010
MATERIALS SCIENCE,XIAMEN UNIVERSITY,65,6264,227809,36.370
MATERIALS SCIENCE,DONGHUA UNIVERSITY,67,7931,223227,28.150
MATERIALS SCIENCE,SHANGHAI UNIVERSITY,68,9142,222142,24.300
MATERIALS SCIENCE,"INSTITUTE OF METAL RESEARCH, CAS",69,8251,220800,26.760
MATERIALS SCIENCE,"NATIONAL CENTER FOR NANOSCIENCE & TECHNOLOGY, CAS",70,3501,220643,63.020
MATERIALS SCIENCE,NORTHEASTERN UNIVERSITY - CHINA,71,13452,220610,16.400
MATERIALS SCIENCE,UNIVERSITY OF ELECTRONIC SCIENCE & TECHNOLOGY OF CHINA,72,7145,219380,30.700
MATERIALS SCIENCE,SOUTHERN UNIVERSITY OF SCIENCE & TECHNOLOGY,78,6052,205426,33.940
MATERIALS SCIENCE,NANJING UNIVERSITY OF SCIENCE & TECHNOLOGY,83,6732,200005,29.710
MATERIALS SCIENCE,"BEIJING INSTITUTE OF NANOENERGY & NANOSYSTEMS, CAS",86,2635,195549,74.210
MATERIALS SCIENCE,"SHANGHAI INSTITUTE OF CERAMICS, CAS",88,5624,191753,34.100
MATERIALS SCIENCE,"CHANGCHUN INSTITUTE OF APPLIED CHEMISTRY, CAS",101,3793,176291,46.480
MATERIALS SCIENCE,"INSTITUTE OF PHYSICS, CAS",102,3674,173618,47.260
MATERIALS SCIENCE,NANJING UNIVERSITY OF AERONAUTICS & ASTRONAUTICS,105,7078,169222,23.910
MATERIALS SCIENCE,"NINGBO INSTITUTE OF MATERIALS TECHNOLOGY & ENGINEERING, CAS",110,5323,162640,30.550
MATERIALS SCIENCE,COLLABORATIVE INNOVATION CENTER OF CHEMICAL SCIENCE & ENGINEERING TIANJIN,115,2598,156414,60.210
MATERIALS SCIENCE,QINGDAO UNIVERSITY,121,4529,148688,32.830
MATERIALS SCIENCE,JIANGSU UNIVERSITY,126,6070,145069,23.900
MATERIALS SCIENCE,FUZHOU UNIVERSITY,135,4808,131438,27.340
MATERIALS SCIENCE,EAST CHINA UNIVERSITY OF SCIENCE & TECHNOLOGY,136,4759,131408,27.610
MATERIALS SCIENCE,GUANGDONG UNIVERSITY OF TECHNOLOGY,137,5366,130845,24.380
MATERIALS SCIENCE,COLLABORATIVE INNOVATION CENTER OF ADVANCED MICROSTRUCTURES (CICAM),139,2749,130355,47.420
MATERIALS SCIENCE,"DALIAN INSTITUTE OF CHEMICAL PHYSICS, CAS",141,2793,129504,46.370
MATERIALS SCIENCE,BEIJING UNIVERSITY OF TECHNOLOGY,150,5650,123161,21.800
MATERIALS SCIENCE,GUANGXI UNIVERSITY,151,5109,123000,24.080
MATERIALS SCIENCE,"TECHNICAL INSTITUTE OF PHYSICS & CHEMISTRY, CAS",154,2610,121783,46.660
MATERIALS SCIENCE,CHINA UNIVERSITY OF PETROLEUM,155,4504,119981,26.640
MATERIALS SCIENCE,SOUTHWEST JIAOTONG UNIVERSITY,157,5391,119096,22.090
MATERIALS SCIENCE,JINAN UNIVERSITY,163,3716,114503,30.810
MATERIALS SCIENCE,"SHENZHEN INSTITUTE OF ADVANCED TECHNOLOGY, CAS",167,2779,110943,39.920
MATERIALS SCIENCE,TAIYUAN UNIVERSITY OF TECHNOLOGY,168,5827,110452,18.960
MATERIALS SCIENCE,CHINA UNIVERSITY OF GEOSCIENCES,170,4011,109699,27.350
MATERIALS SCIENCE,TSINGHUA SHENZHEN INTERNATIONAL GRADUATE SCHOOL,172,2058,106749,51.870
MATERIALS SCIENCE,LANZHOU UNIVERSITY,181,3448,100094,29.030
MATERIALS SCIENCE,ZHEJIANG UNIVERSITY OF TECHNOLOGY,182,3997,100060,25.030
MATERIALS SCIENCE,CHINESE ACADEMY OF ENGINEERING PHYSICS,185,4395,97195,22.110
MATERIALS SCIENCE,YANSHAN UNIVERSITY,191,4849,95223,19.640
MATERIALS SCIENCE,NANJING FORESTRY UNIVERSITY,192,4272,95161,22.280
MATERIALS SCIENCE,QINGDAO UNIVERSITY OF SCIENCE & TECHNOLOGY,193,3453,95111,27.540
MATERIALS SCIENCE,"FUJIAN INSTITUTE OF RESEARCH ON THE STRUCTURE OF MATTER, CAS",194,2799,94981,33.930
MATERIALS SCIENCE,EAST CHINA NORMAL UNIVERSITY,196,2720,93969,34.550
MATERIALS SCIENCE,YANGZHOU UNIVERSITY,202,3214,91799,28.560
MATERIALS SCIENCE,UNIVERSITY OF JINAN,203,3334,91080,27.320
MATERIALS SCIENCE,CHINA UNIVERSITY OF MINING & TECHNOLOGY,205,4930,90412,18.340
MATERIALS SCIENCE,KUNMING UNIVERSITY OF SCIENCE & TECHNOLOGY,207,6258,89220,14.260
MATERIALS SCIENCE,SOUTHWEST UNIVERSITY - CHINA,215,3135,87575,27.930
MATERIALS SCIENCE,JIANGNAN UNIVERSITY,218,4203,87329,20.780
MATERIALS SCIENCE,"HEFEI INSTITUTES OF PHYSICAL SCIENCE, CAS",219,3234,87107,26.930
MATERIALS SCIENCE,HARBIN ENGINEERING UNIVERSITY,220,3598,87105,24.210
MATERIALS SCIENCE,NANJING UNIVERSITY OF POSTS & TELECOMMUNICATIONS,221,2714,86003,31.690
MATERIALS SCIENCE,HEBEI UNIVERSITY OF TECHNOLOGY,224,4573,84122,18.400
MATERIALS SCIENCE,SHAANXI NORMAL UNIVERSITY,225,2532,84050,33.200
MATERIALS SCIENCE,HEFEI UNIVERSITY OF TECHNOLOGY,229,3778,82626,21.870
MATERIALS SCIENCE,STATE KEY LABORATORY SURFACTANT FINE CHEMISTRY,232,2058,81716,39.710
MATERIALS SCIENCE,SHAANXI UNIVERSITY OF SCIENCE & TECHNOLOGY,235,3676,80882,22.000
MATERIALS SCIENCE,"INSTITUTE OF HIGH ENERGY PHYSICS, CAS",236,2054,80481,39.180
MATERIALS SCIENCE,HUBEI UNIVERSITY,240,2540,79669,31.370
MATERIALS SCIENCE,JIANGSU UNIVERSITY OF SCIENCE & TECHNOLOGY,244,3567,78569,22.030
MATERIALS SCIENCE,SOUTH CHINA NORMAL UNIVERSITY,250,2756,76673,27.820
MATERIALS SCIENCE,"SUZHOU INSTITUTE OF NANO-TECH & NANO-BIONICS, CAS",255,1660,75066,45.220
MATERIALS SCIENCE,"LANZHOU INSTITUTE OF CHEMICAL PHYSICS, CAS",260,2843,73389,25.810
MATERIALS SCIENCE,WUHAN UNIVERSITY OF SCIENCE & TECHNOLOGY,261,4334,73137,16.880
MATERIALS SCIENCE,NANCHANG UNIVERSITY,264,3243,72679,22.410
MATERIALS SCIENCE,"INSTITUTE OF PROCESS ENGINEERING, CAS",274,2243,69942,31.180
MATERIALS SCIENCE,ZHEJIANG SCI-TECH UNIVERSITY,278,3606,69023,19.140
MATERIALS SCIENCE,UNIVERSITY OF SHANGHAI FOR SCIENCE & TECHNOLOGY,284,3066,67842,22.130
MATERIALS SCIENCE,HENAN UNIVERSITY,288,2589,67394,26.030
MATERIALS SCIENCE,NINGBO UNIVERSITY,289,3677,67337,18.310
MATERIALS SCIENCE,XIANGTAN UNIVERSITY,290,3155,66688,21.140
MATERIALS SCIENCE,ANHUI UNIVERSITY,293,2844,65103,22.890
MATERIALS SCIENCE,XI'AN UNIVERSITY OF TECHNOLOGY,294,3442,65098,18.910
MATERIALS SCIENCE,COLLABORATIVE INNOVATION CENTER OF QUANTUM MATTER,299,1039,64220,61.810
MATERIALS SCIENCE,SHANDONG UNIVERSITY OF SCIENCE & TECHNOLOGY,306,2560,63457,24.790
MATERIALS SCIENCE,SHANGHAITECH UNIVERSITY,312,1876,62809,33.480
MATERIALS SCIENCE,"KEY LABORATORY FOR BIOLOGICAL EFFECTS OF NANOMATERIALS & NANOSAFETY, CAS",316,1089,62163,57.080
MATERIALS SCIENCE,CHANG'AN UNIVERSITY,318,3377,61106,18.090
MATERIALS SCIENCE,SOUTHWEST UNIVERSITY OF SCIENCE & TECHNOLOGY - CHINA,325,2692,59532,22.110
MATERIALS SCIENCE,NORTH UNIVERSITY OF CHINA,333,3190,58613,18.370
MATERIALS SCIENCE,"INSTITUTE OF SEMICONDUCTORS, CAS",336,1478,58225,39.390
MATERIALS SCIENCE,LANZHOU UNIVERSITY OF TECHNOLOGY,337,3749,57893,15.440
MATERIALS SCIENCE,"SHANGHAI INSTITUTE OF APPLIED PHYSICS, CAS",338,1632,57710,35.360
MATERIALS SCIENCE,TIANGONG UNIVERSITY,340,3173,57568,18.140
MATERIALS SCIENCE,TIANJIN UNIVERSITY OF TECHNOLOGY,341,2124,57445,27.050
MATERIALS SCIENCE,HOHAI UNIVERSITY,344,2956,57095,19.310
MATERIALS SCIENCE,NORTHWEST UNIVERSITY XI'AN,356,1979,55349,27.970
MATERIALS SCIENCE,"SHENZHEN RESEARCH INSTITUTE, CITY UNIVERSITY OF HONG KONG",358,1038,55161,53.140
MATERIALS SCIENCE,HANGZHOU DIANZI UNIVERSITY,362,2324,54793,23.580
MATERIALS SCIENCE,NORTHEAST NORMAL UNIVERSITY - CHINA,369,1740,53702,30.860
MATERIALS SCIENCE,BEIJING JIAOTONG UNIVERSITY,370,2359,53481,22.670
MATERIALS SCIENCE,QILU UNIVERSITY OF TECHNOLOGY,371,3102,53406,17.220
MATERIALS SCIENCE,NANJING NORMAL UNIVERSITY,379,1349,52400,38.840
MATERIALS SCIENCE,CHANGZHOU UNIVERSITY,382,3123,51478,16.480
MATERIALS SCIENCE,WUHAN INSTITUTE OF TECHNOLOGY,384,1983,51391,25.920
MATERIALS SCIENCE,GUANGZHOU UNIVERSITY,387,1976,51081,25.850
MATERIALS SCIENCE,HENAN NORMAL UNIVERSITY,389,1370,50505,36.860
MATERIALS SCIENCE,BEIJING NORMAL UNIVERSITY,392,1638,50262,30.680
MATERIALS SCIENCE,CHANGSHA UNIVERSITY OF SCIENCE & TECHNOLOGY,399,2320,49473,21.320
MATERIALS SCIENCE,XIDIAN UNIVERSITY,411,2376,48655,20.480
MATERIALS SCIENCE,JIANGXI UNIVERSITY OF SCIENCE & TECHNOLOGY,413,2575,48355,18.780
MATERIALS SCIENCE,XI'AN UNIVERSITY OF ARCHITECTURE & TECHNOLOGY,417,3245,47946,14.780
MATERIALS SCIENCE,OCEAN UNIVERSITY OF CHINA,418,1744,47859,27.440
MATERIALS SCIENCE,PEKING UNIVERSITY SHENZHEN GRADUATE SCHOOL (PKU SHENZHEN),420,1172,47780,40.770
MATERIALS SCIENCE,SOUTHERN MEDICAL UNIVERSITY - CHINA,424,1965,47347,24.100
MATERIALS SCIENCE,NORTH CHINA ELECTRIC POWER UNIVERSITY,425,1988,47245,23.770
MATERIALS SCIENCE,ANHUI UNIVERSITY OF TECHNOLOGY,429,2605,45678,17.530
MATERIALS SCIENCE,HEBEI UNIVERSITY,433,1804,45488,25.220
MATERIALS SCIENCE,ZHEJIANG NORMAL UNIVERSITY,436,1437,44809,31.180
MATERIALS SCIENCE,SHANXI UNIVERSITY,438,1606,44714,27.840
