学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
MATHEMATICS,CHINESE ACADEMY OF SCIENCES,4,7777,53218,6.840
MATHEMATICS,SHANDONG UNIVERSITY OF SCIENCE & TECHNOLOGY,29,1417,24766,17.480
MATHEMATICS,"ACADEMY OF MATHEMATICS & SYSTEM SCIENCES, CAS",38,2710,20359,7.510
MATHEMATICS,CENTRAL SOUTH UNIVERSITY,44,2492,18517,7.430
MATHEMATICS,PEKING UNIVERSITY,45,2685,18497,6.890
MATHEMATICS,HARBIN INSTITUTE OF TECHNOLOGY,46,2136,18399,8.610
MATHEMATICS,FUDAN UNIVERSITY,50,2519,18268,7.250
MATHEMATICS,QUFU NORMAL UNIVERSITY,54,1768,17464,9.880
MATHEMATICS,UNIVERSITY OF ELECTRONIC SCIENCE & TECHNOLOGY OF CHINA,57,1516,17296,11.410
MATHEMATICS,SOUTHEAST UNIVERSITY - CHINA,59,1812,17164,9.470
MATHEMATICS,ZHEJIANG NORMAL UNIVERSITY,60,1947,16936,8.700
MATHEMATICS,BEIJING NORMAL UNIVERSITY,62,2398,16848,7.030
MATHEMATICS,SHANGHAI JIAO TONG UNIVERSITY,64,2308,16745,7.260
MATHEMATICS,HUZHOU UNIVERSITY,71,598,15702,26.260
MATHEMATICS,SHANDONG UNIVERSITY,73,2609,15655,6.000
MATHEMATICS,XIAMEN UNIVERSITY,78,1898,14606,7.700
MATHEMATICS,WUHAN UNIVERSITY,81,2007,14528,7.240
MATHEMATICS,CHINA UNIVERSITY OF MINING & TECHNOLOGY,84,1502,14290,9.510
MATHEMATICS,NANKAI UNIVERSITY,86,2210,13907,6.290
MATHEMATICS,HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,87,1535,13885,9.050
MATHEMATICS,CHANGSHA UNIVERSITY OF SCIENCE & TECHNOLOGY,88,651,13785,21.180
MATHEMATICS,SUN YAT SEN UNIVERSITY,89,2208,13738,6.220
MATHEMATICS,"UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS",93,2286,13661,5.980
MATHEMATICS,XI'AN JIAOTONG UNIVERSITY,100,1629,13057,8.020
MATHEMATICS,TSINGHUA UNIVERSITY,101,2372,13033,5.490
MATHEMATICS,EAST CHINA NORMAL UNIVERSITY,115,2019,11984,5.940
MATHEMATICS,LANZHOU UNIVERSITY,116,1579,11966,7.580
MATHEMATICS,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",117,1938,11859,6.120
MATHEMATICS,HANGZHOU NORMAL UNIVERSITY,122,844,11678,13.840
