学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
MICROBIOLOGY,CHINESE ACADEMY OF SCIENCES,3,7480,181298,24.240
MICROBIOLOGY,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",21,3163,76595,24.220
MICROBIOLOGY,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,28,4372,67982,15.550
MICROBIOLOGY,ZHEJIANG UNIVERSITY,45,2523,54939,21.780
MICROBIOLOGY,FUDAN UNIVERSITY,74,1759,43477,24.720
MICROBIOLOGY,CHINESE CENTER FOR DISEASE CONTROL & PREVENTION,77,1821,42909,23.560
MICROBIOLOGY,SUN YAT SEN UNIVERSITY,86,2173,40250,18.520
MICROBIOLOGY,CHINESE ACADEMY OF MEDICAL SCIENCES - PEKING UNION MEDICAL COLLEGE,88,2033,38963,19.170
MICROBIOLOGY,CHINA AGRICULTURAL UNIVERSITY,95,1688,37428,22.170
MICROBIOLOGY,HUAZHONG AGRICULTURAL UNIVERSITY,96,1821,37112,20.380
MICROBIOLOGY,NANJING AGRICULTURAL UNIVERSITY,99,1629,36056,22.130
MICROBIOLOGY,"WUHAN INSTITUTE OF VIROLOGY, CAS",102,844,35484,42.040
MICROBIOLOGY,SHANGHAI JIAO TONG UNIVERSITY,119,1639,31962,19.500
MICROBIOLOGY,SOUTH CHINA AGRICULTURAL UNIVERSITY,120,1580,31642,20.030
MICROBIOLOGY,PEKING UNION MEDICAL COLLEGE,121,1451,31125,21.450
MICROBIOLOGY,PEKING UNIVERSITY,123,1182,30983,26.210
MICROBIOLOGY,TSINGHUA UNIVERSITY,152,702,26626,37.930
MICROBIOLOGY,"INSTITUTE OF MICROBIOLOGY, CAS",161,1090,25972,23.830
MICROBIOLOGY,WUHAN UNIVERSITY,172,847,25053,29.580
MICROBIOLOGY,COLLABORATIVE INNOVATION CENTER FOR DIAGNOSIS & TREATMENT OF INFECTIOUS DISEASES,184,718,23199,32.310
MICROBIOLOGY,YANGZHOU UNIVERSITY,189,1680,22646,13.480
MICROBIOLOGY,SHANDONG UNIVERSITY,195,1515,22186,14.640
MICROBIOLOGY,HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,199,719,21870,30.420
MICROBIOLOGY,NORTHWEST A&F UNIVERSITY - CHINA,223,1084,20169,18.610
MICROBIOLOGY,SICHUAN UNIVERSITY,225,1151,19737,17.150
MICROBIOLOGY,CAPITAL MEDICAL UNIVERSITY,248,1172,18229,15.550
