学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
MOLECULAR BIOLOGY & GENETICS,CHINESE ACADEMY OF SCIENCES,13,15744,567614,36.050
MOLECULAR BIOLOGY & GENETICS,SHANGHAI JIAO TONG UNIVERSITY,49,8855,268605,30.330
MOLECULAR BIOLOGY & GENETICS,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",53,6773,238177,35.170
MOLECULAR BIOLOGY & GENETICS,FUDAN UNIVERSITY,55,7605,227032,29.850
MOLECULAR BIOLOGY & GENETICS,SUN YAT SEN UNIVERSITY,58,7294,225183,30.870
MOLECULAR BIOLOGY & GENETICS,ZHEJIANG UNIVERSITY,59,7288,220956,30.320
MOLECULAR BIOLOGY & GENETICS,PEKING UNIVERSITY,73,5249,194454,37.050
MOLECULAR BIOLOGY & GENETICS,CHINESE ACADEMY OF MEDICAL SCIENCES - PEKING UNION MEDICAL COLLEGE,86,5665,177746,31.380
MOLECULAR BIOLOGY & GENETICS,NANJING MEDICAL UNIVERSITY,89,6034,170068,28.180
MOLECULAR BIOLOGY & GENETICS,CENTRAL SOUTH UNIVERSITY,105,5147,151970,29.530
MOLECULAR BIOLOGY & GENETICS,SICHUAN UNIVERSITY,115,4670,143180,30.660
MOLECULAR BIOLOGY & GENETICS,HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,124,4615,137035,29.690
MOLECULAR BIOLOGY & GENETICS,PEKING UNION MEDICAL COLLEGE,138,4029,128590,31.920
MOLECULAR BIOLOGY & GENETICS,TSINGHUA UNIVERSITY,147,2522,124980,49.560
MOLECULAR BIOLOGY & GENETICS,SOUTHERN MEDICAL UNIVERSITY - CHINA,170,4445,111957,25.190
MOLECULAR BIOLOGY & GENETICS,TONGJI UNIVERSITY,177,3530,109535,31.030
MOLECULAR BIOLOGY & GENETICS,GUANGZHOU MEDICAL UNIVERSITY,185,3015,106785,35.420
MOLECULAR BIOLOGY & GENETICS,WUHAN UNIVERSITY,203,3457,100711,29.130
MOLECULAR BIOLOGY & GENETICS,CAPITAL MEDICAL UNIVERSITY,204,3897,100552,25.800
MOLECULAR BIOLOGY & GENETICS,ZHENGZHOU UNIVERSITY,206,4120,99712,24.200
MOLECULAR BIOLOGY & GENETICS,SHANDONG UNIVERSITY,221,4013,93937,23.410
MOLECULAR BIOLOGY & GENETICS,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,243,3290,82324,25.020
MOLECULAR BIOLOGY & GENETICS,SOOCHOW UNIVERSITY - CHINA,252,3040,80358,26.430
MOLECULAR BIOLOGY & GENETICS,BEIJING GENOMICS INSTITUTE (BGI),271,1102,75179,68.220
MOLECULAR BIOLOGY & GENETICS,WENZHOU MEDICAL UNIVERSITY,273,2778,74468,26.810
MOLECULAR BIOLOGY & GENETICS,JILIN UNIVERSITY,280,3002,73498,24.480
MOLECULAR BIOLOGY & GENETICS,CHINA MEDICAL UNIVERSITY,289,2866,70866,24.730
MOLECULAR BIOLOGY & GENETICS,XI'AN JIAOTONG UNIVERSITY,290,2909,70618,24.280
MOLECULAR BIOLOGY & GENETICS,HARBIN MEDICAL UNIVERSITY,294,2750,70117,25.500
MOLECULAR BIOLOGY & GENETICS,"CENTER FOR EXCELLENCE IN MOLECULAR CELL SCIENCE, CAS",299,1243,69094,55.590
MOLECULAR BIOLOGY & GENETICS,TIANJIN MEDICAL UNIVERSITY,307,2508,67891,27.070
MOLECULAR BIOLOGY & GENETICS,NAVAL MEDICAL UNIVERSITY,315,2041,65395,32.040
MOLECULAR BIOLOGY & GENETICS,STATE KEY LAB ONCOLOGY SOUTH CHINA,325,1564,63510,40.610
MOLECULAR BIOLOGY & GENETICS,NANJING UNIVERSITY,328,2167,63412,29.260
MOLECULAR BIOLOGY & GENETICS,ARMY MEDICAL UNIVERSITY,338,1860,62010,33.340
MOLECULAR BIOLOGY & GENETICS,CHINA AGRICULTURAL UNIVERSITY,358,1880,58183,30.950
MOLECULAR BIOLOGY & GENETICS,AIR FORCE MEDICAL UNIVERSITY,364,1797,57646,32.080
MOLECULAR BIOLOGY & GENETICS,JINAN UNIVERSITY,369,2075,57105,27.520
MOLECULAR BIOLOGY & GENETICS,CHONGQING MEDICAL UNIVERSITY,389,2467,54410,22.060
MOLECULAR BIOLOGY & GENETICS,"INSTITUTE OF BIOPHYSICS, CAS",390,942,54301,57.640
MOLECULAR BIOLOGY & GENETICS,"INSTITUTE OF ZOOLOGY, CAS",408,1341,52828,39.390
MOLECULAR BIOLOGY & GENETICS,HUAZHONG AGRICULTURAL UNIVERSITY,409,1859,52806,28.410
MOLECULAR BIOLOGY & GENETICS,SHANGHAITECH UNIVERSITY,411,1092,52584,48.150
MOLECULAR BIOLOGY & GENETICS,XIAMEN UNIVERSITY,435,1787,48952,27.390
MOLECULAR BIOLOGY & GENETICS,CHINESE PEOPLE'S LIBERATION ARMY GENERAL HOSPITAL,453,1615,46444,28.760
MOLECULAR BIOLOGY & GENETICS,"INSTITUTE OF GENETICS & DEVELOPMENTAL BIOLOGY, CAS",471,789,45223,57.320
MOLECULAR BIOLOGY & GENETICS,QINGDAO UNIVERSITY,476,1763,44751,25.380
MOLECULAR BIOLOGY & GENETICS,"UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS",480,1530,43921,28.710
MOLECULAR BIOLOGY & GENETICS,ANHUI MEDICAL UNIVERSITY,481,2002,43850,21.900
MOLECULAR BIOLOGY & GENETICS,SHANDONG FIRST MEDICAL UNIVERSITY & SHANDONG ACADEMY OF MEDICAL SCIENCES,483,2241,43663,19.480
MOLECULAR BIOLOGY & GENETICS,SOUTHEAST UNIVERSITY - CHINA,489,1506,42138,27.980
MOLECULAR BIOLOGY & GENETICS,NANCHANG UNIVERSITY,504,2058,41018,19.930
MOLECULAR BIOLOGY & GENETICS,NANJING AGRICULTURAL UNIVERSITY,510,1652,40538,24.540
MOLECULAR BIOLOGY & GENETICS,NANKAI UNIVERSITY,550,1242,37042,29.820
MOLECULAR BIOLOGY & GENETICS,NORTHWEST A&F UNIVERSITY - CHINA,551,1629,36989,22.710
MOLECULAR BIOLOGY & GENETICS,DALIAN MEDICAL UNIVERSITY,559,1336,36215,27.110
MOLECULAR BIOLOGY & GENETICS,"NATIONAL INSTITUTE OF BIOLOGICAL SCIENCES, BEIJING",560,466,36073,77.410
MOLECULAR BIOLOGY & GENETICS,JIANGSU UNIVERSITY,615,1087,31849,29.300
MOLECULAR BIOLOGY & GENETICS,NANTONG UNIVERSITY,618,1588,31661,19.940
MOLECULAR BIOLOGY & GENETICS,XUZHOU MEDICAL UNIVERSITY,624,1357,30965,22.820
MOLECULAR BIOLOGY & GENETICS,SHENZHEN UNIVERSITY,631,1303,30699,23.560
MOLECULAR BIOLOGY & GENETICS,FUJIAN MEDICAL UNIVERSITY,658,1925,29327,15.230
MOLECULAR BIOLOGY & GENETICS,"SHANGHAI INSTITUTE OF MATERIA MEDICA, CAS",673,442,28653,64.830
MOLECULAR BIOLOGY & GENETICS,"BEIJING INSTITUTE OF GENOMICS, CAS",679,543,28346,52.200
MOLECULAR BIOLOGY & GENETICS,PEKING UNION MEDICAL COLLEGE HOSPITAL,688,1063,27824,26.170
MOLECULAR BIOLOGY & GENETICS,ACADEMY OF MILITARY MEDICAL SCIENCES - CHINA,690,621,27656,44.530
MOLECULAR BIOLOGY & GENETICS,GUANGXI MEDICAL UNIVERSITY,695,1327,27476,20.710
MOLECULAR BIOLOGY & GENETICS,NANJING UNIVERSITY OF CHINESE MEDICINE,710,1083,26829,24.770
MOLECULAR BIOLOGY & GENETICS,SHANTOU UNIVERSITY,731,888,25283,28.470
MOLECULAR BIOLOGY & GENETICS,SOUTHERN UNIVERSITY OF SCIENCE & TECHNOLOGY,738,902,25112,27.840
MOLECULAR BIOLOGY & GENETICS,"KUNMING INSTITUTE OF ZOOLOGY, CAS",739,776,25039,32.270
MOLECULAR BIOLOGY & GENETICS,YANGZHOU UNIVERSITY,752,1376,24380,17.720
MOLECULAR BIOLOGY & GENETICS,LANZHOU UNIVERSITY,755,1060,24350,22.970
MOLECULAR BIOLOGY & GENETICS,CHINA PHARMACEUTICAL UNIVERSITY,799,766,22616,29.520
MOLECULAR BIOLOGY & GENETICS,SHANGHAI UNIVERSITY OF TRADITIONAL CHINESE MEDICINE,807,1025,22389,21.840
MOLECULAR BIOLOGY & GENETICS,HEBEI MEDICAL UNIVERSITY,826,1256,21678,17.260
MOLECULAR BIOLOGY & GENETICS,"INSTITUTE OF MICROBIOLOGY, CAS",834,378,21548,57.010
MOLECULAR BIOLOGY & GENETICS,CANCER INSTITUTE & HOSPITAL - CAMS,837,771,21376,27.730
MOLECULAR BIOLOGY & GENETICS,"CENTER FOR EXCELLENCE IN MOLECULAR PLANT SCIENCES, CAS",838,304,21372,70.300
MOLECULAR BIOLOGY & GENETICS,GUANGZHOU UNIVERSITY OF CHINESE MEDICINE,850,892,21061,23.610
MOLECULAR BIOLOGY & GENETICS,EAST CHINA NORMAL UNIVERSITY,867,532,20568,38.660
MOLECULAR BIOLOGY & GENETICS,SICHUAN AGRICULTURAL UNIVERSITY,884,1245,20043,16.100
MOLECULAR BIOLOGY & GENETICS,KUNMING MEDICAL UNIVERSITY,886,1041,19908,19.120
MOLECULAR BIOLOGY & GENETICS,INSTITUTE OF BASIC MEDICAL SCIENCES - CAMS,890,317,19813,62.500
MOLECULAR BIOLOGY & GENETICS,"SHANGHAI INSTITUTE OF NUTRITION & HEALTH, CAS",894,534,19703,36.900
MOLECULAR BIOLOGY & GENETICS,BIOLAND LAB,900,349,19535,55.970
MOLECULAR BIOLOGY & GENETICS,UNIVERSITY OF ELECTRONIC SCIENCE & TECHNOLOGY OF CHINA,907,810,19399,23.950
MOLECULAR BIOLOGY & GENETICS,GUANGDONG MEDICAL UNIVERSITY,912,799,19325,24.190
MOLECULAR BIOLOGY & GENETICS,WESTLAKE UNIVERSITY,930,470,18874,40.160
MOLECULAR BIOLOGY & GENETICS,FUJIAN AGRICULTURE & FORESTRY UNIVERSITY,935,822,18810,22.880
MOLECULAR BIOLOGY & GENETICS,SOUTH CHINA AGRICULTURAL UNIVERSITY,941,1098,18627,16.960
MOLECULAR BIOLOGY & GENETICS,GUANGDONG ACADEMY OF MEDICAL SCIENCES & GUANGDONG GENERAL HOSPITAL,942,843,18615,22.080
MOLECULAR BIOLOGY & GENETICS,UNIVERSITY OF SOUTH CHINA,947,829,18392,22.190
MOLECULAR BIOLOGY & GENETICS,CHONGQING UNIVERSITY,962,737,17903,24.290
MOLECULAR BIOLOGY & GENETICS,"GUANGZHOU INSTITUTE OF BIOMEDICINE & HEALTH, CAS",967,587,17793,30.310
MOLECULAR BIOLOGY & GENETICS,COLLABORATIVE INNOVATION CENTER FOR DIAGNOSIS & TREATMENT OF INFECTIOUS DISEASES,975,465,17610,37.870
MOLECULAR BIOLOGY & GENETICS,SOUTHWEST MEDICAL UNIVERSITY,979,897,17531,19.540
MOLECULAR BIOLOGY & GENETICS,HENAN UNIVERSITY,981,797,17460,21.910
MOLECULAR BIOLOGY & GENETICS,SOUTHWEST UNIVERSITY - CHINA,1008,879,16546,18.820
MOLECULAR BIOLOGY & GENETICS,"SHENZHEN INSTITUTE OF ADVANCED TECHNOLOGY, CAS",1059,611,15303,25.050
MOLECULAR BIOLOGY & GENETICS,SHANXI MEDICAL UNIVERSITY,1064,1022,15185,14.860
MOLECULAR BIOLOGY & GENETICS,HANGZHOU MEDICAL COLLEGE,1069,698,15120,21.660
MOLECULAR BIOLOGY & GENETICS,ZHEJIANG CANCER HOSPITAL,1076,428,14900,34.810
MOLECULAR BIOLOGY & GENETICS,SOUTH CHINA UNIVERSITY OF TECHNOLOGY,1084,733,14774,20.160
MOLECULAR BIOLOGY & GENETICS,FU WAI HOSPITAL - CAMS,1087,434,14752,33.990
MOLECULAR BIOLOGY & GENETICS,ZHEJIANG CHINESE MEDICAL UNIVERSITY,1094,914,14701,16.080
MOLECULAR BIOLOGY & GENETICS,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,1102,468,14562,31.120
MOLECULAR BIOLOGY & GENETICS,"SHANGHAI INSTITUTE OF ORGANIC CHEMISTRY, CAS",1126,198,14032,70.870
