学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
MULTIDISCIPLINARY,CHINESE ACADEMY OF SCIENCES,3,734,36060,49.130
MULTIDISCIPLINARY,TSINGHUA UNIVERSITY,30,176,12875,73.150
MULTIDISCIPLINARY,PEKING UNIVERSITY,31,187,12861,68.780
MULTIDISCIPLINARY,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",65,241,8436,35.000
MULTIDISCIPLINARY,FUDAN UNIVERSITY,71,147,8235,56.020
MULTIDISCIPLINARY,SUN YAT SEN UNIVERSITY,101,133,6005,45.150
MULTIDISCIPLINARY,CHINESE ACADEMY OF MEDICAL SCIENCES - PEKING UNION MEDICAL COLLEGE,126,123,5545,45.080
MULTIDISCIPLINARY,ZHEJIANG UNIVERSITY,131,192,5317,27.690
MULTIDISCIPLINARY,NANJING UNIVERSITY,144,93,5011,53.880
MULTIDISCIPLINARY,SICHUAN UNIVERSITY,148,117,4846,41.420
MULTIDISCIPLINARY,PEKING UNION MEDICAL COLLEGE,151,89,4817,54.120
MULTIDISCIPLINARY,SHANGHAI JIAO TONG UNIVERSITY,156,169,4670,27.630
MULTIDISCIPLINARY,SOOCHOW UNIVERSITY - CHINA,169,66,4388,66.480
MULTIDISCIPLINARY,"INSTITUTE OF BIOPHYSICS, CAS",187,20,4080,204.000
MULTIDISCIPLINARY,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,205,96,3746,39.020
MULTIDISCIPLINARY,CAPITAL MEDICAL UNIVERSITY,207,68,3697,54.370
MULTIDISCIPLINARY,NATIONAL INSTITUTE OF FOOD & DRUG CONTROL - CHINA,215,14,3579,255.640
