学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
PHARMACOLOGY & TOXICOLOGY,CHINESE ACADEMY OF SCIENCES,4,8249,155500,18.850
PHARMACOLOGY & TOXICOLOGY,CHINESE ACADEMY OF MEDICAL SCIENCES - PEKING UNION MEDICAL COLLEGE,12,5173,84259,16.290
PHARMACOLOGY & TOXICOLOGY,CHINA PHARMACEUTICAL UNIVERSITY,13,4234,81401,19.230
PHARMACOLOGY & TOXICOLOGY,ZHEJIANG UNIVERSITY,14,4499,79487,17.670
PHARMACOLOGY & TOXICOLOGY,SHANGHAI JIAO TONG UNIVERSITY,15,4620,78853,17.070
PHARMACOLOGY & TOXICOLOGY,FUDAN UNIVERSITY,16,4399,75770,17.220
PHARMACOLOGY & TOXICOLOGY,SUN YAT SEN UNIVERSITY,19,4093,73123,17.870
PHARMACOLOGY & TOXICOLOGY,PEKING UNION MEDICAL COLLEGE,23,4075,70392,17.270
PHARMACOLOGY & TOXICOLOGY,SICHUAN UNIVERSITY,25,3961,69182,17.470
PHARMACOLOGY & TOXICOLOGY,NANJING MEDICAL UNIVERSITY,36,3736,57394,15.360
PHARMACOLOGY & TOXICOLOGY,HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,37,3425,57342,16.740
PHARMACOLOGY & TOXICOLOGY,SOUTHERN MEDICAL UNIVERSITY - CHINA,38,3425,57050,16.660
PHARMACOLOGY & TOXICOLOGY,PEKING UNIVERSITY,41,3270,55978,17.120
PHARMACOLOGY & TOXICOLOGY,SHANDONG UNIVERSITY,42,3437,55616,16.180
PHARMACOLOGY & TOXICOLOGY,CENTRAL SOUTH UNIVERSITY,45,3429,53411,15.580
PHARMACOLOGY & TOXICOLOGY,SHENYANG PHARMACEUTICAL UNIVERSITY,46,3032,53386,17.610
PHARMACOLOGY & TOXICOLOGY,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",50,2959,51911,17.540
PHARMACOLOGY & TOXICOLOGY,SHANGHAI UNIVERSITY OF TRADITIONAL CHINESE MEDICINE,51,2994,50768,16.960
PHARMACOLOGY & TOXICOLOGY,JILIN UNIVERSITY,53,2766,50457,18.240
PHARMACOLOGY & TOXICOLOGY,NANJING UNIVERSITY OF CHINESE MEDICINE,57,3323,48915,14.720
PHARMACOLOGY & TOXICOLOGY,CAPITAL MEDICAL UNIVERSITY,63,3775,47970,12.710
PHARMACOLOGY & TOXICOLOGY,ZHENGZHOU UNIVERSITY,70,3143,45526,14.480
PHARMACOLOGY & TOXICOLOGY,GUANGZHOU UNIVERSITY OF CHINESE MEDICINE,71,2857,45476,15.920
PHARMACOLOGY & TOXICOLOGY,CHENGDU UNIVERSITY OF TRADITIONAL CHINESE MEDICINE,72,2424,45025,18.570
PHARMACOLOGY & TOXICOLOGY,WENZHOU MEDICAL UNIVERSITY,73,3155,44890,14.230
PHARMACOLOGY & TOXICOLOGY,BEIJING UNIVERSITY OF CHINESE MEDICINE,76,2834,44469,15.690
PHARMACOLOGY & TOXICOLOGY,JINAN UNIVERSITY,83,2577,42035,16.310
PHARMACOLOGY & TOXICOLOGY,SOOCHOW UNIVERSITY - CHINA,87,2266,40416,17.840
PHARMACOLOGY & TOXICOLOGY,XI'AN JIAOTONG UNIVERSITY,100,2273,37651,16.560
PHARMACOLOGY & TOXICOLOGY,CHINA MEDICAL UNIVERSITY,112,2160,34684,16.060
PHARMACOLOGY & TOXICOLOGY,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,114,2179,34511,15.840
PHARMACOLOGY & TOXICOLOGY,WUHAN UNIVERSITY,116,2128,34001,15.980
PHARMACOLOGY & TOXICOLOGY,ANHUI MEDICAL UNIVERSITY,122,2229,33050,14.830
PHARMACOLOGY & TOXICOLOGY,"SHANGHAI INSTITUTE OF MATERIA MEDICA, CAS",128,1570,32334,20.590
PHARMACOLOGY & TOXICOLOGY,NANJING UNIVERSITY,133,1739,31515,18.120
PHARMACOLOGY & TOXICOLOGY,NAVAL MEDICAL UNIVERSITY,134,1716,31340,18.260
PHARMACOLOGY & TOXICOLOGY,GUANGZHOU MEDICAL UNIVERSITY,147,1872,29048,15.520
PHARMACOLOGY & TOXICOLOGY,ZHEJIANG CHINESE MEDICAL UNIVERSITY,158,1965,28231,14.370
PHARMACOLOGY & TOXICOLOGY,QINGDAO UNIVERSITY,162,1828,27169,14.860
PHARMACOLOGY & TOXICOLOGY,TONGJI UNIVERSITY,163,1697,27158,16.000
PHARMACOLOGY & TOXICOLOGY,SHANDONG FIRST MEDICAL UNIVERSITY & SHANDONG ACADEMY OF MEDICAL SCIENCES,172,1981,26393,13.320
PHARMACOLOGY & TOXICOLOGY,CHONGQING MEDICAL UNIVERSITY,175,1768,26185,14.810
PHARMACOLOGY & TOXICOLOGY,TIANJIN UNIVERSITY OF TRADITIONAL CHINESE MEDICINE,180,1593,25829,16.210
PHARMACOLOGY & TOXICOLOGY,HARBIN MEDICAL UNIVERSITY,193,1606,25041,15.590
PHARMACOLOGY & TOXICOLOGY,NANCHANG UNIVERSITY,196,1611,24842,15.420
PHARMACOLOGY & TOXICOLOGY,DALIAN MEDICAL UNIVERSITY,203,1372,24464,17.830
