学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
PLANT & ANIMAL SCIENCE,CHINESE ACADEMY OF SCIENCES,1,28856,544095,18.860
PLANT & ANIMAL SCIENCE,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,6,12904,239629,18.570
PLANT & ANIMAL SCIENCE,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",8,11056,204777,18.520
PLANT & ANIMAL SCIENCE,NANJING AGRICULTURAL UNIVERSITY,11,8140,164672,20.230
PLANT & ANIMAL SCIENCE,CHINA AGRICULTURAL UNIVERSITY,16,7016,146465,20.880
PLANT & ANIMAL SCIENCE,HUAZHONG AGRICULTURAL UNIVERSITY,18,6116,139714,22.840
PLANT & ANIMAL SCIENCE,NORTHWEST A&F UNIVERSITY - CHINA,21,7143,125016,17.500
PLANT & ANIMAL SCIENCE,ZHEJIANG UNIVERSITY,30,4821,108301,22.460
PLANT & ANIMAL SCIENCE,SOUTH CHINA AGRICULTURAL UNIVERSITY,56,5159,84838,16.440
PLANT & ANIMAL SCIENCE,"INSTITUTE OF GENETICS & DEVELOPMENTAL BIOLOGY, CAS",85,1475,68117,46.180
PLANT & ANIMAL SCIENCE,FUJIAN AGRICULTURE & FORESTRY UNIVERSITY,88,3841,66694,17.360
PLANT & ANIMAL SCIENCE,SHANDONG AGRICULTURAL UNIVERSITY,90,3500,66079,18.880
PLANT & ANIMAL SCIENCE,BEIJING FORESTRY UNIVERSITY,99,4252,59758,14.050
PLANT & ANIMAL SCIENCE,SICHUAN AGRICULTURAL UNIVERSITY,101,4113,59637,14.500
PLANT & ANIMAL SCIENCE,"KUNMING INSTITUTE OF BOTANY, CAS",103,2765,59362,21.470
PLANT & ANIMAL SCIENCE,"INSTITUTE OF BOTANY, CAS",133,1957,48627,24.850
PLANT & ANIMAL SCIENCE,CHINESE ACADEMY OF FISHERY SCIENCES,135,4257,48141,11.310
PLANT & ANIMAL SCIENCE,YANGZHOU UNIVERSITY,140,3588,47298,13.180
PLANT & ANIMAL SCIENCE,"INSTITUTE OF CROP SCIENCES, CAAS",143,1759,46823,26.620
PLANT & ANIMAL SCIENCE,"CENTER FOR EXCELLENCE IN MOLECULAR PLANT SCIENCES, CAS",151,1162,44794,38.550
PLANT & ANIMAL SCIENCE,OCEAN UNIVERSITY OF CHINA,157,3354,42869,12.780
PLANT & ANIMAL SCIENCE,LAOSHAN LABORATORY,164,3347,41978,12.540
PLANT & ANIMAL SCIENCE,SOUTHWEST UNIVERSITY - CHINA,169,3055,40590,13.290
PLANT & ANIMAL SCIENCE,CHINESE ACADEMY OF FORESTRY,176,3291,39026,11.860
PLANT & ANIMAL SCIENCE,SUN YAT SEN UNIVERSITY,181,2585,38740,14.990
PLANT & ANIMAL SCIENCE,NANJING FORESTRY UNIVERSITY,185,3220,38366,11.910
PLANT & ANIMAL SCIENCE,HUNAN AGRICULTURAL UNIVERSITY,192,1898,37756,19.890
PLANT & ANIMAL SCIENCE,BEIJING ACADEMY OF AGRICULTURE & FORESTRY SCIENCES (BAAFS),209,1399,34625,24.750
PLANT & ANIMAL SCIENCE,NORTHEAST AGRICULTURAL UNIVERSITY - CHINA,215,2225,33525,15.070
PLANT & ANIMAL SCIENCE,HENAN AGRICULTURAL UNIVERSITY,217,2219,33181,14.950
PLANT & ANIMAL SCIENCE,PEKING UNIVERSITY,220,1435,33105,23.070
PLANT & ANIMAL SCIENCE,ANHUI AGRICULTURAL UNIVERSITY,229,2261,32235,14.260
PLANT & ANIMAL SCIENCE,"INSTITUTE OF MICROBIOLOGY, CAS",240,868,31368,36.140
PLANT & ANIMAL SCIENCE,SHANGHAI JIAO TONG UNIVERSITY,243,1535,31074,20.240
PLANT & ANIMAL SCIENCE,GUIZHOU UNIVERSITY,245,2683,30906,11.520
PLANT & ANIMAL SCIENCE,NORTHEAST FORESTRY UNIVERSITY - CHINA,257,2767,29889,10.800
PLANT & ANIMAL SCIENCE,SHANGHAI OCEAN UNIVERSITY,266,2855,29238,10.240
PLANT & ANIMAL SCIENCE,HAINAN UNIVERSITY,272,2346,28563,12.180
PLANT & ANIMAL SCIENCE,LANZHOU UNIVERSITY,277,1841,28316,15.380
PLANT & ANIMAL SCIENCE,ZHEJIANG A&F UNIVERSITY,289,2073,27790,13.410
PLANT & ANIMAL SCIENCE,JIANGSU ACADEMY OF AGRICULTURAL SCIENCES,294,1728,27489,15.910
PLANT & ANIMAL SCIENCE,"INSTITUTE OF PLANT PROTECTION, CAAS",298,1714,27323,15.940
PLANT & ANIMAL SCIENCE,HENAN UNIVERSITY,307,1094,26510,24.230
PLANT & ANIMAL SCIENCE,"SOUTH CHINA BOTANICAL GARDEN, CAS",310,1783,26403,14.810
PLANT & ANIMAL SCIENCE,QINGDAO AGRICULTURAL UNIVERSITY,312,1980,26373,13.320
PLANT & ANIMAL SCIENCE,GUANGDONG LABORATORY FOR LINGNAN MODERN AGRICULTURE,326,1222,25397,20.780
PLANT & ANIMAL SCIENCE,SHENYANG AGRICULTURAL UNIVERSITY,331,1902,24887,13.080
PLANT & ANIMAL SCIENCE,"XISHUANGBANNA TROPICAL BOTANICAL GARDEN, CAS",337,1470,24190,16.460
PLANT & ANIMAL SCIENCE,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,367,1283,22953,17.890
PLANT & ANIMAL SCIENCE,GUANGXI UNIVERSITY,369,2083,22837,10.960
PLANT & ANIMAL SCIENCE,"INSTITUTE OF HYDROBIOLOGY, CAS",389,1419,22133,15.600
PLANT & ANIMAL SCIENCE,"INSTITUTE OF OCEANOLOGY, CAS",390,1652,22111,13.380
PLANT & ANIMAL SCIENCE,EAST CHINA NORMAL UNIVERSITY,395,1375,21843,15.890
PLANT & ANIMAL SCIENCE,TSINGHUA UNIVERSITY,398,771,21668,28.100
PLANT & ANIMAL SCIENCE,GUANGDONG OCEAN UNIVERSITY,404,1824,21278,11.670
PLANT & ANIMAL SCIENCE,SHANDONG UNIVERSITY,413,1184,20766,17.540
PLANT & ANIMAL SCIENCE,JILIN AGRICULTURAL UNIVERSITY,424,1838,20444,11.120
PLANT & ANIMAL SCIENCE,CHINESE ACADEMY OF TROPICAL AGRICULTURAL SCIENCES,429,1560,20204,12.950
PLANT & ANIMAL SCIENCE,SHANDONG ACADEMY OF AGRICULTURAL SCIENCES,432,1315,20096,15.280
PLANT & ANIMAL SCIENCE,NINGBO UNIVERSITY,437,1695,19865,11.720
PLANT & ANIMAL SCIENCE,"INSTITUTE OF ZOOLOGY, CAS",446,1952,19462,9.970
PLANT & ANIMAL SCIENCE,SHANDONG NORMAL UNIVERSITY,448,782,19378,24.780
PLANT & ANIMAL SCIENCE,YANGTZE UNIVERSITY,453,1285,19277,15.000
PLANT & ANIMAL SCIENCE,GUANGDONG ACADEMY OF AGRICULTURAL SCIENCES,457,1474,19267,13.070
PLANT & ANIMAL SCIENCE,SICHUAN UNIVERSITY,462,1282,19033,14.850
PLANT & ANIMAL SCIENCE,SHANXI AGRICULTURAL UNIVERSITY,465,1757,18910,10.760
PLANT & ANIMAL SCIENCE,JIANGXI AGRICULTURAL UNIVERSITY,470,1619,18646,11.520
PLANT & ANIMAL SCIENCE,FUDAN UNIVERSITY,473,827,18586,22.470
PLANT & ANIMAL SCIENCE,XIAMEN UNIVERSITY,474,1362,18539,13.610
PLANT & ANIMAL SCIENCE,"WUHAN BOTANICAL GARDEN, CAS",481,911,18390,20.190
PLANT & ANIMAL SCIENCE,HEBEI AGRICULTURAL UNIVERSITY,482,1606,18379,11.440
PLANT & ANIMAL SCIENCE,"CHINA NATIONAL RICE RESEARCH INSTITUTE, CAAS",522,669,17334,25.910
PLANT & ANIMAL SCIENCE,GANSU AGRICULTURAL UNIVERSITY,529,1687,17261,10.230
PLANT & ANIMAL SCIENCE,WUHAN UNIVERSITY,545,928,16502,17.780
PLANT & ANIMAL SCIENCE,YUNNAN UNIVERSITY,549,1475,16345,11.080
PLANT & ANIMAL SCIENCE,GUIZHOU ACADEMY OF AGRICULTURAL SCIENCES,562,577,16065,27.840
PLANT & ANIMAL SCIENCE,SOUTH CHINA NORMAL UNIVERSITY,566,859,15946,18.560
PLANT & ANIMAL SCIENCE,SHANGHAI NORMAL UNIVERSITY,596,835,15218,18.230
PLANT & ANIMAL SCIENCE,YUNNAN AGRICULTURAL UNIVERSITY,606,1364,14878,10.910
PLANT & ANIMAL SCIENCE,"INSTITUTE OF COTTON RESEARCH, CAAS",608,832,14799,17.790
PLANT & ANIMAL SCIENCE,"INSTITUTE OF VEGETABLES & FLOWERS, CAAS",621,732,14270,19.490
PLANT & ANIMAL SCIENCE,"INSTITUTE OF ANIMAL SCIENCE, CAAS",626,1003,14201,14.160
PLANT & ANIMAL SCIENCE,ZHONGKAI UNIVERSITY OF AGRICULTURE & ENGINEERING,643,907,13836,15.250
PLANT & ANIMAL SCIENCE,MINISTRY OF NATURAL RESOURCES OF THE PEOPLE'S REPUBLIC OF CHINA,649,1524,13712,9.000
PLANT & ANIMAL SCIENCE,UNIVERSITY OF ELECTRONIC SCIENCE & TECHNOLOGY OF CHINA,652,425,13686,32.200
PLANT & ANIMAL SCIENCE,"OIL CROPS RESEARCH INSTITUTE, CAAS",671,484,13301,27.480
PLANT & ANIMAL SCIENCE,BEIJING GENOMICS INSTITUTE (BGI),672,324,13247,40.890
PLANT & ANIMAL SCIENCE,NORTHEAST NORMAL UNIVERSITY - CHINA,688,841,12986,15.440
PLANT & ANIMAL SCIENCE,"AGRICULTURE GENOMES INSTITUTE AT SHENZHEN, CAAS",693,664,12883,19.400
PLANT & ANIMAL SCIENCE,"SHENYANG INSTITUTE OF APPLIED ECOLOGY, CAS",697,680,12855,18.900
PLANT & ANIMAL SCIENCE,NANJING UNIVERSITY,702,700,12777,18.250
PLANT & ANIMAL SCIENCE,NANJING NORMAL UNIVERSITY,703,1018,12766,12.540
PLANT & ANIMAL SCIENCE,BEIJING NORMAL UNIVERSITY,712,965,12575,13.030
PLANT & ANIMAL SCIENCE,"BIOTECHNOLOGY RESEARCH INSTITUTE, CAAS",715,429,12500,29.140
PLANT & ANIMAL SCIENCE,SHENZHEN UNIVERSITY,717,592,12380,20.910
PLANT & ANIMAL SCIENCE,HENAN UNIVERSITY OF SCIENCE & TECHNOLOGY,718,1001,12335,12.320
PLANT & ANIMAL SCIENCE,SICHUAN ACADEMY OF AGRICULTURAL SCIENCES (SAAS),721,763,12284,16.100
PLANT & ANIMAL SCIENCE,JILIN UNIVERSITY,729,1013,12149,11.990
PLANT & ANIMAL SCIENCE,"YELLOW SEA FISHERIES RESEARCH INSTITUTE, CAFS",735,1072,12023,11.220
PLANT & ANIMAL SCIENCE,"NORTHEAST INSTITUTE OF GEOGRAPHY & AGROECOLOGY, CAS",757,713,11559,16.210
PLANT & ANIMAL SCIENCE,SHANGHAI ACADEMY OF AGRICULTURAL SCIENCES,761,667,11460,17.180
PLANT & ANIMAL SCIENCE,"INSTITUTE OF GEOGRAPHIC SCIENCES & NATURAL RESOURCES RESEARCH, CAS",762,619,11436,18.470
PLANT & ANIMAL SCIENCE,CHINESE ACADEMY OF MEDICAL SCIENCES - PEKING UNION MEDICAL COLLEGE,763,766,11395,14.880
PLANT & ANIMAL SCIENCE,HANGZHOU NORMAL UNIVERSITY,767,591,11345,19.200
PLANT & ANIMAL SCIENCE,CAPITAL NORMAL UNIVERSITY,771,616,11258,18.280
PLANT & ANIMAL SCIENCE,YUNNAN ACADEMY OF AGRICULTURAL SCIENCES,786,684,11027,16.120
PLANT & ANIMAL SCIENCE,"NANJING INSTITUTE OF SOIL SCIENCE, CAS",794,340,10834,31.860
PLANT & ANIMAL SCIENCE,SOUTHWEST FORESTRY UNIVERSITY - CHINA,802,1234,10788,8.740
PLANT & ANIMAL SCIENCE,FOSHAN UNIVERSITY,818,672,10428,15.520
PLANT & ANIMAL SCIENCE,"CHENGDU INSTITUTE OF BIOLOGY, CAS",832,938,10286,10.970
PLANT & ANIMAL SCIENCE,"STATE KEY LABORATORY OF TREE GENETICS & BREEDING, CAF",834,758,10282,13.560
PLANT & ANIMAL SCIENCE,PEKING UNION MEDICAL COLLEGE,838,658,10232,15.550
PLANT & ANIMAL SCIENCE,KUNMING UNIVERSITY OF SCIENCE & TECHNOLOGY,840,409,10198,24.930
PLANT & ANIMAL SCIENCE,JIANGSU UNIVERSITY,845,875,10143,11.590
PLANT & ANIMAL SCIENCE,"RESEARCH INSTITUTE OF FORESTRY, CAF",855,792,10045,12.680
PLANT & ANIMAL SCIENCE,"SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CAS",861,752,9924,13.200
PLANT & ANIMAL SCIENCE,DALIAN OCEAN UNIVERSITY,883,928,9615,10.360
PLANT & ANIMAL SCIENCE,SHIHEZI UNIVERSITY,888,1016,9578,9.430
PLANT & ANIMAL SCIENCE,CHONGQING UNIVERSITY,902,458,9441,20.610
PLANT & ANIMAL SCIENCE,"INSTITUTE OF SUBTROPICAL AGRICULTURE, CAS",906,599,9329,15.570
PLANT & ANIMAL SCIENCE,ZHENGZHOU UNIVERSITY,912,762,9273,12.170
PLANT & ANIMAL SCIENCE,BEIJING UNIVERSITY OF AGRICULTURE,914,580,9251,15.950
PLANT & ANIMAL SCIENCE,"TEA RESEARCH INSTITUTE, CAAS",916,333,9247,27.770
PLANT & ANIMAL SCIENCE,DALI UNIVERSITY,922,473,9174,19.400
PLANT & ANIMAL SCIENCE,"SOUTH CHINA SEA FISHERIES RESEARCH INSTITUTE, CAFS",926,760,9133,12.020
PLANT & ANIMAL SCIENCE,SOUTHERN MARINE SCIENCE & ENGINEERING GUANGDONG LABORATORY,927,1231,9130,7.420
PLANT & ANIMAL SCIENCE,JIMEI UNIVERSITY,950,689,8882,12.890
PLANT & ANIMAL SCIENCE,HEILONGJIANG ACADEMY OF AGRICULTURAL SCIENCES,952,670,8881,13.260
PLANT & ANIMAL SCIENCE,CENTRAL SOUTH UNIVERSITY OF FORESTRY & TECHNOLOGY,957,971,8842,9.110
PLANT & ANIMAL SCIENCE,"FRESHWATER FISHERIES RESEARCH CENTER, CAFS",962,636,8778,13.800
PLANT & ANIMAL SCIENCE,NORTHWEST UNIVERSITY XI'AN,974,720,8581,11.920
PLANT & ANIMAL SCIENCE,ZHEJIANG OCEAN UNIVERSITY,990,897,8471,9.440
PLANT & ANIMAL SCIENCE,INNER MONGOLIA AGRICULTURAL UNIVERSITY,993,1174,8444,7.190
PLANT & ANIMAL SCIENCE,NANKAI UNIVERSITY,997,768,8419,10.960
PLANT & ANIMAL SCIENCE,HENAN ACADEMY OF AGRICULTURAL SCIENCES,1015,611,8248,13.500
PLANT & ANIMAL SCIENCE,"XINJIANG INSTITUTE OF ECOLOGY & GEOGRAPHY, CAS",1016,656,8241,12.560
PLANT & ANIMAL SCIENCE,"INSTITUTE OF SOIL & WATER CONSERVATION (ISWC), CAS",1018,361,8227,22.790
PLANT & ANIMAL SCIENCE,SOUTHERN UNIVERSITY OF SCIENCE & TECHNOLOGY,1024,357,8165,22.870
PLANT & ANIMAL SCIENCE,"UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS",1037,428,8078,18.870
PLANT & ANIMAL SCIENCE,ANHUI ACADEMY OF AGRICULTURAL SCIENCES,1055,582,7836,13.460
PLANT & ANIMAL SCIENCE,CHINA NATIONAL TOBACCO CORPORATION,1066,822,7727,9.400
