学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
PSYCHIATRY PSYCHOLOGY,PEKING UNIVERSITY,154,2854,44386,15.550
PSYCHIATRY PSYCHOLOGY,BEIJING NORMAL UNIVERSITY,165,3743,42173,11.270
PSYCHIATRY PSYCHOLOGY,CHINESE ACADEMY OF SCIENCES,173,3048,39871,13.080
PSYCHIATRY PSYCHOLOGY,SHANGHAI JIAO TONG UNIVERSITY,204,1980,33496,16.920
PSYCHIATRY PSYCHOLOGY,CENTRAL SOUTH UNIVERSITY,246,1819,28752,15.810
PSYCHIATRY PSYCHOLOGY,ZHEJIANG UNIVERSITY,321,2190,22641,10.340
PSYCHIATRY PSYCHOLOGY,SICHUAN UNIVERSITY,359,1456,20455,14.050
PSYCHIATRY PSYCHOLOGY,"INSTITUTE OF PSYCHOLOGY, CAS",363,1551,20283,13.080
PSYCHIATRY PSYCHOLOGY,CAPITAL MEDICAL UNIVERSITY,384,1286,18913,14.710
PSYCHIATRY PSYCHOLOGY,HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,386,1077,18873,17.520
PSYCHIATRY PSYCHOLOGY,SOUTHWEST UNIVERSITY - CHINA,397,1554,18396,11.840
PSYCHIATRY PSYCHOLOGY,SUN YAT SEN UNIVERSITY,420,1364,17203,12.610
PSYCHIATRY PSYCHOLOGY,RENMIN UNIVERSITY OF CHINA,421,1151,17167,14.910
PSYCHIATRY PSYCHOLOGY,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",424,1623,17105,10.540
PSYCHIATRY PSYCHOLOGY,SOUTH CHINA NORMAL UNIVERSITY,431,1447,16792,11.600
PSYCHIATRY PSYCHOLOGY,EAST CHINA NORMAL UNIVERSITY,467,1460,15243,10.440
PSYCHIATRY PSYCHOLOGY,FUDAN UNIVERSITY,493,1132,14262,12.600
PSYCHIATRY PSYCHOLOGY,SHENZHEN UNIVERSITY,497,1029,14138,13.740
PSYCHIATRY PSYCHOLOGY,SHANDONG UNIVERSITY,521,1005,13651,13.580
PSYCHIATRY PSYCHOLOGY,TSINGHUA UNIVERSITY,558,1060,12435,11.730
PSYCHIATRY PSYCHOLOGY,WUHAN UNIVERSITY,562,969,12307,12.700
PSYCHIATRY PSYCHOLOGY,CENTRAL CHINA NORMAL UNIVERSITY,580,939,11658,12.420
PSYCHIATRY PSYCHOLOGY,NANJING MEDICAL UNIVERSITY,623,801,10525,13.140
PSYCHIATRY PSYCHOLOGY,GUANGZHOU MEDICAL UNIVERSITY,629,775,10363,13.370
PSYCHIATRY PSYCHOLOGY,SOUTHERN MEDICAL UNIVERSITY - CHINA,644,752,9909,13.180
PSYCHIATRY PSYCHOLOGY,UNIVERSITY OF ELECTRONIC SCIENCE & TECHNOLOGY OF CHINA,654,648,9747,15.040
PSYCHIATRY PSYCHOLOGY,SOOCHOW UNIVERSITY - CHINA,666,833,9465,11.360
PSYCHIATRY PSYCHOLOGY,JILIN UNIVERSITY,695,566,8958,15.830
PSYCHIATRY PSYCHOLOGY,XI'AN JIAOTONG UNIVERSITY,725,671,8564,12.760
PSYCHIATRY PSYCHOLOGY,ANHUI MEDICAL UNIVERSITY,736,766,8472,11.060
PSYCHIATRY PSYCHOLOGY,HANGZHOU NORMAL UNIVERSITY,751,739,8192,11.090
PSYCHIATRY PSYCHOLOGY,NANJING UNIVERSITY,784,752,7724,10.270
PSYCHIATRY PSYCHOLOGY,CHONGQING MEDICAL UNIVERSITY,791,514,7654,14.890
PSYCHIATRY PSYCHOLOGY,JINAN UNIVERSITY,796,614,7608,12.390
PSYCHIATRY PSYCHOLOGY,CHINESE ACADEMY OF MEDICAL SCIENCES - PEKING UNION MEDICAL COLLEGE,801,590,7566,12.820
PSYCHIATRY PSYCHOLOGY,TONGJI UNIVERSITY,823,648,7372,11.380
PSYCHIATRY PSYCHOLOGY,SHAANXI NORMAL UNIVERSITY,851,791,7024,8.880
PSYCHIATRY PSYCHOLOGY,ZHENGZHOU UNIVERSITY,862,652,6900,10.580
PSYCHIATRY PSYCHOLOGY,CHINA MEDICAL UNIVERSITY,866,447,6834,15.290
PSYCHIATRY PSYCHOLOGY,NANJING NORMAL UNIVERSITY,889,706,6526,9.240
PSYCHIATRY PSYCHOLOGY,SHENZHEN INSTITUTE OF MENTAL HEALTH & SHENZHEN KANGNING HOSPITAL,913,297,6233,20.990
PSYCHIATRY PSYCHOLOGY,CAPITAL NORMAL UNIVERSITY,915,628,6210,9.890
PSYCHIATRY PSYCHOLOGY,QINGDAO UNIVERSITY,919,477,6178,12.950
PSYCHIATRY PSYCHOLOGY,GUANGZHOU UNIVERSITY,928,554,6094,11.000
PSYCHIATRY PSYCHOLOGY,SOUTHEAST UNIVERSITY - CHINA,949,630,5906,9.370
PSYCHIATRY PSYCHOLOGY,WENZHOU MEDICAL UNIVERSITY,957,566,5843,10.320
PSYCHIATRY PSYCHOLOGY,AIR FORCE MEDICAL UNIVERSITY,978,375,5686,15.160
PSYCHIATRY PSYCHOLOGY,SHANGHAI NORMAL UNIVERSITY,995,712,5498,7.720
PSYCHIATRY PSYCHOLOGY,"UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS",1010,339,5408,15.950
PSYCHIATRY PSYCHOLOGY,KUNMING MEDICAL UNIVERSITY,1015,235,5364,22.830
PSYCHIATRY PSYCHOLOGY,ZHEJIANG NORMAL UNIVERSITY,1038,661,5191,7.850
PSYCHIATRY PSYCHOLOGY,SHANDONG NORMAL UNIVERSITY,1039,553,5184,9.370
PSYCHIATRY PSYCHOLOGY,TIANJIN NORMAL UNIVERSITY,1071,507,4954,9.770
PSYCHIATRY PSYCHOLOGY,HENAN UNIVERSITY,1083,489,4749,9.710
PSYCHIATRY PSYCHOLOGY,ARMY MEDICAL UNIVERSITY,1091,253,4665,18.440
PSYCHIATRY PSYCHOLOGY,NAVAL MEDICAL UNIVERSITY,1112,191,4524,23.690
PSYCHIATRY PSYCHOLOGY,TIANJIN MEDICAL UNIVERSITY,1117,396,4507,11.380
