学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
"SOCIAL SCIENCES, GENERAL",CHINESE ACADEMY OF SCIENCES,47,5121,107411,20.970
"SOCIAL SCIENCES, GENERAL",PEKING UNIVERSITY,110,4387,65946,15.030
"SOCIAL SCIENCES, GENERAL",SUN YAT SEN UNIVERSITY,143,3616,57474,15.890
"SOCIAL SCIENCES, GENERAL",WUHAN UNIVERSITY,154,3429,54622,15.930
"SOCIAL SCIENCES, GENERAL",TSINGHUA UNIVERSITY,169,2940,49351,16.790
"SOCIAL SCIENCES, GENERAL",ZHEJIANG UNIVERSITY,171,3896,48981,12.570
"SOCIAL SCIENCES, GENERAL",BEIJING NORMAL UNIVERSITY,191,3404,45955,13.500
"SOCIAL SCIENCES, GENERAL","INSTITUTE OF GEOGRAPHIC SCIENCES & NATURAL RESOURCES RESEARCH, CAS",206,1579,41644,26.370
"SOCIAL SCIENCES, GENERAL","UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",212,2050,40299,19.660
"SOCIAL SCIENCES, GENERAL",SHANGHAI JIAO TONG UNIVERSITY,250,2810,33700,11.990
"SOCIAL SCIENCES, GENERAL",TONGJI UNIVERSITY,261,2077,32865,15.820
"SOCIAL SCIENCES, GENERAL",HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,276,2047,31156,15.220
"SOCIAL SCIENCES, GENERAL",FUDAN UNIVERSITY,282,2893,30552,10.560
"SOCIAL SCIENCES, GENERAL",NANJING UNIVERSITY,289,2054,29987,14.600
"SOCIAL SCIENCES, GENERAL",XIAMEN UNIVERSITY,307,1608,28153,17.510
"SOCIAL SCIENCES, GENERAL",EAST CHINA NORMAL UNIVERSITY,314,2176,27524,12.650
"SOCIAL SCIENCES, GENERAL",BEIJING INSTITUTE OF TECHNOLOGY,325,842,26926,31.980
"SOCIAL SCIENCES, GENERAL",SOUTHEAST UNIVERSITY - CHINA,330,1791,26774,14.950
"SOCIAL SCIENCES, GENERAL",CENTRAL SOUTH UNIVERSITY,331,1810,26645,14.720
"SOCIAL SCIENCES, GENERAL",RENMIN UNIVERSITY OF CHINA,334,2132,26462,12.410
"SOCIAL SCIENCES, GENERAL",XI'AN JIAOTONG UNIVERSITY,342,1736,25969,14.960
"SOCIAL SCIENCES, GENERAL",SICHUAN UNIVERSITY,344,2433,25739,10.580
"SOCIAL SCIENCES, GENERAL",CHINA UNIVERSITY OF GEOSCIENCES,371,1157,23846,20.610
"SOCIAL SCIENCES, GENERAL",SHANDONG UNIVERSITY,395,1838,21703,11.810
"SOCIAL SCIENCES, GENERAL",SHENZHEN UNIVERSITY,425,1332,20398,15.310
"SOCIAL SCIENCES, GENERAL",SOUTHWESTERN UNIVERSITY OF FINANCE & ECONOMICS - CHINA,472,889,18208,20.480
"SOCIAL SCIENCES, GENERAL",DALIAN UNIVERSITY OF TECHNOLOGY,497,728,17371,23.860
"SOCIAL SCIENCES, GENERAL","UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS",511,758,16869,22.250
"SOCIAL SCIENCES, GENERAL",HARBIN INSTITUTE OF TECHNOLOGY,525,969,16428,16.950
"SOCIAL SCIENCES, GENERAL",JINAN UNIVERSITY,527,1291,16341,12.660
"SOCIAL SCIENCES, GENERAL",BEIHANG UNIVERSITY,575,724,14543,20.090
"SOCIAL SCIENCES, GENERAL",NANKAI UNIVERSITY,577,983,14471,14.720
"SOCIAL SCIENCES, GENERAL",CHONGQING UNIVERSITY,590,954,13965,14.640
"SOCIAL SCIENCES, GENERAL",CHINESE CENTER FOR DISEASE CONTROL & PREVENTION,592,777,13941,17.940
"SOCIAL SCIENCES, GENERAL",QINGDAO UNIVERSITY,605,719,13551,18.850
"SOCIAL SCIENCES, GENERAL",NANJING NORMAL UNIVERSITY,612,1160,13446,11.590
