学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
SPACE SCIENCE,CHINESE ACADEMY OF SCIENCES,15,15968,302743,18.960
SPACE SCIENCE,"NATIONAL ASTRONOMICAL OBSERVATORY, CAS",77,5829,127941,21.950
SPACE SCIENCE,PEKING UNIVERSITY,109,3608,105950,29.370
SPACE SCIENCE,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",112,5930,101483,17.110
SPACE SCIENCE,"SHANGHAI ASTRONOMICAL OBSERVATORY, CAS",152,2373,73400,30.930
SPACE SCIENCE,"NANJING INSTITUTE OF ASTRONOMICAL OPTICS & TECHNOLOGY, NAOC, CAS",176,2654,63813,24.040
SPACE SCIENCE,"PURPLE MOUNTAIN OBSERVATORY, CAS",196,2440,60096,24.630
SPACE SCIENCE,"UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS",218,2968,54568,18.390
SPACE SCIENCE,TSINGHUA UNIVERSITY,222,1791,53024,29.610
SPACE SCIENCE,NANJING UNIVERSITY,236,2264,50890,22.480
