学科,区域,总论文数
AGRICULTURAL SCIENCES,Asia,436035.0
AGRICULTURAL SCIENCES,Europe,314581.0
AGRICULTURAL SCIENCES,North America,206958.0
AGRICULTURAL SCIENCES,South America,86549.0
AGRICULTURAL SCIENCES,Oceania,42078.0
AGRICULTURAL SCIENCES,Africa,33310.0
AGRICULTURAL SCIENCES,其他,26011.0
BIOLOGY & BIOCHEMISTRY,Europe,687917.0
BIOLOGY & BIOCHEMISTRY,North America,602307.0
BIOLOGY & BIOCHEMISTRY,Asia,556098.0
BIOLOGY & BIOCHEMISTRY,Oceania,43407.0
BIOLOGY & BIOCHEMISTRY,South America,35738.0
BIOLOGY & BIOCHEMISTRY,其他,30712.0
BIOLOGY & BIOCHEMISTRY,Africa,29484.0
CHEMISTRY,Asia,2086097.0
CHEMISTRY,Europe,1348488.0
CHEMISTRY,North America,643486.0
CHEMISTRY,Africa,103281.0
CHEMISTRY,South America,74323.0
CHEMISTRY,其他,61279.0
CHEMISTRY,Oceania,59781.0
CLINICAL MEDICINE,Europe,4270998.0
CLINICAL MEDICINE,North America,4119743.0
CLINICAL MEDICINE,Asia,2575573.0
CLINICAL MEDICINE,Oceania,510217.0
CLINICAL MEDICINE,其他,508880.0
CLINICAL MEDICINE,South America,191287.0
CLINICAL MEDICINE,Africa,151157.0
COMPUTER SCIENCE,Asia,493362.0
COMPUTER SCIENCE,Europe,204246.0
COMPUTER SCIENCE,North America,199500.0
COMPUTER SCIENCE,Oceania,31546.0
COMPUTER SCIENCE,其他,16497.0
COMPUTER SCIENCE,Africa,9814.0
COMPUTER SCIENCE,South America,6194.0
ECONOMICS & BUSINESS,North America,232749.0
ECONOMICS & BUSINESS,Europe,217295.0
ECONOMICS & BUSINESS,Asia,91898.0
ECONOMICS & BUSINESS,Oceania,35252.0
ECONOMICS & BUSINESS,其他,4384.0
ECONOMICS & BUSINESS,Africa,3081.0
ECONOMICS & BUSINESS,South America,1684.0
ENGINEERING,Asia,2511308.0
ENGINEERING,Europe,990512.0
ENGINEERING,North America,693929.0
ENGINEERING,Africa,113365.0
ENGINEERING,Oceania,95819.0
ENGINEERING,其他,83195.0
ENGINEERING,South America,60932.0
ENVIRONMENT ECOLOGY,Europe,720904.0
ENVIRONMENT ECOLOGY,Asia,719747.0
ENVIRONMENT ECOLOGY,North America,559210.0
ENVIRONMENT ECOLOGY,Oceania,87717.0
ENVIRONMENT ECOLOGY,South America,76055.0
ENVIRONMENT ECOLOGY,Africa,52173.0
ENVIRONMENT ECOLOGY,其他,41004.0
GEOSCIENCES,Europe,642995.0
GEOSCIENCES,Asia,611658.0
GEOSCIENCES,North America,473192.0
GEOSCIENCES,Oceania,55661.0
GEOSCIENCES,South America,29730.0
GEOSCIENCES,其他,29134.0
GEOSCIENCES,Africa,14129.0
IMMUNOLOGY,Europe,373914.0
IMMUNOLOGY,North America,363250.0
IMMUNOLOGY,Asia,155957.0
IMMUNOLOGY,Oceania,37754.0
IMMUNOLOGY,其他,29843.0
IMMUNOLOGY,Africa,23137.0
IMMUNOLOGY,South America,15895.0
MATERIALS SCIENCE,Asia,1701275.0
MATERIALS SCIENCE,Europe,649153.0
MATERIALS SCIENCE,North America,426782.0
MATERIALS SCIENCE,Oceania,51806.0
MATERIALS SCIENCE,Africa,42861.0
MATERIALS SCIENCE,其他,34772.0
MATERIALS SCIENCE,South America,20882.0
MATHEMATICS,Europe,227678.0
MATHEMATICS,Asia,184127.0
MATHEMATICS,North America,157564.0
MATHEMATICS,其他,16121.0
MATHEMATICS,Africa,7743.0
MATHEMATICS,South America,7454.0
MATHEMATICS,Oceania,5023.0
MICROBIOLOGY,Europe,207938.0
MICROBIOLOGY,North America,186708.0
MICROBIOLOGY,Asia,124184.0
MICROBIOLOGY,South America,17184.0
MICROBIOLOGY,其他,15426.0
MICROBIOLOGY,Oceania,14882.0
MICROBIOLOGY,Africa,9288.0
MOLECULAR BIOLOGY & GENETICS,North America,551708.0
MOLECULAR BIOLOGY & GENETICS,Europe,502925.0
MOLECULAR BIOLOGY & GENETICS,Asia,348096.0
MOLECULAR BIOLOGY & GENETICS,Oceania,35352.0
MOLECULAR BIOLOGY & GENETICS,其他,25870.0
MOLECULAR BIOLOGY & GENETICS,South America,13117.0
MOLECULAR BIOLOGY & GENETICS,Africa,5455.0
MULTIDISCIPLINARY,North America,15424.0
MULTIDISCIPLINARY,Europe,10184.0
MULTIDISCIPLINARY,Asia,4030.0
MULTIDISCIPLINARY,Oceania,706.0
MULTIDISCIPLINARY,其他,529.0
MULTIDISCIPLINARY,Africa,386.0
MULTIDISCIPLINARY,South America,200.0
NEUROSCIENCE & BEHAVIOR,North America,742299.0
NEUROSCIENCE & BEHAVIOR,Europe,676194.0
NEUROSCIENCE & BEHAVIOR,Asia,240575.0
NEUROSCIENCE & BEHAVIOR,Oceania,65957.0
NEUROSCIENCE & BEHAVIOR,其他,34392.0
NEUROSCIENCE & BEHAVIOR,South America,19434.0
NEUROSCIENCE & BEHAVIOR,Africa,7045.0
PHARMACOLOGY & TOXICOLOGY,Asia,399630.0
PHARMACOLOGY & TOXICOLOGY,Europe,330766.0
PHARMACOLOGY & TOXICOLOGY,North America,249858.0
PHARMACOLOGY & TOXICOLOGY,Africa,38285.0
PHARMACOLOGY & TOXICOLOGY,Oceania,24248.0
PHARMACOLOGY & TOXICOLOGY,South America,23653.0
PHARMACOLOGY & TOXICOLOGY,其他,21536.0
PHYSICS,Europe,1328213.0
PHYSICS,Asia,972229.0
PHYSICS,North America,703906.0
PHYSICS,South America,47367.0
PHYSICS,Africa,35904.0
PHYSICS,其他,32741.0
PHYSICS,Oceania,27667.0
PLANT & ANIMAL SCIENCE,Europe,672529.0
PLANT & ANIMAL SCIENCE,Asia,555040.0
PLANT & ANIMAL SCIENCE,North America,515684.0
PLANT & ANIMAL SCIENCE,South America,147852.0
PLANT & ANIMAL SCIENCE,Oceania,76551.0
PLANT & ANIMAL SCIENCE,Africa,63329.0
PLANT & ANIMAL SCIENCE,其他,44038.0
PSYCHIATRY PSYCHOLOGY,North America,699268.0
PSYCHIATRY PSYCHOLOGY,Europe,478900.0
PSYCHIATRY PSYCHOLOGY,Asia,118735.0
PSYCHIATRY PSYCHOLOGY,Oceania,76728.0
PSYCHIATRY PSYCHOLOGY,其他,19564.0
PSYCHIATRY PSYCHOLOGY,South America,10175.0
PSYCHIATRY PSYCHOLOGY,Africa,7076.0
"SOCIAL SCIENCES, GENERAL",North America,1202640.0
"SOCIAL SCIENCES, GENERAL",Europe,856944.0
"SOCIAL SCIENCES, GENERAL",Asia,331928.0
"SOCIAL SCIENCES, GENERAL",Oceania,163803.0
"SOCIAL SCIENCES, GENERAL",Africa,54659.0
"SOCIAL SCIENCES, GENERAL",South America,48594.0
"SOCIAL SCIENCES, GENERAL",其他,37815.0
SPACE SCIENCE,Europe,355481.0
SPACE SCIENCE,North America,282675.0
SPACE SCIENCE,Asia,77941.0
SPACE SCIENCE,Oceania,17648.0
SPACE SCIENCE,South America,11871.0
SPACE SCIENCE,其他,11328.0
SPACE SCIENCE,Africa,1155.0
